season,team_name,road_runs,road_games,road_rpg
2019,Oakland Athletics,450,82,5.4878
2021,Toronto Blue Jays,399,81,4.9259
2021,Cleveland Indians,375,81,4.6296
2021,Minnesota Twins,364,81,4.4938
2021,Pittsburgh Pirates,279,81,3.4444
2021,Atlanta Braves,386,81,4.7654
2021,Los Angeles Dodgers,419,81,5.1728
2021,Arizona Diamondbacks,315,82,3.8415
2021,St. Louis Cardinals,399,81,4.9259
2021,Texas Rangers,305,81,3.7654
2021,Tampa Bay Rays,456,81,5.6296
2021,Chicago White Sox,380,81,4.6914
2021,Houston Astros,436,81,5.3827
2021,San Francisco Giants,423,81,5.2222
2021,Baltimore Orioles,297,81,3.6667
2021,Kansas City Royals,307,81,3.7901
2021,New York Mets,333,81,4.1111
2021,Milwaukee Brewers,388,81,4.7901
2021,Miami Marlins,306,83,3.6867
2021,Chicago Cubs,336,81,4.1481
2021,Boston Red Sox,359,81,4.4321
2021,Seattle Mariners,371,82,4.5244
2021,Los Angeles Angels,342,81,4.2222
2021,Oakland Athletics,404,81,4.9877
2021,New York Yankees,358,81,4.4198
2021,Washington Nationals,381,82,4.6463
2021,Colorado Rockies,283,80,3.5375
2021,Detroit Tigers,362,81,4.4691
2021,Philadelphia Phillies,371,81,4.5802
2021,San Diego Padres,390,83,4.6988
2021,Cincinnati Reds,341,82,4.1585
2022,Milwaukee Brewers,363,81,4.4815
2022,Cleveland Guardians,373,81,4.6049
2022,Pittsburgh Pirates,278,81,3.4321
2022,New York Mets,396,81,4.8889
2022,Cincinnati Reds,281,81,3.4691
2022,Houston Astros,380,82,4.6341
2022,San Diego Padres,404,81,4.9877
2022,Boston Red Sox,343,81,4.2346
2022,Chicago White Sox,355,81,4.3827
2022,Oakland Athletics,317,81,3.9136
2022,Baltimore Orioles,331,81,4.0864
2022,Los Angeles Dodgers,425,81,5.2469
2022,Seattle Mariners,372,81,4.5926
2022,Miami Marlins,290,81,3.5802
2022,Texas Rangers,365,81,4.5062
2022,Colorado Rockies,242,81,2.9877
2022,Toronto Blue Jays,416,81,5.1358
2022,Washington Nationals,306,81,3.7778
2022,Chicago Cubs,333,81,4.1111
2022,Kansas City Royals,305,81,3.7654
2022,St. Louis Cardinals,380,81,4.6914
2022,Philadelphia Phillies,351,81,4.3333
2022,Los Angeles Angels,293,81,3.6173
2022,Detroit Tigers,278,81,3.4321
2022,Atlanta Braves,394,81,4.8642
2022,Arizona Diamondbacks,349,81,4.3086
2022,Minnesota Twins,353,81,4.358
2022,New York Yankees,388,81,4.7901
2022,San Francisco Giants,353,81,4.358
2022,Tampa Bay Rays,330,81,4.0741
2023,Atlanta Braves,470,81,5.8025
2023,San Francisco Giants,367,82,4.4756
2023,Baltimore Orioles,445,81,5.4938
2023,Milwaukee Brewers,351,81,4.3333
