"","Name","25-Aug","","Team","","","","","","","","","","","",""
"54","Sandy Alcantara","49","645261","MIA","4.6","185","70%","187","174.2","11.41%","4.05","20.57%","104","104","105","5.36"
"55","Robbie Ray","23","592662","SFG","7","173","71%","180","182.1","14.97%","4.12","24.10%","100","97","96","3.65"
"56","Aaron Nola","45","605400","PHI","14.8","171","81%","181","94.1","17.08%","4.06","23.20%","101","108","108","6.01"
"57","Ranger Suárez","48","624133","BOS","17","174","91%","169","157.1","17.36%","4.06","21.43%","97","110","106","3.2"
"58","Jack Flaherty","46","656427","DET","12.5","168","86%","166","161","18.94%","3.79","25.43%","102","101","103","4.64"
"59","Gerrit Cole","","543037","NYY","8.3","119","","131","0","","3.59","25.72%","","","",""
"60","Braxton Ashcraft","100","677952","PIT","1.7","131","77%","141","69.2","16.10%","3.73","22.15%","105","99","103","2.71"
"61","Bryce Miller","45","682243","SEA","3.9","151","81%","143","90.1","10.20%","3.82","21.87%","102","97","99","5.68"
"62","Grayson Rodriguez","","680570","LAA","8.6","113","","129","0","","3.41","26.92%","","","",""
"63","Joey Cantillo","89","676282","CLE","5.1","143","88%","149","95.1","16.46%","3.88","24.20%","101","97","98","3.21"
"64","Kris Bubic","","663460","KCR","9.5","135","72%","155","116.1","16.18%","4.08","21.83%","96","101","100","2.55"
"65","Trevor Rogers","90","669432","BAL","2.8","161","84%","175","109.2","17.49%","4.3","20.28%","97","103","100","1.81"
"66","Matthew Boyd","38","571510","CHC","12.2","155","72%","183","179.2","15.60%","4.1","21.69%","99","106","101","3.21"
"67","Troy Melton","","675512","DET","-0.4","133","76%","129","121","11.70%","4","22.45%","103","98","102",""
"68","Shane Baz","50","669358","BAL","4.2","161","74%","168","166.1","15.75%","4.02","23.83%","104","101","106","4.87"
"69","Shota Imanaga","31","684007","CHC","9.7","149","92%","171","144.2","16.05%","4.34","21.45%","98","107","105","3.73"
"70","Sean Manaea","39","640455","NYM","9.1","129","73%","149","60.2","23.95%","3.82","24.16%","110","101","106","5.64"
"71","Quinn Priester","45","682990","MIL","0.7","172","89%","169","157.1","12.56%","3.89","20.67%","96","98","94","3.32"
"72","Zebby Matthews","51","805673","MIN","6.5","131","77%","129","79.1","18.08%","3.84","23.74%","101","106","106","5.56"
"73","David Peterson","53","656849","NYM","10.7","177","88%","182","168.2","11.76%","3.97","20.51%","91","102","96","4.22"
"74","Jared Jones","","683003","PIT","2.5","105","","92","0","","3.81","24.17%","","","",""
"75","Joe Boyle","87","671212","TBR","-4.6","129","74%","105","138","13.27%","3.6","27.27%","106","87","95","4.67"
"76","MacKenzie Gore","60","669022","TEX","16.8","165","87%","176","159.2","17.79%","3.78","26.42%","99","98","99","4.17"
"77","José Soriano","63","667755","LAA","8.7","151","83%","177","169","10.22%","3.59","22.21%","103","102","106","4.26"
"78","Will Warren","67","701542","NYY","3.4","169","89%","143","162.1","14.91%","3.88","23.07%","103","97","102","4.44"
"79","Logan Henderson","70","701656","MIL","1.9","133","76%","97","25.1","25.25%","3.89","24.81%","102","109","107","1.78"
"80","Reese Olson","","681857","DET","5.5","128","74%","141","68.2","14.04%","3.91","22.03%","92","102","96","3.15"
"81","Joe Musgrove","","605397","SDP","12.9","113","","159","0","","3.77","22.66%","","","",""
"82","Shane McClanahan","","663556","TBR","16.1","109","","142","0","","3.92","23.15%","","","",""
"83","Kodai Senga","33","673540","NYM","3","101","68%","123","113.1","11.20%","4.05","22.97%","93","95","92","3.02"
"84","Ryan Weathers","90","677960","NYY","5","137","65%","133","38.1","15.06%","3.89","23.28%","104","105","108","3.99"
"85","Jack Leiter","82","683004","TEX","-1.4","165","84%","162","151.2","12.54%","4.08","23.69%","103","93","98","3.86"
"86","Reid Detmers","","672282","LAA","6.8","141","","149","63.2","20.70%","3.45","27.30%","115","110","122",""
"87","Parker Messick","105","800048","CLE","1.1","142","81%","129","139","19.39%","4.1","21.42%","99","108","107","2.72"
"88","Mike Burrows","88","681347","HOU","3.3","161","81%","140","128.1","16.42%","4.05","23.64%","94","100","97","3.94"
"89","Cody Ponce","","664074","TOR","9.2","162","","155","180.2","30.30%","4.07","23.00%","","","",""
"90","Ryne Nelson","61","669194","ARI","-0.1","161","85%","166","154","14.70%","4.12","20.65%","106","100","105","3.39"
"91","Casey Mize","54","663554","DET","7","142","77%","162","149","16.43%","4.13","20.66%","94","107","102","3.87"
"92","Zac Gallen","65","668678","","6.3","191","90%","194","192","13.41%","4.21","21.75%","92","105","99","4.83"
"93","Merrill Kelly","57","518876","ARI","6.9","179","79%","185","184","15.91%","4.35","20.72%","92","103","98","3.52"
"94","Steven Matz","","571927","TBR","-0.7","121","","138","76.2","15.53%","3.81","21.27%","104","110","109","3.05"
"95","Clay Holmes","58","605280","NYM","3.7","173","82%","176","165.2","8.90%","4.13","18.81%","100","100","102","3.53"
"96","Yusei Kikuchi","43","579328","LAA","9.3","175","89%","178","178.1","12.95%","4.09","23.26%","98","105","105","3.99"
"97","Luis Gil","52","661563","NYY","-2.8","111","72%","137","57","3.28%","4.39","22.61%","97","95","95","3.32"
"98","Dustin May","68","669160","STL","1.4","139","60%","155","132.1","11.47%","4.39","20.11%","98","96","94","4.96"
"99","Chad Patrick","100","694477","MIL","-0.3","161","83%","141","119.2","17.30%","4","23.00%","105","99","102","3.53"
"100","Andrew Painter","70","691725","PHI","-9.8","131","","136","118","","4.47","20.08%","","","",""
"101","Brayan Bello","74","678394","BOS","-4.2","178","88%","168","166.2","9.29%","4.42","19.22%","94","102","96","3.35"
"102","Zach Eflin","","621107","BAL","1.5","129","73%","146","71.1","11.97%","4.53","18.14%","92","105","97","5.93"
"103","Andrew Abbott","70","671096","CIN","-1","175","90%","168","166.1","15.50%","4.53","21.80%","99","104","101","2.87"
"104","Noah Cameron","84","702070","KCR","-0.1","155","88%","148","138.1","12.77%","4.66","19.24%","96","100","100","2.99"
"105","Jacob Latz","","656641","TEX","-7.2","119","","130","85.2","11.21%","4.13","23.12%","105","102","107","2.84"
"106","Robby Snelling","","702281","MIA","-3.5","111","","65","136","","4.15","21.20%","","","",""
"107","Roki Sasaki","110","808963","LAD","0.9","93","68%","135","36.1","3.73%","4.19","22.06%","91","91","84","4.46"
"108","Ian Seymour","","693855","TBR","-2.3","99","83%","109","139","18.60%","3.95","23.06%","95","99","95",""
"109","Hunter Barco","","682995","PIT","-4.2","91","","79","102","25.00%","4.1","21.80%","102","107","107",""
"110","Braxton Garrett","","666129","MIA","8.1","101","","122","0","","3.94","21.16%","","","",""
"111","Reynaldo López","163","625643","ATL","6","99","59%","134","5","-4.00%","3.96","24.25%","97","95","91","5.4"
"112","Landen Roupp","69","694738","SFG","-0.3","139","81%","132","106.2","11.97%","4.03","22.06%","97","105","102","3.8"
"113","Mitch Keller","64","656605","PIT","1.7","181","93%","180","176.1","13.22%","4.18","20.68%","94","100","93","4.19"
"114","Johan Oviedo","125","670912","BOS","-2.1","101","60%","78","40.1","11.18%","4.26","23.11%","107","86","96","3.57"
"115","Max Meyer","","676974","MIA","4.1","133","66%","96","64.2","16.84%","4.13","22.01%","97","106","106","4.73"
"116","Grant Holmes","","656550","ATL","-2.8","111","78%","87","115","14.02%","4.05","23.85%","92","100","93","3.99"
"117","Slade Cecconi","93","677944","CLE","-1.5","173","86%","157","145","14.13%","4.29","19.79%","93","104","95","4.3"
"118","Hurston Waldrep","98","694462","ATL","-4.8","138","76%","146","56.1","14.41%","4.3","20.79%","99","99","103","2.88"
"119","Cade Cavalli","81","676917","WSN","2.9","129","56%","152","48.2","11.42%","4.2","19.77%","103","98","103","4.25"
"120","Spencer Arrighetti","83","681293","HOU","-6.7","111","78%","85","35.1","7.05%","4.38","22.49%","102","93","96","5.35"
"121","Tyler Mahle","170","641816","SFG","2.2","131","57%","148","86.2","10.69%","4.36","19.18%","92","111","102","2.18"
"122","Brady Singer","94","663903","CIN","1.4","182","94%","176","169.2","14.39%","4.32","21.40%","95","100","95","4.03"
"123","Seth Lugo","66","607625","KCR","-1.6","160","82%","161","145.1","11.46%","4.83","18.60%","93","96","90","4.15"
"124","Cristian Javier","77","664299","HOU","-9.5","161","64%","157","37","12.10%","4.9","20.26%","95","96","92","4.62"
"125","Taj Bradley","75","671737","MIN","1.9","115","88%","124","142.2","11.74%","4.11","22.88%","101","92","94","5.05"
"126","Jonah Tong","","804636","NYM","-4.4","75","77%","44","132.1","14.90%","3.4","28.20%","99","96","97",""
"127","Justin Steele","","657006","CHC","3","91","68%","83","0","","3.7","22.71%","103","100","98",""
"128","Connelly Early","","813349","BOS","-4","72","78%","49","19.1","31.60%","3.92","24.00%","101","109","111","2.33"
"129","Robert Gasser","","688107","MIL","-6.4","79","66%","61","43","3.40%","3.89","22.63%","104","69","74",""
"130","Brandon Sproat","85","687075","MIL","-7.3","59","75%","56","20.2","11.90%","4.01","20.74%","106","86","90","4.79"
"131","Mick Abel","90","690953","MIN","-7.3","75","76%","111","39","13.22%","4.26","22.68%","109","97","103","6.23"
"132","Kumar Rocker","80","677958","TEX","-0.5","65","75%","131","64.1","11.50%","3.99","21.60%","94","98","92","5.74"
"133","Ryan Weiss","","680802","HOU","-5.5","95","","89","178.2","","4.31","23.00%","","","",""
"134","Jacob Lopez","71","682052","ATH","-0.1","141","83%","136","119.2","19.05%","4.34","24.32%","98","101","99","4.08"
"135","Jameson Taillon","75","592791","CHC","-1.3","151","74%","171","129.2","13.68%","4.54","18.75%","96","107","100","3.68"
