"","Name","25-Aug","","Team","","","","","","","","","","","",""
"242","Yoendrys Gomez","146","672782","TBR","-8.7","","81%","85","","","","","97","90","87",""
"243","Kyle Hendricks","148","543294","","","","90%","","164.2","10.22%","5.03","15.34%","97","96","92","4.76"
"244","Kyle Freeland","149","607536","COL","-18.3","","82%","186","162.2","12.13%","5.37","16.53%","94","101","95","4.98"
"245","Javier Assad","108","665871","CHC","-6.1","","78%","77","37","7.19%","4.5","18.82%","93","95","91","3.65"
"","Casey Kelly","150","543391","#N/A","","","","","1.2","-16.67%","6.05","9.73%","74","78","59","0"
"","Noah Schultz","157","702273","CHW","","","","18","","","","","","","",""
"","Bowden Francis","160","670102","TOR","-7.1","","74%","37","64","9.38%","4.64","20.47%","94","98","93","6.05"
"","Ryan Yarbrough","164","642232","NYY","-7.2","","82%","79","64","13.64%","4.57","18.35%","96","106","97","4.36"
"","Landon Knack","165","689017","LAD","","","81%","32","42.1","12.43%","5.08","19.49%","95","102","96","4.89"
"","Adam Mazur","172","800049","MIA","-8.6","","79%","27","30","5.04%","4.63","17.49%","98","97","95","4.8"
"","Paxton Schultz","182","687606","TOR","-11","","","12","24.2","18.18%","4.68","20.16%","93","97","90","4.38"
"","Gunnar Hoglund","186","680684","ATH","-11","","72%","51","32.1","8.63%","5.07","17.20%","95","105","101","6.4"
"","Cooper Criswell","220","681867","NYM","-7.7","","","68","17.2","5.00%","4.18","18.17%","94","111","104","3.57"
"","Jakob Junis","221","596001","0","-6.7","","","66","66.2","13.50%","4.25","20.19%","92","106","99","2.97"
"","Mason Black","222","696131","KCR","-13.9","","","46","4","26.32%","5.25","17.57%","94","111","100","6.75"
"","Chayce McDermott","224","694646","BAL","","","74%","19","8.2","-5.88%","4.89","21.69%","91","67","67","15.58"
"","Marcus Stroman","225","573186","0","-12.9","","74%","140","39","5.71%","4.85","15.69%","86","99","89","6.23"
"","Bobby Miller","225","676272","LAD","","","68%","26","5","17.86%","4.61","19.99%","103","109","107","12.6"
"","Kyle Hart","225","606996","SDP","-8.3","","76%","67","43","13.41%","4.77","17.78%","99","98","97","5.86"
"","Paul Blackburn","225","621112","NYY","-6.7","","61%","68","39","12.57%","4.57","18.43%","93","105","99","6.23"
"","Kenta Maeda","225","628317","#N/A","","","","","8","4.65%","5.1","16.67%","90","78","72","7.88"
"","Martín Pérez","225","527048","0","-9.3","","64%","134","56","9.65%","5.09","16.07%","85","100","89","3.54"
"","Spencer Turnbull","225","605513","0","-12.4","","62%","72","6.1","0.00%","5.16","15.98%","97","112","111","7.11"
"","Yariel Rodríguez","225","684320","TOR","-10.5","","","36","73","10.74%","4.24","22.65%","100","94","96","3.08"
"","DJ Herz","227","687792","WSN","","","","22","","","4.46","23.56%","","","",""
"","Drew Thorpe","228","689672","CHW","-11.6","","","73","","","4.9","17.49%","","","",""
"","Joey Estes","229","683155","ATH","","","85%","30","11","0.00%","5.4","16.17%","82","97","86","9.82"
"","Shinnosuke Ogasawara","230","","#N/A","","","","","38.2","7.51%","5.2","16.77%","","","","6.98"
"","DL Hall","250","669084","MIL","-8.6","","","52","38.2","6.45%","4.24","21.60%","92","94","91","3.49"
"","Jon Gray","250","592351","0","-4.4","","","126","14","9.52%","4.6","19.18%","92","94","88","7.71"
"","Griffin Canning","","656288","0","-5.5","","74%","132","76.1","10.67%","4.42","19.91%","90","98","91","3.77"
"","Lance Lynn","","458681","#N/A","","","","","","","4.77","19.71%","","","",""
"","Triston McKenzie","","663474","SDP","","","","32","5.2","-10.00%","5.25","19.74%","95","59","60","11.12"
"","Jose Urquidy","","","#N/A","","","","","","","","","","","",""
"","Roddery Muñoz","","682610","HOU","-12.2","","","52","11","9.80%","4.68","22.10%","101","97","98","8.18"
"","Hogan Harris","","663687","ATH","-5.9","","","66","64.2","11.55%","4.58","21.55%","100","103","100","3.2"
"","Adam Oller","","670124","#N/A","","","","","","","5.04","18.30%","","","",""
"","Xzavion Curry","","675540","#N/A","","","","","3","-12.50%","5.84","12.55%","93","80","72","6"
"","Darren McCaughan","","670766","#N/A","","","","","5.1","21.74%","4.96","17.59%","93","122","113","1.69"
"","Dakota Hudson","","641712","#N/A","","","","","","","5.53","12.10%","","","",""
"","Ty Blach","","621389","#N/A","","","","","","","5.47","13.15%","","","",""
"","Ross Stripling","","548389","#N/A","","","","","","","5.27","13.59%","","","",""
"","Jared Koenig","","657649","MIL","-2.7","","","65","66","17.91%","3.33","25.46%","110","96","103","2.86"
"","Sixto Sánchez","","664350","#N/A","","","","","","","5.01","15.03%","","","",""
"","Joe Ross","","605452","0","-10.8","","","52","51","9.21%","4.67","18.09%","92","106","97","5.12"
"","Justin Wrobleski","","680736","LAD","-8.2","","","56","66.2","21.07%","4.14","21.82%","101","109","109","4.32"
"","Tommy Henry","","674072","#N/A","","","","","6.2","26.92%","5.26","16.65%","82","103","87","4.05"
"","Cole Irvin","","608344","#N/A","","","","","","","5.03","16.08%","","","",""
"","Easton Lucas","","687922","#N/A","","","75%","","24.1","10.19%","4.51","20.30%","102","92","94","6.66"
"","Elvin Rodriguez","","660730","#N/A","","","74%","","","","","","94","97","94",""
"","Luis F. Castillo","","622379","#N/A","","","75%","","7","-4.88%","4.81","18.48%","91","91","82","7.71"
"","Thomas Harrington","","802419","PIT","","","79%","38","8.2","0.00%","4.81","17.26%","98","88","82","15.58"
"","Connor Gillispie","","687362","#N/A","","","79%","","26","9.76%","5.61","15.20%","87","97","85","8.65"
"","Tyler Phillips","","663969","MIA","-9.4","","","68","77.2","8.95%","4.53","17.09%","97","106","104","2.78"
"","Albert Suárez","","544150","BAL","","","","22","11.2","18.18%","4.97","17.81%","89","94","85","2.31"
"","Nick Nastrini","","680897","#N/A","","","","","","","5.55","18.43%","","","",""
"","Shawn Armstrong","","542888","CLE","-4","","","68","74","19.01%","3.66","23.63%","105","94","96","2.31"
"","Alec Marsh","","679525","#N/A","","","","","","","4.79","20.40%","","","",""
"","Alex Wood","","622072","#N/A","","","","","","","5.15","17.11%","","","",""
"","Carson Spiers","","686730","#N/A","","","70%","","13.1","6.67%","5.05","18.44%","93","90","87","6.08"
"","Dane Dunning","","641540","0","","","","27","20.2","14.74%","4.79","18.25%","81","104","89","6.97"
"","Osvaldo Bido","","674370","TBR","","","79%","14","79.2","9.09%","4.6","20.85%","97","94","91","5.87"
"","Chris Flexen","","623167","#N/A","","","","","43.2","5.62%","5.14","16.21%","86","102","88","3.09"
"","Valente Bellozo","","678368","#N/A","","","","","81.1","8.91%","5.24","16.07%","93","98","90","4.65"
"","Tyler Alexander","","641302","TEX","-7.2","","","84","97.2","12.29%","4.59","18.99%","98","105","101","4.98"
"","Carlos Carrasco","","471911","ATL","","","59%","9","45.2","8.02%","5.35","15.20%","80","101","88","7.09"
"","Ryan Feltner","","663372","COL","-17.5","","74%","115","30.1","9.63%","5.37","17.33%","90","96","88","4.75"
"","Carson Fulmer","","608334","#N/A","","","","","29.1","12.20%","4.83","18.38%","88","101","92","5.83"
"","German Marquez","","608566","0","-10.7","","59%","139","","","","","85","97","84",""
"","Austin Gomber","","596295","0","-9.2","","82%","133","57.2","6.25%","5.23","15.92%","90","100","88","7.49"
"","Antonio Senzatela","","622608","COL","-16.2","","63%","59","130","4.21%","5.86","13.75%","85","105","92","6.65"
"","Ben Lively","","594902","#N/A","","","76%","","44.2","7.87%","4.94","16.70%","90","102","89","3.22"
"","Keaton Winn","","676775","SFG","","","","28","10","16.67%","4.13","19.85%","95","102","98","4.5"
"","Aaron Ashby","","","#N/A","","","","","66.2","19.26%","3.33","24.99%","","","","2.16"
"","Matt Waldron","","663362","SDP","","","82%","27","4.2","-12.00%","4.72","17.77%","86","86","74","7.71"
"","Jack Kochanowicz","","686799","LAA","-11.9","","84%","40","111","2.73%","4.88","14.60%","92","90","85","6.81"
"","Bryse Wilson","","669060","#N/A","","","81%","","47.1","4.02%","4.93","16.67%","92","98","92","6.65"
"","Ben Casparius","","676508","LAD","-10.7","","","52","77.2","15.02%","4.19","22.70%","107","103","109","4.64"
