"Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","FPTS","FPTS_G","SPTS","SPTS_G","ADP","Pos","minpos","UPURL","teamid","League","PlayerName","xMLBAMID","playerids","playerid","projection_system","projection_type","season"
"LAA","Angels",139.555,516.334,567.953,122.314,67.2721,23.0589,1.42195,30.5606,72.3087,79.9465,39.7087,1.23645,155.736,7.87905,3.5164,0.514951,7.56862,10.152,3.07941,0.236888,0.299418,0.464618,0.764036,0.32681,0.0699156,0.274206,0.254974,0.22773,4.63705,0.275077,,,73.4507,6.3427,-2.5,0.0192126,0.0192126,1.79852,5.70428646728396,-7.67365407943726,108.493,685.6,4.897142857,685.6,4.897142857,119.160003662109,0.00628931,"OF","/players/jo-adell/20220/stats/batting",1,"AL","Jo Adell",666176,"20220","20220","batx","thebatx",2026
"BOS","Red Sox",140.314,522.408,559.16,130.845,85.0474,25.333,3.98292,16.482,68.4269,62.2222,24.2779,0.750695,122.745,6.03211,4.07175,2.3705,7.36952,20.9356,5.54255,0.250466,0.289437,0.408857,0.698294,0.300838,0.0434185,0.219517,0.197791,0.158391,6.3198,0.29532,,,60.5229,-5.54619,3.17,1.16076,1.16076,1.7965,-7.0218003988266,5.33533930778503,87.584,570.4,4.074285714,570.4,4.074285714,129.639999389648,0,"OF","/players/ceddanne-rafaela/24262/stats/batting",3,"AL","Ceddanne Rafaela",678882,"24262","24262","batx","thebatx",2026
"KCR","Royals",121.934,444.197,514.325,109.465,71.6956,23.5339,1.40663,12.8292,62.799,54.9983,52.5579,0.0227589,98.1844,12.5326,3.69763,1.3402,9.80704,8.44029,2.70698,0.246435,0.340275,0.392394,0.732669,0.324535,0.102188,0.190899,0.535298,0.14596,4.49894,0.286856,,,65.5651,4.79364,-1.42,-0.323364,-0.323364,1.77203,2.76023045182228,-3.1426807641983,105.087,568.7,4.661475409,568.7,4.661475409,606.130004882812,0.1875,"2B","/players/jonathan-india/21523/stats/batting",7,"AL","Jonathan India",663697,"21523","21523","batx","thebatx",2026
"LAA","Angels",116.962,412.9,453.444,95.1198,57.4462,17.5536,0.888043,19.2319,50.0128,57.0183,31.4513,0.410925,131.772,5.15334,2.81751,1.12202,6.75193,2.81628,0.924603,0.23037,0.291218,0.416918,0.708136,0.30635,0.069361,0.290603,0.238679,0.186548,3.21435,0.28668,,,51.1095,-2.46844,-2.25,-0.433565,-0.433565,1.74935,-3.42704123258591,4.91830587387085,94.3988,466.4,3.986324786,466.4,3.986324786,245.130004882812,0.08333333,"C","/players/logan-ohoppe/24729/stats/batting",1,"AL","Logan O'Hoppe",681351,"24729","24729","batx","thebatx",2026
"PIT","Pirates",96.717,369.114,403.148,94.7087,66.2119,16.5692,1.09655,10.831,49.5559,42.5969,23.6669,1.27791,103.821,6.96303,2.13868,1.26523,6.69899,16.2129,2.48469,0.256584,0.311879,0.395444,0.707323,0.308245,0.0587053,0.257526,0.227959,0.13886,5.89931,0.32688,,,46.0607,-1.5743,0,1.59418,1.59418,1.74223,-0.861959338188171,4.47763919830322,94.8596,439.2,4.527835051,439.2,4.527835051,999,0,"SS","/players/konnor-griffin/sa3065496/stats/batting",27,"NL","Konnor Griffin",804606,"sa3065496","sa3065496","batx","thebatx",2026
"COL","Rockies",137.675,515.35,562.912,133.395,83.297,26.5724,3.68522,19.8405,75.2874,67.415,36.4749,0.369664,150.343,3.32576,4.30824,3.45351,7.69711,21.0272,5.44542,0.258844,0.309577,0.440205,0.749782,0.322666,0.0647968,0.26708,0.242611,0.181361,6.4719,0.32493,,,70.9047,4.39227,-0.49,1.16523,1.16523,1.72262,-3.52596056461334,1.63461422920227,92.9685,661.8,4.795652173,661.8,4.795652173,167.779998779297,0.02962963,"OF","/players/brenton-doyle/25479/stats/batting",19,"NL","Brenton Doyle",686668,"25479","25479","batx","thebatx",2026
"BOS","Red Sox",108.059,367.346,410.23,82.455,54.2803,14.7246,0.434464,13.0157,42.5862,47.7781,35.1203,0.926414,108.469,3.71758,2.99592,1.05019,7.3262,2.7025,1.22288,0.224462,0.296429,0.373206,0.669635,0.293611,0.0856113,0.264409,0.323783,0.148744,2.86934,0.279032,,,41.9956,-6.4762,3.43,-0.568912,-0.568912,1.69888,-8.97929358482361,11.4646899700165,82.6054,377.8,3.498148148,377.8,3.498148148,415.329986572266,0.01754386,"C","/players/carlos-narvaez/19722/stats/batting",3,"AL","Carlos Narváez",665966,"19722","19722","batx","thebatx",2026
"TEX","Rangers",109.212,384.274,433.622,90.1891,58.4262,18.2331,3.22449,10.3053,54.283,39.8928,40.0772,1.59389,98.5354,5.59909,3.13555,0.536491,5.39456,16.1953,3.70275,0.2347,0.313715,0.379383,0.693098,0.303927,0.0924242,0.227238,0.406729,0.144683,6.45043,0.286765,,,48.0222,-3.21357,3.12,1.04598,1.04598,1.69799,-1.34927773475647,3.02086040377617,95.3133,440.5,4.041284403,440.5,4.041284403,279.950012207031,0.03225806,"OF","/players/evan-carter/27790/stats/batting",13,"AL","Evan Carter",694497,"27790","27790","batx","thebatx",2026
"CIN","Reds",108.58,377.353,425.744,89.3629,57.1806,16.8191,0.53007,14.8332,47.3527,51.0515,40.0515,0.813073,120.819,4.95613,2.85031,0.492247,8.11967,0.970283,0.387051,0.236815,0.316009,0.402121,0.71813,0.31406,0.0940741,0.283783,0.3315,0.165306,2.27085,0.304761,,,50.6522,0.347308,0.86,-0.633693,-0.633693,1.69769,-2.72970604896545,5.15832269191742,95.8461,454.3,4.167889908,454.3,4.167889908,281.160003662109,0.19767442,"C","/players/tyler-stephenson/17988/stats/batting",18,"NL","Tyler Stephenson",663886,"17988","17988","batx","thebatx",2026
"PIT","Pirates",123.929,472.863,527.982,112.519,67.2901,23.5526,1.15466,20.5221,61.7761,69.1904,45.5713,1.10528,135.571,5.13975,3.93442,0.473863,7.91426,4.12913,1.3179,0.237954,0.309437,0.422845,0.732282,0.31718,0.0863122,0.256772,0.336144,0.184891,3.44982,0.28686,,,64.1533,1.76817,-2.91,-0.485587,-0.485587,1.6681,0.127689331769943,-1.38982009887695,100.98,590.3,4.76048387,590.3,4.76048387,182.139999389648,0.06766917,"2B","/players/brandon-lowe/18882/stats/batting",27,"NL","Brandon Lowe",664040,"18882","18882","batx","thebatx",2026
"HOU","Astros",117.01,426.707,494.802,99.6309,63.2273,17.8964,0.385333,18.1219,58.3863,57.6168,54.5053,0.408123,82.2222,9.46191,3.66231,0.465673,8.03687,1.0526,0.427836,0.233488,0.330945,0.404643,0.735588,0.323875,0.110156,0.166172,0.662902,0.171155,2.30677,0.246978,,,62.8114,4.34675,0.16,-0.801688,-0.801688,1.66457,3.99473828077316,-4.75554355978966,108.225,548.3,4.686324786,548.3,4.686324786,236.830001831055,0.12745098,"3B","/players/isaac-paredes/20036/stats/batting",21,"AL","Isaac Paredes",670623,"20036","20036","batx","thebatx",2026
"ATH","Athletics",131.792,478.501,536.797,120.992,81.1555,25.3588,2.12884,12.3485,60.2369,55.2359,42.8278,2.05426,69.9778,8.34359,4.49574,2.62921,10.4484,2.78083,0.9535,0.252856,0.322301,0.39217,0.714471,0.312174,0.0797839,0.130362,0.61202,0.139314,3.45403,0.271154,,,63.0427,-0.384014,-0.83,-0.694327,-0.694327,1.6631,-2.73829275369644,0.517716825008392,96.7693,551.2,4.175757575,551.2,4.175757575,484.149993896484,0.07042254,"2B/OF","/players/jeff-mcneil/15362/stats/batting",10,"AL","Jeff McNeil",643446,"15362","15362","batx","thebatx",2026
"ATL","Braves",88.889,301.231,344.94,66.9637,40.6136,12.9556,0,13.3945,39.3862,43.1432,32.7853,0.575012,95.4825,7.50128,2.19469,0.38783,6.78542,0.162073,0.0798088,0.2223,0.312035,0.398706,0.71074,0.311939,0.0950463,0.276809,0.343364,0.176406,1.67251,0.27535,,,40.4448,-0.312519,4.54,-0.530549,-0.530549,1.63658,-1.0200769007206,5.53974545001984,98.8026,357.1,4.01235955,357.1,4.01235955,743.309997558594,0.08433735,"C","/players/sean-murphy/19352/stats/batting",16,"NL","Sean Murphy",669221,"19352","19352","batx","thebatx",2026
"ATL","Braves",139.807,533.804,587.562,130.784,84.0691,27.3605,1.65069,17.704,67.0211,67.8806,42.3728,1.36051,88.6045,4.81568,6.00087,0.569102,8.71449,9.11095,3.00957,0.245005,0.303194,0.401943,0.705137,0.305584,0.0721164,0.1508,0.478224,0.156938,4.13838,0.260857,,,65.8608,-3.56422,-1.82,-0.26782,-0.26782,1.61166,-4.13355067372322,0.337515473365784,94.4488,608.2,4.344285714,608.2,4.344285714,154.130004882812,0,"2B","/players/ozzie-albies/16556/stats/batting",16,"NL","Ozzie Albies",645277,"16556","16556","batx","thebatx",2026
"MIL","Brewers",131.575,470.257,514.02,113.195,80.4244,19.237,3.06055,10.4736,55.0807,49.7795,32.9335,0.562646,90.0093,4.02216,3.1828,3.62498,9.16317,13.0448,3.65982,0.24071,0.294186,0.36145,0.655636,0.287403,0.0640704,0.175108,0.36589,0.12074,5.49033,0.275426,,,50.03,-10.7054,2.41,0.338999,0.338999,1.60829,-9.88359129428864,8.50143504142761,83.2202,453.5,3.43560606,453.5,3.43560606,743.239990234375,0,"3B/SS","/players/joey-ortiz/25493/stats/batting",23,"NL","Joey Ortiz",687401,"25493","25493","batx","thebatx",2026
"HOU","Astros",116.738,412.912,458.535,103.236,70.8057,21.4486,0.946759,10.0352,53.8829,44.2023,34.7645,0.331466,94.9107,5.89338,2.8515,2.11337,8.53212,10.7362,3.16839,0.25002,0.315266,0.37946,0.694726,0.305518,0.0758165,0.206987,0.366286,0.12944,4.6961,0.299858,,,51.3735,-2.80596,0.36,0.116063,0.116063,1.60327,-2.27317908406258,2.16151225566864,95.5791,459.9,3.93076923,459.9,3.93076923,743.369995117188,0,"OF","/players/jake-meyers/20308/stats/batting",21,"AL","Jake Meyers",676694,"20308","20308","batx","thebatx",2026
"ARI","Diamondbacks",134.137,513.327,559.627,129.623,88.2722,24.2836,0.893627,16.1734,59.1914,70.1386,36.1304,2.48326,75.3169,4.01849,5.45732,0.693904,10.2234,2.50438,1.11153,0.252515,0.303742,0.397824,0.701567,0.303405,0.0645615,0.134584,0.479711,0.145309,2.64473,0.265507,,,61.7396,-4.38466,0.69,-0.785717,-0.785717,1.57465,-5.79801523685455,2.56966894865036,92.4431,563.6,4.205970149,563.6,4.205970149,673.929992675781,0.02830189,"3B","/players/nolan-arenado/9777/stats/batting",15,"NL","Nolan Arenado",571448,"9777","9777","batx","thebatx",2026
"PIT","Pirates",146.244,562.815,632.509,144.871,95.7514,28.9798,3.43509,16.705,75.5811,72.315,56.2397,2.09963,151.609,8.26525,4.58432,0.605013,12.3619,6.11427,1.83141,0.257405,0.331342,0.410146,0.741488,0.323365,0.0889153,0.239695,0.370952,0.152741,4.46375,0.32115,,,80.0303,5.2945,-1.84,-0.571237,-0.571237,1.56357,3.3397308588028,-9.10117566585541,105.217,707.8,4.847945205,707.8,4.847945205,203.550003051758,0.23026316,"OF","/players/bryan-reynolds/19326/stats/batting",27,"NL","Bryan Reynolds",668804,"19326","19326","batx","thebatx",2026
"SFG","Giants",123.045,444.355,486.512,106.091,69.4602,18.7923,3.03535,14.8028,61.7315,50.1291,30.6621,0.309524,118.921,7.38184,3.18781,0.924827,7.17317,15.3618,4.47427,0.238752,0.296825,0.394643,0.691469,0.30108,0.0630244,0.244437,0.257835,0.155892,6.10722,0.290893,,,52.7549,-4.73023,-0.02,0.5324,0.5324,1.56224,-2.79589718580246,1.87884245440364,94.2279,494.1,4.01707317,494.1,4.01707317,492.890014648438,0,"OF","/players/harrison-bader/18030/stats/batting",30,"NL","Harrison Bader",664056,"18030","18030","batx","thebatx",2026
"CHC","Cubs",95.371,321.441,363.671,75.4961,49.5337,13.0362,0.373188,12.553,40.5779,44.2938,33.6408,0.254686,72.7957,4.04643,3.08881,0.55171,6.87119,1.17634,0.446613,0.234868,0.312474,0.394903,0.707377,0.309991,0.0925034,0.200169,0.462126,0.160035,2.49007,0.263161,,,42.0657,-0.904842,-2.69,-0.521751,-0.521751,1.5569,-0.637723095715046,3.75535821914673,99.7309,374.8,3.945263157,374.8,3.945263157,616.510009765625,0.02777778,"C","/players/carson-kelly/13620/stats/batting",17,"NL","Carson Kelly",608348,"13620","13620","batx","thebatx",2026
"MIL","Brewers",135.215,505.099,577.499,128.944,85.8115,22.6142,2.66195,17.8562,72.6594,68.9256,64.3995,4.81981,140.872,4.10925,2.83812,1.05342,13.5474,15.9955,4.09614,0.255285,0.342535,0.416652,0.759187,0.33028,0.111515,0.243935,0.457148,0.161368,5.15211,0.318113,,,76.3123,8.07637,-0.05,0.534701,0.534701,1.54508,9.15354233980179,-13.2654569633305,112.592,693.6,5.137777777,693.6,5.137777777,126.339996337891,0.87248322,"OF","/players/christian-yelich/11477/stats/batting",23,"NL","Christian Yelich",592885,"11477","11477","batx","thebatx",2026
"NYY","Yankees",117.293,414.959,474.9,88.3506,54.3868,16.4193,0.950074,16.5943,53.5426,52.1845,53.826,1.3626,150.021,2.69989,2.99935,0.415966,7.71233,3.54673,1.19741,0.212914,0.305335,0.377033,0.682367,0.300324,0.113342,0.315901,0.358789,0.164118,3.34032,0.285492,,,51.2043,-4.90883,1.56,-0.504227,-0.504227,1.53912,-4.67199796438217,3.37007701396942,92.5539,465.5,3.978632478,465.5,3.978632478,731.469970703125,0.00645161,"3B","/players/ryan-mcmahon/15112/stats/batting",9,"AL","Ryan McMahon",641857,"15112","15112","batx","thebatx",2026
"TEX","Rangers",125.494,475.245,512.744,116.291,76.6948,22.5311,1.02505,16.0401,55.5089,60.2324,29.3713,0.414138,128.206,4.3108,3.30606,0.511134,8.37799,3.76873,1.45252,0.244697,0.292783,0.397674,0.690457,0.299568,0.0572827,0.250039,0.229095,0.152977,3.39663,0.299879,,,54.9698,-5.61484,0.52,-0.567024,-0.567024,1.52345,-5.21424078941345,2.45663571357727,92.3101,501.2,4.0096,501.2,4.0096,631.280029296875,0.03816794,"3B","/players/josh-jung/26299/stats/batting",13,"AL","Josh Jung",673962,"26299","26299","batx","thebatx",2026
"SEA","Mariners",144.075,543.055,606.623,135.675,90.5862,24.8384,0.230273,20.0197,70.1728,73.7316,51.2588,5.27852,88.2506,5.96874,5.5168,0.651658,12.7246,12.8784,5.7148,0.249836,0.318426,0.407017,0.725443,0.313542,0.0844987,0.145478,0.580833,0.157181,3.64519,0.262672,,,71.9169,0.239715,0.91,-0.705592,-0.705592,1.51076,4.3439080119133,-10.4567154049873,107.062,658,4.569444444,658,4.569444444,64.4700012207031,0.13422819,"1B","/players/josh-naylor/18839/stats/batting",11,"AL","Josh Naylor",647304,"18839","18839","batx","thebatx",2026
"TBR","Rays",111.218,399.822,451.048,92.2617,55.4252,17.1347,2.68169,17.02,59.5818,50.4275,41.2474,0.5839,99.8907,4.02209,3.11462,2.81356,4.85044,20.6778,4.72574,0.230757,0.306848,0.414735,0.721583,0.313452,0.091448,0.221464,0.412926,0.183977,6.47855,0.263059,,,53.4402,0.145363,-3.43,1.53939,1.53939,1.50672,1.31980794668198,-2.11751461029053,99.587,502.3,4.525225225,502.3,4.525225225,325.429992675781,0.01515152,"OF","/players/cedric-mullins/17929/stats/batting",12,"AL","Cedric Mullins",656775,"17929","17929","batx","thebatx",2026
"KCR","Royals",146.426,562.666,628.394,144.629,88.663,30.5291,1.79753,23.6392,73.1881,86.5302,51.9344,3.41978,90.2226,6.05386,6.71524,1.02444,11.6106,0.915857,0.326296,0.257042,0.322963,0.443728,0.766691,0.329173,0.0826462,0.143577,0.575625,0.186686,2.61806,0.265608,,,82.4727,8.22314,-0.22,-0.89602,-0.89602,1.50422,5.23780530691147,-12.1639191806316,108.282,751.8,5.149315068,751.8,5.149315068,76.7600021362305,0.2125,"1B/DH","/players/vinnie-pasquantino/27676/stats/batting",7,"AL","Vinnie Pasquantino",686469,"27676","27676","batx","thebatx",2026
"TEX","Rangers",74.583,251.64,274.343,53.777,33.4477,10.9578,0.0640166,9.30745,27.0977,31.5649,17.3196,0.12301,69.5364,1.44744,1.91783,0.91946,3.75886,1.78072,0.796864,0.213706,0.266388,0.368722,0.63511,0.27639,0.063131,0.253465,0.249072,0.155016,2.70708,0.254528,,,24.2489,-8.16679,7.78,-0.314079,-0.314079,1.50327,-7.96314510703087,13.2136597633362,76.344,221.9,2.958666666,221.9,2.958666666,999,0.22826087,"C","/players/kyle-higashioka/5517/stats/batting",13,"AL","Kyle Higashioka",543309,"5517","5517","batx","thebatx",2026
"PIT","Pirates",123.48,436.448,490.795,106.293,74.2943,20.6063,2.33307,9.0593,56.4684,45.5512,45.7504,0.616242,110.969,3.76148,3.32243,1.51307,7.69604,11.9405,3.43529,0.243541,0.318436,0.363717,0.682152,0.301711,0.0932169,0.226101,0.41228,0.120176,5.13621,0.304101,,,53.4709,-4.5203,1.56,0.168025,0.168025,1.4859,-5.42582124471664,3.62005996704102,90.3835,478.9,3.893495934,478.9,3.893495934,735.080017089844,0.00862069,"3B","/players/jared-triolo/25807/stats/batting",27,"NL","Jared Triolo",669707,"25807","25807","batx","thebatx",2026
"TBR","Rays",110.317,397.502,446.892,100.47,70.5524,20.4601,2.63805,6.81924,48.8725,42.8828,43.7321,0.459919,94.8646,2.00195,3.18647,0.469367,9.36885,4.05654,1.16976,0.252753,0.327501,0.368963,0.696464,0.3079,0.0978583,0.212276,0.460995,0.116211,4.31481,0.313208,,,50.9333,-1.87044,0,-0.432376,-0.432376,1.48064,-2.66439762711525,1.75480496883392,95.7624,445.7,4.051818181,445.7,4.051818181,747.190002441406,0.43382353,"2B","/players/gavin-lux/19955/stats/batting",12,"AL","Gavin Lux",666158,"19955","19955","batx","thebatx",2026
"DET","Tigers",121.321,438.934,488.938,111.317,72.7387,20.2711,4.66628,13.6405,58.827,53.9609,43.1177,1.5341,102.524,2.96083,3.46054,0.464966,7.92083,3.77067,1.03674,0.253607,0.322219,0.41428,0.736499,0.319631,0.0881865,0.209687,0.420562,0.160674,4.81479,0.299409,,,60.3822,2.61039,0.13,-0.444692,-0.444692,1.47047,2.13398715853691,-4.59014856815338,104.475,543.5,4.491735537,543.5,4.491735537,432.869995117188,0.38636364,"2B","/players/colt-keith/27899/stats/batting",6,"AL","Colt Keith",690993,"27899","27899","batx","thebatx",2026
"MIA","Marlins",135.174,522.906,580.056,142.545,115.07,21.8127,4.0512,1.61121,65.5153,40.5723,44.9997,1.51997,80.1794,2.72958,4.14153,5.2793,11.347,27.5979,6.6438,0.272602,0.331041,0.339055,0.670096,0.297572,0.0775782,0.138227,0.561238,0.0664532,6.14338,0.316523,,,61.2464,-7.29173,-0.58,1.73412,1.73412,1.4683,-6.45345377922058,1.50601834058762,88.0906,560.8,4.154074074,560.8,4.154074074,186.070007324219,0.00724638,"2B/SS","/players/xavier-edwards/22266/stats/batting",20,"NL","Xavier Edwards",669364,"22266","22266","batx","thebatx",2026
"ATL","Braves",88.465,313.67,356.275,76.11,51.9824,13.3347,2.10486,8.68801,45.4914,32.4599,33.7289,1.00872,63.1528,3.07504,2.72457,2.97438,5.59286,12.9089,4.1891,0.242644,0.31969,0.38167,0.70136,0.30792,0.0946709,0.177259,0.534083,0.139027,5.94997,0.275694,,,40.6113,-1.4853,-0.24,0.286796,0.286796,1.4659,-1.38133054971695,3.85560156404972,96.0495,369.8,4.202272727,369.8,4.202272727,742.840026855469,0,"SS","/players/ha-seong-kim/27506/stats/batting",16,"NL","Ha-Seong Kim",673490,"27506","27506","batx","thebatx",2026
"MIA","Marlins",138.554,511.802,576.813,120.931,69.7898,25.3786,1.59348,24.1688,67.5536,78.0895,53.4902,1.94234,165.735,6.874,3.80957,0.837024,9.25904,3.87385,1.09883,0.236284,0.314761,0.433766,0.748527,0.323554,0.092734,0.287329,0.322745,0.197482,3.53442,0.297082,,,73.0717,4.91683,-2.18,-0.52163,-0.52163,1.45272,3.50436282157898,-8.49622988700867,105.889,659.9,4.747482014,659.9,4.747482014,132.169998168945,0.05839416,"OF","/players/kyle-stowers/26151/stats/batting",20,"NL","Kyle Stowers",669065,"26151","26151","batx","thebatx",2026
"DET","Tigers",114.868,430.804,473.471,107.865,61.379,20.0858,3.14365,23.2568,60.4481,67.6119,31.2131,1.35102,113.242,6.87782,3.49028,0.496743,6.96849,2.77087,0.846313,0.250381,0.308977,0.473554,0.782531,0.333921,0.0659239,0.239175,0.275631,0.223172,4.39836,0.284116,,,63.9655,8.02125,-0.03,-0.440155,-0.440155,1.44699,7.55038297176361,-9.703627852723,114.319,582,5.060869565,582,5.060869565,235.550003051758,0.37301587,"DH/OF","/players/kerry-carpenter/25961/stats/batting",6,"AL","Kerry Carpenter",681481,"25961","25961","batx","thebatx",2026
"NYY","Yankees",110.492,409.559,450.326,94.0069,59.9968,19.715,1.68308,12.612,54.0996,44.4082,31.2745,0.395764,109.454,4.20323,3.53823,1.75123,6.99209,15.7717,4.36903,0.229532,0.288658,0.378271,0.666929,0.290897,0.0694486,0.243055,0.285732,0.148739,5.90275,0.279678,,,45.1079,-8.10157,-0.06,0.737463,0.737463,1.42148,-6.66139364242554,5.05537027493119,86.0599,432.2,3.929090909,432.2,3.929090909,633.760009765625,0,"SS","/players/anthony-volpe/27647/stats/batting",9,"AL","Anthony Volpe",683011,"27647","27647","batx","thebatx",2026
"MIN","Twins",91.167,310.026,347.137,76.8966,53.4396,13.3724,0,10.0846,37.4223,39.395,26.6296,0.851888,63.6915,6.2297,2.99364,0.447888,8.53155,0.802048,0.37139,0.248032,0.317324,0.38875,0.706074,0.309446,0.076712,0.183477,0.418103,0.140718,2.06509,0.279263,,,39.9999,-1.01706,3.46,-0.555774,-0.555774,1.41116,-1.80285096168518,3.64758644998074,96.952,353.8,3.887912087,353.8,3.887912087,687.169982910156,0.31914894,"C","/players/victor-caratini/14968/stats/batting",8,"AL","Victor Caratini",605170,"14968","14968","batx","thebatx",2026
"LAD","Dodgers",108.981,403.18,441.481,98.6686,66.5145,18.8371,2.42371,10.8933,55.0423,46.1615,28.5457,0.737949,74.8685,4.3024,3.38767,2.06518,8.60225,9.83803,2.67271,0.244726,0.299299,0.384525,0.683824,0.297817,0.064659,0.169585,0.381278,0.1398,5.45291,0.273609,,,46.7025,-5.46187,2.32,0.221998,0.221998,1.41025,-4.95359322428703,4.04918026924133,90.1087,430.9,3.953211009,430.9,3.953211009,721.789978027344,0.00952381,"2B","/players/tommy-edman/19470/stats/batting",22,"NL","Tommy Edman",669242,"19470","19470","batx","thebatx",2026
"DET","Tigers",146.552,538.045,615.101,123.441,69.9595,26.4768,0.593887,26.4103,72.4712,80.7345,63.6531,2.89716,158.081,7.46487,5.44811,0.489632,7.76908,2.27859,0.828546,0.229424,0.316555,0.428098,0.744653,0.322099,0.103484,0.257,0.402661,0.198674,2.56452,0.270278,,,77.1956,4.51665,0.45,-0.795807,-0.795807,1.4063,3.68095338344574,-11.1065528988838,106.175,690.3,4.695918367,690.3,4.695918367,182.740005493164,0.06451613,"1B","/players/spencer-torkelson/27465/stats/batting",6,"AL","Spencer Torkelson",679529,"27465","27465","batx","thebatx",2026
"CIN","Reds",142.601,532.684,599.163,123.082,65.5152,23.2978,0.411127,33.8581,73.3653,92.3037,50.4239,0.563405,176.642,9.784,5.2699,0.545759,7.66386,2.35703,0.924116,0.231061,0.306423,0.467025,0.773447,0.331589,0.0841573,0.294815,0.285458,0.235964,2.59968,0.272479,,,79.8116,9.01582,0,-0.7333,-0.7333,1.40425,4.84395891427994,-11.0531778335571,107.854,723.1,5.056643356,723.1,5.056643356,101.029998779297,0.02484472,"3B","/players/eugenio-suarez/12552/stats/batting",18,"NL","Eugenio Suárez",553993,"12552","12552","batx","thebatx",2026
"STL","Cardinals",139.345,527.232,578.494,138.638,92.0081,25.4127,0.497064,20.7205,65.906,73.952,39.4196,1.07496,83.9683,3.99993,5.52189,1.67267,11.7288,4.88255,1.8743,0.262955,0.315978,0.430942,0.74692,0.322398,0.0681418,0.14515,0.469458,0.167987,3.10809,0.275467,,,72.7416,4.38808,-0.04,-0.678,-0.678,1.39795,5.20883947610855,-10.791929282248,108.586,654.2,4.70647482,654.2,4.70647482,176.259994506836,0.14864865,"DH/OF","/players/alec-burleson/27615/stats/batting",28,"NL","Alec Burleson",676475,"27615","27615","batx","thebatx",2026
"BAL","Orioles",89.604,324.856,370.047,76.2803,42.4677,13.8148,0.94153,19.0562,49.2338,51.0061,37.3835,1.38452,104.292,4.87658,2.51704,0.414245,5.31593,3.89658,1.25908,0.234813,0.320698,0.459117,0.779815,0.335374,0.101024,0.281835,0.35845,0.224305,4.0594,0.280477,,,50.4296,6.70567,-0.54,-0.286505,-0.286505,1.38907,7.1344918012619,-6.29413944482803,117.015,456.3,5.07,456.3,5.07,518.369995117188,0.25,"OF","/players/tyler-oneill/15711/stats/batting",2,"AL","Tyler O'Neill",641933,"15711","15711","batx","thebatx",2026
"WSN","Nationals",136.436,514.35,563.723,121.373,79.6823,22.6912,3.06184,15.9376,66.2887,59.3645,36.9208,0.651495,129.472,8.00427,3.69181,0.756601,8.84796,22.61,6.48641,0.235974,0.295396,0.384954,0.68035,0.296815,0.0654945,0.229672,0.285165,0.14898,6.18377,0.282948,,,59.1753,-7.43292,4.38,1.04739,1.04739,1.37553,-6.34675264358521,1.03598046302795,88.9331,559.7,4.115441176,559.7,4.115441176,170.770004272461,0.02247191,"OF","/players/dylan-crews/33541/stats/batting",24,"NL","Dylan Crews",686611,"33541","33541","batx","thebatx",2026
"CIN","Reds",119.788,440.155,483.702,119.414,76.4472,24.1301,0.52822,18.3089,59.1652,63.4281,35.0763,0.865043,89.4221,4.27548,3.61413,0.581489,9.2532,5.80326,2.14805,0.271301,0.328627,0.453313,0.78194,0.337064,0.0725164,0.18487,0.392256,0.182012,3.47764,0.300876,,,66.5817,9.4286,-0.09,-0.477769,-0.477769,1.36543,6.17489156126976,-8.92210564017296,111.604,593.7,4.9475,593.7,4.9475,178.139999389648,0,"1B/3B","/players/sal-stewart/31505/stats/batting",18,"NL","Sal Stewart",701398,"31505","31505","batx","thebatx",2026
"MIN","Twins",122.128,454.693,496.573,107.066,66.8058,22.86,0.541373,16.8591,56.7942,57.1737,34.6793,0.977032,104.949,2.86783,3.72839,0.604028,6.9297,9.70002,3.51418,0.235469,0.291577,0.39936,0.690938,0.2993,0.0698372,0.211346,0.330441,0.163891,4.11705,0.267984,,,53.1285,-5.54547,0.62,-0.181569,-0.181569,1.34721,-6.05607311427593,2.13240659236908,89.9627,498.2,4.083606557,498.2,4.083606557,183.860000610352,0.06603774,"3B","/players/royce-lewis/20437/stats/batting",8,"AL","Royce Lewis",668904,"20437","20437","batx","thebatx",2026
"STL","Cardinals",131.79,458.751,512.24,101.428,73.7652,15.9383,4.07527,7.64913,61.1369,33.2128,37.0158,0.542544,120.02,7.19668,3.66728,5.60876,7.11904,31.8001,4.92477,0.221095,0.287468,0.323626,0.611095,0.271701,0.0722626,0.234305,0.308412,0.102531,7.5107,0.280146,,,43.3263,-17.1988,6.32,3.56798,3.56798,1.33951,-12.3037660121918,8.3537962436676,73.8569,429.8,3.256060606,429.8,3.256060606,367.989990234375,0,"OF","/players/victor-scott-ii/31349/stats/batting",28,"NL","Victor Scott II",687363,"31349","31349","batx","thebatx",2026
