"Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","FPTS","FPTS_G","SPTS","SPTS_G","ADP","Pos","minpos","UPURL","teamid","League","PlayerName","xMLBAMID","playerids","playerid","projection_system","projection_type","season"
"ARI","Diamondbacks",140.022,533.872,612.149,147.514,85.6371,30.905,1.82337,29.1482,85.8293,94.8788,66.7156,4.38962,100.651,6.30024,4.24582,0.633988,12.7756,4.84537,1.79616,0.276309,0.360853,0.504821,0.865674,0.369482,0.108986,0.164423,0.662838,0.228512,3.65275,0.289885,,,100.375,28.0446,-0.25,-0.784879,-0.784879,4.78421,26.5731763839722,-0.178763806819916,137.708,891.6,6.368571428,891.6,6.368571428,32.2700004577637,0.168,"2B","/players/ketel-marte/13613/stats/batting",15,"NL","Ketel Marte",606466,"13613","13613","batx","thebatx",2026
"MIL","Brewers",143.897,523.563,599.621,137.783,89.6832,27.1172,0,20.9824,71.6323,80.8694,66.3587,2.71364,119.024,4.64191,4.09452,0.962822,15.0098,5.34018,2.10214,0.263164,0.348752,0.435186,0.783938,0.340968,0.110668,0.198499,0.557524,0.172022,2.77095,0.301303,,,84.4387,13.5889,5.49,-0.835694,-0.835694,4.69516,13.3164268732071,12.624372959137,119.914,741.4,5.148611111,741.4,5.148611111,55.1699981689453,0.14473684,"C","/players/william-contreras/20503/stats/batting",23,"NL","William Contreras",661388,"20503","20503","batx","thebatx",2026
"HOU","Astros",129.283,470.397,552.423,137.287,76.07,26.9168,1.26546,33.0343,83.2348,91.3144,68.6603,8.88989,92.0018,7.69281,5.14901,0.524334,9.12747,3.49595,1.17865,0.291853,0.387099,0.565134,0.952234,0.399659,0.124289,0.166542,0.746293,0.273281,3.14537,0.297431,,,104.116,38.8432,-0.44,-0.731048,-0.731048,4.64668,38.6141781806946,-12.211138188839,160.429,925.3,7.172868217,925.3,7.172868217,33.0699996948242,0.68085106,"DH/OF","/players/yordan-alvarez/19556/stats/batting",21,"AL","Yordan Alvarez",670541,"19556","19556","batx","thebatx",2026
"LAD","Dodgers",123.476,424.761,497.176,115.06,68.4111,20.9591,1.65374,24.0363,72.6371,72.6842,56.1455,2.28301,93.7419,9.14969,5.79313,0.468694,7.73281,2.95551,1.06564,0.270882,0.36373,0.497776,0.861506,0.368849,0.112929,0.188549,0.598937,0.226894,3.60081,0.29102,,,81.2669,22.5217,-2.55,-0.712911,-0.712911,4.61056,22.131189763546,6.39116311073303,138.768,714.8,5.811382113,714.8,5.811382113,98.3199996948242,0.00980392,"C","/players/will-smith/19197/stats/batting",22,"NL","Will Smith",669257,"19197","19197","batx","thebatx",2026
"ARI","Diamondbacks",138.004,523.465,601.744,136.128,74.6068,29.0832,6.94241,25.4953,96.3386,77.0891,62.9298,2.58978,125.125,7.92857,3.93621,3.48406,7.62517,34.0441,6.61512,0.260051,0.34598,0.488249,0.83423,0.356974,0.104579,0.207937,0.502936,0.228198,7.75352,0.293625,,,92.5575,21.4568,7.11,3.1566,3.1566,4.59044,23.9385232925415,0.908151626586914,129.139,855.6,6.2,855.6,6.2,14.8999996185303,0.02083333,"OF","/players/corbin-carroll/25878/stats/batting",15,"NL","Corbin Carroll",682998,"25878","25878","batx","thebatx",2026
"ATL","Braves",143.672,534.036,628.896,148.625,91.4086,24.6724,3.24405,29.3001,101.744,82.7402,82.0081,3.41025,135.69,8.4759,3.82502,0.551307,12.0152,26.2457,9.00853,0.278306,0.380538,0.501251,0.881789,0.379008,0.1304,0.215758,0.60438,0.222945,5.93441,0.320017,,,107.985,33.6758,-2.8,0.381699,0.381699,4.54717,33.734825104475,-10.2143752574921,144.747,956.8,6.644444444,956.8,6.644444444,5.48000001907349,0.04210526,"OF","/players/ronald-acuna-jr/18401/stats/batting",16,"NL","Ronald Acuña Jr.",660670,"18401","18401","batx","thebatx",2026
"NYM","Mets",140.706,546.905,620.836,140.22,86.508,27.1031,1.5755,25.033,85.3015,76.8085,53.6801,1.06522,115.912,9.52928,4.5214,0.684778,9.2724,21.6194,6.69349,0.256388,0.330975,0.449023,0.779998,0.337419,0.0864642,0.186702,0.463112,0.192635,5.18735,0.280613,,,85.6372,12.2807,1.02,0.601433,0.601433,4.40574,15.3390244841576,7.06720113754272,120.029,775.9,5.502836879,775.9,5.502836879,26.4699993133545,0.0125,"SS","/players/francisco-lindor/12916/stats/batting",25,"NL","Francisco Lindor",596019,"12916","12916","batx","thebatx",2026
"CLE","Guardians",150.798,576.278,649.666,155.79,94.4678,31.0007,4.10998,26.2119,91.3561,83.8608,62.2288,14.9479,72.203,4.49233,5.95441,0.712909,6.96929,34.0383,9.4997,0.270339,0.342878,0.474852,0.81773,0.343884,0.0957859,0.111139,0.861859,0.204513,6.27741,0.267825,,,93.0244,16.2613,0.6,1.95193,1.95193,4.38209,19.2701833248138,1.19977563619614,122.617,892.1,5.907947019,892.1,5.907947019,5.94999980926514,0.1625,"3B","/players/jose-ramirez/13510/stats/batting",5,"AL","José Ramírez",608070,"13510","13510","batx","thebatx",2026
"LAD","Dodgers",142.781,528.618,620.24,142.326,82.8517,28.4038,2.45285,28.618,95.5481,86.4013,81.0001,5.83132,88.7134,3.55762,5.10502,0.825265,8.79657,17.3989,6.36905,0.269242,0.36696,0.494667,0.861627,0.368045,0.130595,0.143031,0.913054,0.225425,5.18966,0.27308,,,100.978,27.6916,0.35,-0.195149,-0.195149,4.32515,27.8986542224884,-6.26023188233376,138.217,901.9,6.306993006,901.9,6.306993006,13.1499996185303,0.14179104,"OF","/players/kyle-tucker/18345/stats/batting",22,"NL","Kyle Tucker",663656,"18345","18345","batx","thebatx",2026
"TOR","Blue Jays",122.314,429.438,484.139,115.312,77.638,19.659,0,18.0148,59.3117,62.4151,45.0115,1.62265,59.4146,4.5483,4.57402,0.566994,12.2241,0.304906,0.152781,0.268518,0.340945,0.440145,0.78109,0.33844,0.0929723,0.122722,0.757583,0.171627,1.63879,0.272859,,,67.183,9.97827,7.31,-0.830591,-0.830591,4.31067,9.60383099317551,15.8653120994568,118.286,592.2,4.85409836,592.2,4.85409836,157.119995117188,0.056,"C","/players/alejandro-kirk/22581/stats/batting",14,"AL","Alejandro Kirk",672386,"22581","22581","batx","thebatx",2026
