"park_era_half_id","park_era_id","half","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","half_effect","half_se","delta_overall","delta_half","pf_index_overall","pf_index_half","component"
"venue_5340__base__1H","venue_5340__base","1H",326,"5340","Estadio Alfredo Harp Helu","AZ",0.00110122598992401,0.00460001345709557,0,0,0.00110122598992401,0.00110122598992401,123.996045116799,123.996045116799,"double_resid"
"venue_3949__base__1H","venue_3949__base","1H",32,"3949","Rickwood Field","STL",0.000972553389695266,0.00490470211621388,0,0,0.000972553389695266,0.000972553389695266,121.19223050596,121.19223050596,"double_resid"
"venue_2756__buffalo__1H","venue_2756__buffalo","1H",760,"2756","Sahlen Field","TOR",0.000550024981343733,0.00403372703868152,0,0,0.000550024981343733,0.000550024981343733,111.985209565024,111.985209565024,"double_resid"
"venue_2756__buffalo__2H","venue_2756__buffalo","2H",437,"2756","Sahlen Field","TOR",0.000550024981343733,0.00403372703868152,0,0,0.000550024981343733,0.000550024981343733,111.985209565024,111.985209565024,"double_resid"
"venue_4169__fence_reduced__1H","venue_4169__fence_reduced","1H",12167,"4169","loanDepot park","MIA",0.000434792089386133,0.00218310799510439,0,0,0.000434792089386133,0.000434792089386133,109.474250234556,109.474250234556,"double_resid"
"venue_4169__fence_reduced__2H","venue_4169__fence_reduced","2H",10741,"4169","loanDepot park","MIA",0.000434792089386133,0.00218310799510439,0,0,0.000434792089386133,0.000434792089386133,109.474250234556,109.474250234556,"double_resid"
"venue_5__wind_tunnel__1H","venue_5__wind_tunnel","1H",5701,"5","Progressive Field","CLE",0.000381297963966036,0.00260765542851455,0,0,0.000381297963966036,0.000381297963966036,108.308597172597,108.308597172597,"double_resid"
"venue_5__wind_tunnel__2H","venue_5__wind_tunnel","2H",4290,"5","Progressive Field","CLE",0.000381297963966036,0.00260765542851455,0,0,0.000381297963966036,0.000381297963966036,108.308597172597,108.308597172597,"double_resid"
"venue_2756__base__2H","venue_2756__base","2H",41,"2756","Sahlen Field","TOR",0.000267253175590221,0.00489423502316422,0,0,0.000267253175590221,0.000267253175590221,105.823526976069,105.823526976069,"double_resid"
"venue_2395__bullpen_center__1H","venue_2395__bullpen_center","1H",12419,"2395","Oracle Park","SFG",0.000220548598090083,0.00218354279015239,0,0,0.000220548598090083,0.000220548598090083,104.805820202792,104.805820202792,"double_resid"
"venue_2395__bullpen_center__2H","venue_2395__bullpen_center","2H",10160,"2395","Oracle Park","SFG",0.000220548598090083,0.00218354279015239,0,0,0.000220548598090083,0.000220548598090083,104.805820202792,104.805820202792,"double_resid"
"venue_2__wall_medium__1H","venue_2__wall_medium","1H",4512,"2","Oriole Park at Camden Yards","BAL",4.63693163563647e-05,0.00289383867267875,0,0,4.63693163563647e-05,4.63693163563647e-05,101.010401332245,101.010401332245,"double_resid"
"venue_2__wall_medium__2H","venue_2__wall_medium","2H",1991,"2","Oriole Park at Camden Yards","BAL",4.63693163563647e-05,0.00289383867267875,0,0,4.63693163563647e-05,4.63693163563647e-05,101.010401332245,101.010401332245,"double_resid"
"venue_2735__base__2H","venue_2735__base","2H",235,"2735","Journey Bank Ballpark","NYM",2.97254933600051e-05,0.00468721146189097,0,0,2.97254933600051e-05,2.97254933600051e-05,100.647727429531,100.647727429531,"double_resid"
"venue_2602__base__1H","venue_2602__base","1H",22143,"2602","Great American Ball Park","CIN",9.40645647144933e-06,0.00197717038464124,0,0,9.40645647144933e-06,9.40645647144933e-06,100.20496951211,100.20496951211,"double_resid"
"venue_2602__base__2H","venue_2602__base","2H",20178,"2602","Great American Ball Park","CIN",9.40645647144933e-06,0.00197717038464124,0,0,9.40645647144933e-06,9.40645647144933e-06,100.20496951211,100.20496951211,"double_resid"
"venue_2536__base__2H","venue_2536__base","2H",46,"2536","TD Ballpark","TOR",-3.03402634038644e-05,0.00488852101072763,0,0,-3.03402634038644e-05,-3.03402634038644e-05,99.3388765465434,99.3388765465434,"double_resid"
"venue_22__base__1H","venue_22__base","1H",21840,"22","Dodger Stadium","LAD",-0.000156163378358303,0.00197770198494853,0,0,-0.000156163378358303,-0.000156163378358303,96.5971530757859,96.5971530757859,"double_resid"
"venue_22__base__2H","venue_22__base","2H",19633,"22","Dodger Stadium","LAD",-0.000156163378358303,0.00197770198494853,0,0,-0.000156163378358303,-0.000156163378358303,96.5971530757859,96.5971530757859,"double_resid"
"venue_10__base__1H","venue_10__base","1H",18927,"10","Oakland Coliseum","ATH",-0.000204928270412866,0.00201977186185038,0,0,-0.000204928270412866,-0.000204928270412866,95.5345514294718,95.5345514294718,"double_resid"
"venue_10__base__2H","venue_10__base","2H",18694,"10","Oakland Coliseum","ATH",-0.000204928270412866,0.00201977186185038,0,0,-0.000204928270412866,-0.000204928270412866,95.5345514294718,95.5345514294718,"double_resid"
"venue_5365__base__1H","venue_5365__base","1H",44,"5365","TD Ameritrade Park","KCR",-0.000299292711165718,0.0048933045914382,0,0,-0.000299292711165718,-0.000299292711165718,93.4783219194117,93.4783219194117,"double_resid"
"venue_2395__base__1H","venue_2395__base","1H",10661,"2395","AT&T Park","SFG",-0.000446174450928322,0.00223940954286662,0,0,-0.000446174450928322,-0.000446174450928322,90.2777246883015,90.2777246883015,"double_resid"
"venue_2395__base__2H","venue_2395__base","2H",10322,"2395","AT&T Park","SFG",-0.000446174450928322,0.00223940954286662,0,0,-0.000446174450928322,-0.000446174450928322,90.2777246883015,90.2777246883015,"double_resid"
"venue_2392__base__1H","venue_2392__base","1H",22568,"2392","Minute Maid Park","HOU",-0.000897728664225269,0.00198446285124026,0,0,-0.000897728664225269,-0.000897728664225269,80.4382227385683,80.4382227385683,"double_resid"
"venue_2392__base__2H","venue_2392__base","2H",19778,"2392","Minute Maid Park","HOU",-0.000897728664225269,0.00198446285124026,0,0,-0.000897728664225269,-0.000897728664225269,80.4382227385683,80.4382227385683,"double_resid"
"venue_5150__base__1H","venue_5150__base","1H",123,"5150","Gocheok Sky Dome","LAD",-0.00100913100585489,0.00480294495822051,0,0,-0.00100913100585489,-0.00100913100585489,78.0107322504026,78.0107322504026,"double_resid"
"venue_4705__suntrust__1H","venue_4705__suntrust","1H",18466,"4705","Truist Park","ATL",-0.0011270778342985,0.00203466957807953,0,0,-0.0011270778342985,-0.0011270778342985,75.4406354286671,75.4406354286671,"double_resid"
"venue_4705__suntrust__2H","venue_4705__suntrust","2H",16015,"4705","Truist Park","ATL",-0.0011270778342985,0.00203466957807953,0,0,-0.0011270778342985,-0.0011270778342985,75.4406354286671,75.4406354286671,"double_resid"
"venue_32__base__1H","venue_32__base","1H",22526,"32","American Family Field","MIL",-0.0011563546315897,0.00197810630464053,0,0,-0.0011563546315897,-0.0011563546315897,74.8026852212592,74.8026852212592,"double_resid"
"venue_32__base__2H","venue_32__base","2H",19265,"32","American Family Field","MIL",-0.0011563546315897,0.00197810630464053,0,0,-0.0011563546315897,-0.0011563546315897,74.8026852212592,74.8026852212592,"double_resid"
"venue_16__base__1H","venue_16__base","1H",4131,"16","Turner Field","ATL",-0.00129985303018959,0.00276298610990684,0,0,-0.00129985303018959,-0.00129985303018959,71.6758120104035,71.6758120104035,"double_resid"
"venue_16__base__2H","venue_16__base","2H",4260,"16","Turner Field","ATL",-0.00129985303018959,0.00276298610990684,0,0,-0.00129985303018959,-0.00129985303018959,71.6758120104035,71.6758120104035,"double_resid"
"venue_12__base__1H","venue_12__base","1H",18527,"12","Tropicana Field","TBR",-0.00131992778382887,0.00202990966162658,0,0,-0.00131992778382887,-0.00131992778382887,71.2383770983651,71.2383770983651,"double_resid"
"venue_12__base__2H","venue_12__base","2H",17109,"12","Tropicana Field","TBR",-0.00131992778382887,0.00202990966162658,0,0,-0.00131992778382887,-0.00131992778382887,71.2383770983651,71.2383770983651,"double_resid"
"venue_6130__base__2H","venue_6130__base","2H",44,"6130","Bristol Motor Speedway","CIN",-0.00138974630065271,0.00489071748236801,0,0,-0.00138974630065271,-0.00138974630065271,69.7170106440479,69.7170106440479,"double_resid"
"venue_3309__base__1H","venue_3309__base","1H",22166,"3309","Nationals Park","WSH",-0.00149560831626223,0.00196277438022375,0,0,-0.00149560831626223,-0.00149560831626223,67.410245524114,67.410245524114,"double_resid"
"venue_3309__base__2H","venue_3309__base","2H",21958,"3309","Nationals Park","WSH",-0.00149560831626223,0.00196277438022375,0,0,-0.00149560831626223,-0.00149560831626223,67.410245524114,67.410245524114,"double_resid"
"venue_2681__base__1H","venue_2681__base","1H",22142,"2681","Citizens Bank Park","PHI",-0.00244943350573143,0.00196951546997472,0,0,-0.00244943350573143,-0.00244943350573143,46.6261081268288,46.6261081268288,"double_resid"
"venue_2681__base__2H","venue_2681__base","2H",20870,"2681","Citizens Bank Park","PHI",-0.00244943350573143,0.00196951546997472,0,0,-0.00244943350573143,-0.00244943350573143,46.6261081268288,46.6261081268288,"double_resid"
"venue_2889__base__1H","venue_2889__base","1H",23514,"2889","Busch Stadium","STL",-0.00248901239380671,0.00196899375382312,0,0,-0.00248901239380671,-0.00248901239380671,45.7636722665993,45.7636722665993,"double_resid"
"venue_2889__base__2H","venue_2889__base","2H",20616,"2889","Busch Stadium","STL",-0.00248901239380671,0.00196899375382312,0,0,-0.00248901239380671,-0.00248901239380671,45.7636722665993,45.7636722665993,"double_resid"
"venue_5325__globe_life__1H","venue_5325__globe_life","1H",12108,"5325","Globe Life Field","TEX",-0.00273404351564695,0.00218714543619749,0,0,-0.00273404351564695,-0.00273404351564695,40.4243705170066,40.4243705170066,"double_resid"
"venue_5325__globe_life__2H","venue_5325__globe_life","2H",10298,"5325","Globe Life Field","TEX",-0.00273404351564695,0.00218714543619749,0,0,-0.00273404351564695,-0.00273404351564695,40.4243705170066,40.4243705170066,"double_resid"
"venue_2680__base__1H","venue_2680__base","1H",22602,"2680","Petco Park","SDP",-0.0027447331726401,0.00197768108259869,0,0,-0.0027447331726401,-0.0027447331726401,40.1914396800686,40.1914396800686,"double_resid"
"venue_2680__base__2H","venue_2680__base","2H",19339,"2680","Petco Park","SDP",-0.0027447331726401,0.00197768108259869,0,0,-0.0027447331726401,-0.0027447331726401,40.1914396800686,40.1914396800686,"double_resid"
"venue_4169__base__1H","venue_4169__base","1H",2138,"4169","Marlins Park","MIA",-0.00293583283450008,0.00327112692434895,0,0,-0.00293583283450008,-0.00293583283450008,36.027320643872,36.027320643872,"double_resid"
"venue_4169__base__2H","venue_4169__base","2H",2135,"4169","Marlins Park","MIA",-0.00293583283450008,0.00327112692434895,0,0,-0.00293583283450008,-0.00293583283450008,36.027320643872,36.027320643872,"double_resid"
"venue_2394__base__1H","venue_2394__base","1H",14854,"2394","Comerica Park","DET",-0.00307791135125736,0.00210619938703932,0,0,-0.00307791135125736,-0.00307791135125736,32.9313870848839,32.9313870848839,"double_resid"
"venue_2394__base__2H","venue_2394__base","2H",15251,"2394","Comerica Park","DET",-0.00307791135125736,0.00210619938703932,0,0,-0.00307791135125736,-0.00307791135125736,32.9313870848839,32.9313870848839,"double_resid"
"venue_17__base__1H","venue_17__base","1H",21391,"17","Wrigley Field","CHC",-0.00327440496106758,0.0019764930688777,0,0,-0.00327440496106758,-0.00327440496106758,28.6497323025681,28.6497323025681,"double_resid"
"venue_17__base__2H","venue_17__base","2H",20965,"17","Wrigley Field","CHC",-0.00327440496106758,0.0019764930688777,0,0,-0.00327440496106758,-0.00327440496106758,28.6497323025681,28.6497323025681,"double_resid"
"venue_2__base__1H","venue_2__base","1H",12881,"2","Oriole Park at Camden Yards","BAL",-0.00346484235929487,0.00216803160041519,0,0,-0.00346484235929487,-0.00346484235929487,24.5000441898647,24.5000441898647,"double_resid"
"venue_2__base__2H","venue_2__base","2H",12830,"2","Oriole Park at Camden Yards","BAL",-0.00346484235929487,0.00216803160041519,0,0,-0.00346484235929487,-0.00346484235929487,24.5000441898647,24.5000441898647,"double_resid"
"venue_4169__cf_in_407__1H","venue_4169__cf_in_407","1H",8528,"4169","Marlins Park","MIA",-0.00395598288886247,0.00236596352915263,0,0,-0.00395598288886247,-0.00395598288886247,13.7979445172934,13.7979445172934,"double_resid"
"venue_4169__cf_in_407__2H","venue_4169__cf_in_407","2H",7897,"4169","Marlins Park","MIA",-0.00395598288886247,0.00236596352915263,0,0,-0.00395598288886247,-0.00395598288886247,13.7979445172934,13.7979445172934,"double_resid"
"venue_2394__cf_in_412__1H","venue_2394__cf_in_412","1H",8503,"2394","Comerica Park","DET",-0.00458566859050257,0.00239733472123268,0,0,-0.00458566859050257,-0.00458566859050257,0.076903927793992,0.076903927793992,"double_resid"
"venue_2394__cf_in_412__2H","venue_2394__cf_in_412","2H",5907,"2394","Comerica Park","DET",-0.00458566859050257,0.00239733472123268,0,0,-0.00458566859050257,-0.00458566859050257,0.076903927793992,0.076903927793992,"double_resid"
"venue_2__wall_deep__1H","venue_2__wall_deep","1H",6386,"2","Oriole Park at Camden Yards","BAL",-0.0048341700417425,0.00248387533455877,0,0,-0.0048341700417425,-0.0048341700417425,-5.3380173418673,-5.3380173418673,"double_resid"
"venue_2__wall_deep__2H","venue_2__wall_deep","2H",6165,"2","Oriole Park at Camden Yards","BAL",-0.0048341700417425,0.00248387533455877,0,0,-0.0048341700417425,-0.0048341700417425,-5.3380173418673,-5.3380173418673,"double_resid"
"venue_3289__rf_in_362__1H","venue_3289__rf_in_362","1H",8258,"3289","Citi Field","NYM",-0.0050089170559303,0.00240210213363737,0,0,-0.0050089170559303,-0.0050089170559303,-9.14580727312901,-9.14580727312901,"double_resid"
"venue_3289__rf_in_362__2H","venue_3289__rf_in_362","2H",5853,"3289","Citi Field","NYM",-0.0050089170559303,0.00240210213363737,0,0,-0.0050089170559303,-0.0050089170559303,-9.14580727312901,-9.14580727312901,"double_resid"
