"model","term","estimate","std_error","t_value"
"k_per_pa","(Intercept)",0.242584469234415,0.00253245675450252,95.7901724493883
"k_per_pa","month_grpmay",-0.00363111973954004,0.00102950163708161,-3.52706553224471
"k_per_pa","month_grpjun",-0.00353167771224638,0.00107535100966718,-3.28420923075103
"k_per_pa","month_grpjul",-0.00395943781409104,0.00109907998960755,-3.60250195757349
"k_per_pa","month_grpaug",-0.00402251555158977,0.0011096422497292,-3.6250562310253
"k_per_pa","month_grpsep_oct",0.00111705825102209,0.00111611228337463,1.00084755598657
"k_per_pa","handR",-0.00542913205398317,0.00184913862838993,-2.93603301052144
"k_per_pa","matchup_same",0.0195931230594726,0.00074896157055441,26.1603850314629
"k_per_pa","drag_c",-0.141658337115329,0.0661268448039235,-2.1422213253236
"k_per_pa","drag_missing",-0.0113589823153924,0.00334558685264058,-3.39521369963152
"bb_per_pa","(Intercept)",0.0975078283493851,0.000964266261930329,101.121269299817
"bb_per_pa","month_grpmay",-0.0046413304058141,0.000671674793030695,-6.91008573490117
"bb_per_pa","month_grpjun",-0.00639757282482469,0.000696581920306132,-9.1842361082428
"bb_per_pa","month_grpjul",-0.0062048759160541,0.000742905034102754,-8.35217912279738
"bb_per_pa","month_grpaug",-0.00621799171491604,0.000746379015246726,-8.33087692432054
"bb_per_pa","month_grpsep_oct",-0.00348052280898983,0.000746678389640773,-4.66134129134808
"bb_per_pa","handR",-0.00819472977104542,0.000780139395397822,-10.5041865843304
"bb_per_pa","matchup_same",-0.0138754490663047,0.000483107665706289,-28.7212355573353
"bb_per_pa","drag_c",0.00206455816655713,0.0407905236708669,0.0506136715286072
"bb_per_pa","drag_missing",-0.00721751538521566,0.00169029463411384,-4.26997473668223
