local_time,pid,run_state,stage,last_validation,last_line
"2026-03-02 07:35 PST","480","running","fitting_final_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Rows: 1634138"
"2026-03-02 07:36 PST","480","running","fitting_final_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Rows: 1634138"
"2026-03-02 07:37 PST","480","running","fitting_final_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Rows: 1634138"
"2026-03-02 07:38 PST","480","running","fitting_final_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Rows: 1634138"
"2026-03-02 07:39 PST","480","running","extracting_tables","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Extracting half/overall park-factor tables..."
"2026-03-02 07:40 PST","480","running","extracting_tables","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Extracting half/overall park-factor tables..."
"2026-03-02 07:41 PST","480","running","extracting_tables","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Extracting half/overall park-factor tables..."
"2026-03-02 07:42 PST","480","running","extracting_tables","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Extracting half/overall park-factor tables..."
"2026-03-02 07:43 PST","480","running","extracting_tables","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Extracting half/overall park-factor tables..."
"2026-03-02 07:44 PST","480","running","fitting_component_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting BACON residual component model..."
"2026-03-02 07:45 PST","480","running","fitting_component_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting BACON residual component model..."
"2026-03-02 07:46 PST","480","running","fitting_component_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting BACON residual component model..."
"2026-03-02 07:47 PST","480","running","fitting_component_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting BACON residual component model..."
"2026-03-02 07:48 PST","480","running","fitting_component_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting BACON residual component model..."
"2026-03-02 07:49 PST","480","running","fitting_component_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting BACON residual component model..."
"2026-03-02 07:50 PST","480","running","fitting_component_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting BACON residual component model..."
"2026-03-02 07:51 PST","480","running","fitting_component_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting BACON residual component model..."
"2026-03-02 07:52 PST","480","running","fitting_component_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting BACON residual component model..."
"2026-03-02 07:53 PST","480","running","fitting_component_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting BACON residual component model..."
"2026-03-02 07:54 PST","480","running","fitting_component_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting BACON residual component model..."
"2026-03-02 07:55 PST","480","running","component_fit_running","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting HR residual component model..."
"2026-03-02 07:56 PST","480","running","component_fit_running","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting HR residual component model..."
