"build_date","data_through","park_era_id","status","team_id","team","park","era","years_used","total_bbe","overall_idx","bacon_idx","hr_idx","carry_idx","carry_ft","lhb_overall_idx","rhb_overall_idx","overall_resid","overall_se"
"2026-07-07","2026-06-30","venue_2889__base","current","STL","Cardinals","Busch Stadium","base configuration","2015-2026",44130,84.33,90.16,82.88,97.7,-0.89,83.98,84.77,-0.01835518422852,0.00318132066928987
"2026-07-07","2026-06-30","venue_10__base","historical","ATH","Athletics","Oakland Coliseum","base configuration","2015-2024",37621,84.31,84.66,84.88,91.25,-3.05,83.78,84.93,-0.0183804066544397,0.00331024341659348
"2026-07-07","2026-06-30","venue_14__base","historical","TOR","Blue Jays","Rogers Centre","base configuration","2015-2022",27047,93.3,89.56,104.93,98.86,-0.51,93.52,93.1,-0.00797662678023233,0.00363796780786013
"2026-07-07","2026-06-30","venue_2536__dunedin","historical","TOR","Blue Jays","TD Ballpark","dunedin","2021",1086,117.77,107.35,118.45,103.5,1.04,117.41,118.04,0.0203663868576345,0.00998608731532274
"2026-07-07","2026-06-30","venue_2756__buffalo","historical","TOR","Blue Jays","Sahlen Field","buffalo","2021",1197,109.92,104.86,113.65,90.93,-3.15,109.61,110.19,0.0112801456362914,0.0097078566383726
"2026-07-07","2026-06-30","venue_16__base","historical","ATL","Braves","Turner Field","base configuration","2015-2016",8391,93.07,96.01,85.03,100.24,-0.05,93.43,92.74,-0.0082400280739084,0.00536538809029443
"2026-07-07","2026-06-30","venue_15__base","historical","AZ","Diamondbacks","Chase Field","base configuration","2015-2017",12726,105.03,107.52,99.37,109.93,3.18,104.98,105.04,0.0056075429474944,0.00464683149979852
"2026-07-07","2026-06-30","venue_2395__base","historical","SFG","Giants","AT&T Park","base configuration","2015-2019",20983,85.72,92.22,72.28,85.86,-4.85,85.06,86.47,-0.0167454029746946,0.00392313670090258
"2026-07-07","2026-06-30","venue_5__base","historical","CLE","Guardians","Progressive Field","base configuration","2015-2023",32827,97.92,95.49,98.15,93.52,-2.29,97.61,98.24,-0.00262043390816773,0.00342682076455839
"2026-07-07","2026-06-30","venue_4169__base","historical","MIA","Marlins","Marlins Park","base configuration","2015",4273,90.27,96.14,84.04,99.6,-0.26,90.96,89.62,-0.0114813515482345,0.00686795785434744
"2026-07-07","2026-06-30","venue_4169__cf_in_407","historical","MIA","Marlins","loanDepot park","cf in 407","2016-2019",16425,91.76,95.24,85.4,102.6,0.74,91.9,91.65,-0.00975797251720495,0.00424839822067748
"2026-07-07","2026-06-30","venue_3289__base","historical","NYM","Mets","Citi Field","base configuration","2015-2022",27912,93.81,92.56,97.75,97.11,-1.09,93.71,93.95,-0.00737585542769439,0.00357904223882473
"2026-07-07","2026-06-30","venue_2__base","historical","BAL","Orioles","Oriole Park at Camden Yards","base configuration","2015-2021",25711,101.61,97.92,116.63,98.15,-0.75,101.06,102.17,0.00165748953023605,0.00369933361781841
"2026-07-07","2026-06-30","venue_2__wall_deep","historical","BAL","Orioles","Oriole Park at Camden Yards","wall deep","2022-2024",12551,87.67,96.67,86.29,100.32,-0.02,88.37,87.02,-0.0144947422998643,0.00458275093187289
"2026-07-07","2026-06-30","venue_13__base","historical","TEX","Rangers","Globe Life Park in Arlington","base configuration","2015-2019",21828,109.29,108.15,106.01,108.77,2.8,109.08,109.47,0.0105503384983045,0.0038882654229271
"2026-07-07","2026-06-30","venue_12__base","historical","TBR","Rays","Tropicana Field","base configuration","2015-2024",35636,96.79,97.85,96.91,103.56,1.06,96.63,96.95,-0.00393525969296589,0.00334602950908465
"2026-07-07","2026-06-30","venue_2523__steinbrenner","historical","TBR","Rays","George M. Steinbrenner Field","steinbrenner","2025",4071,105.37,103.33,108.21,89.04,-3.79,104.89,105.82,0.00600130816964875,0.0068680957679505
"2026-07-07","2026-06-30","venue_7__base","historical","KC","Royals","Kauffman Stadium","base configuration","2015-2025",43345,88.39,95.63,80.22,105.31,1.64,88.88,87.96,-0.0136572433785363,0.00320158016003426
"2026-07-07","2026-06-30","venue_2394__base","historical","DET","Tigers","Comerica Park","base configuration","2015-2022",30105,84.39,90.23,86.39,91.61,-2.93,83.79,85.08,-0.0182864775022742,0.00353199345236322
