"park_era_id","rank","team_id","team","park","years_used","overall_resid","bacon_resid","hr_resid","xbh_resid","carry_ft","bacon_idx_100","hr_idx_100","xbh_idx_100","carry_idx_100","overall_pf_idx_100","total_bbe","overall_se","bacon_se","hr_se","xbh_se","carry_se","bacon_rank","hr_rank","xbh_rank","carry_rank"
"venue_5340__base",1,"AZ","Diamondbacks","Chase Field","2023-2026",0.038732348012598,0.0132081859730411,0.0164951352422055,0.0151861454614091,17.588270364061,119.496618499862,129.375971948758,121.081369768881,136.714577102496,130.376465408286,326,0.0124965666099205,0.00754183557509381,0.00528897885300295,0.00738219748193271,2.32615427005238,4,1,4,2
"venue_5355__sutter_health",2,"ATH","Athletics","Sutter Health Park","2026",0.0361311041377182,0.0128788252458481,0.0133253798790082,0.0160904065026483,18.6383919115967,119.010448751796,123.730995823036,122.336662721695,138.906649875872,128.336398161184,342,0.0124465193542315,0.00752214703088241,0.00527869501758143,0.00737395899395731,2.25551978928066,5,2,3,1
"venue_19__base",3,"COL","Rockies","Coors Field","2015-2026",0.0354898624960152,0.0268101248337871,0.0028847893001347,0.0176128456575586,12.7956064088553,139.574456089968,105.137483768296,124.450109011087,126.710146479395,127.833494114643,46437,0.00314658401498012,0.00215134820066747,0.00168950467935986,0.00231868723550528,0.780785528029087,1,17,1,3
"venue_2529__sutter_health",4,"ATH","Athletics","Sutter Health Park","2025-2026",0.027598829103304,0.0157393185530426,0.00714327773597892,0.0128124016784114,4.50296828955394,123.232826211173,112.721370471703,117.78614448913,109.399706289462,121.644824560927,6288,0.00583738661104004,0.00427028443928541,0.00257025315932897,0.00390337737537683,0.972224121224117,2,6,5,4
"venue_2536__dunedin",5,"TOR","Blue Jays","TD Ballpark","2021",0.0203663868576345,0.00578462981071924,0.0090189406289066,0.0110044853395119,1.0378149168802,108.538698714009,116.061714137784,115.276399475247,102.166383269252,115.972665681694,1086,0.00998608731532274,0.00660127484957324,0.00415568461714743,0.00609845509152088,1.58153202795619,9,4,6,17
"venue_2602__base",6,"CIN","Reds","Great American Ball Park","2015-2026",0.0169848667566276,0.00754055815223352,0.0100237415998441,0.00817880972178383,0.475779595131876,111.130626557658,117.851151126487,111.353803534352,100.993164483892,113.320654284339,42321,0.00320118008030366,0.00220582655555616,0.00170271649527412,0.00234563222932871,0.781687827081229,6,3,7,21
"venue_5381__base",7,"BOS","Red Sox","Fenway Park","2019-2024",0.0122169177507332,0.00508352099117572,0.000155946362415553,0.00565890087729681,-11.2090447490886,107.503791179436,100.277722850112,107.855672275833,76.6017163065371,109.581313772397,346,0.0124265702184381,0.00752016715307615,0.00525218688889429,0.00734418120383654,2.741374108754,10,26,13,59
"venue_2756__buffalo",8,"TOR","Blue Jays","Sahlen Field","2021",0.0112801456362914,0.00385037997631507,0.00680551053021753,0.00623578632931408,-3.15358412131378,105.683550309693,112.119845245273,108.656503241088,93.4170611212223,108.84663521068,1197,0.0097078566383726,0.00648452269954155,0.0040418474045861,0.00595865264729232,1.42106153353443,12,7,12,51
"venue_13__base",9,"TEX","Rangers","Globe Life Park","2015-2019",0.0105503384983045,0.00640865750792207,0.003280699654701,0.00665459632083367,2.79597628358524,109.459826715277,105.842555372686,109.237894240973,105.836451436312,108.274272252602,21828,0.0038882654229271,0.00280227829832941,0.00191269059199989,0.00275911983424352,0.824505671055621,7,16,10,9
"venue_3__base",10,"BOS","Red Sox","Fenway Park","2015-2026",0.0103957694358695,0.0136317821742624,-0.0046016801822358,0.00753067849422771,-2.96439902552393,120.121889339481,91.8049275765451,110.45406935877,93.8119749277075,108.153048985252,44807,0.00316894638762504,0.00217322222514554,0.00169611037425261,0.00232849278880235,0.782008563644137,3,46,8,48
"venue_2392__base",11,"HOU","Astros","Daikin Park","2015-2026",0.0092361869986108,0.00429368767537742,0.00495357255411008,0.00392293577506922,-0.65746892099912,106.337917313937,108.821752975181,105.445809791685,98.6275685931039,107.243627852765,42346,0.00321773514418811,0.00221183360264227,0.00171262349352785,0.00235820268022184,0.783461429831824,11,11,15,30
"venue_2681__base",12,"PHI","Phillies","Citizens Bank Park","2015-2026",0.00881611290412489,0.00308901208960471,0.00495950741068395,0.0022342865757117,-1.28504114916119,104.559694296797,108.832322284112,103.101631127497,97.3175450078256,106.914178003871,43012,0.00318953422632912,0.00219662145453716,0.00169974463145504,0.00233767407031077,0.782325185000399,13,10,21,36
