"Rank","Team","Park","Years","Overall Park Factor","BACON Park Factor","HR Park Factor","Carry Park Factor","Carry (ft vs avg)","Total BBE"
1,"Rockies","Coors Field","2015-2026",132.43,135.49,105.1,137.67,12.47,24043
2,"Athletics","Sutter Health Park","2025-2026",124.02,120.39,114.23,113.19,4.16,4303
3,"Reds","Great American Ball Park","2015-2026",113.7,108.39,121.45,101.04,0.03,22143
4,"Red Sox","Fenway Park","2015-2026",107.59,115.96,88,89.48,-3.9,23366
5,"Astros","Daikin Park","2015-2026",107.39,104.3,110.28,101.28,0.11,22568
6,"Orioles","Oriole Park at Camden Yards","2025-2026",107.24,104.29,109.44,103.45,0.85,4512
7,"Phillies","Citizens Bank Park","2015-2026",106.48,103.48,107.91,95.42,-1.88,22142
8,"Brewers","American Family Field","2015-2026",104.47,101.29,110,105.37,1.5,22526
9,"Royals","Kauffman Stadium","2026",101.87,100.31,97.05,113.95,4.41,2230
10,"Blue Jays","Rogers Centre","2023-2026",100.43,101.66,103.58,93.27,-2.61,8653
11,"Diamondbacks","Chase Field","2018-2026",100.27,102.28,87.1,112.66,3.98,17179
12,"Rays","Tropicana Field","2026",99.69,100.56,106.36,107.91,2.36,2241
13,"Dodgers","Dodger Stadium","2015-2026",99,93.92,110.04,95.39,-1.89,21840
14,"Cubs","Wrigley Field","2015-2026",98.69,97.54,100.69,90.28,-3.63,21391
15,"Tigers","Comerica Park","2023-2026",97.61,96.12,96.43,97.36,-1.22,8503
16,"Guardians","Progressive Field","2024-2026",96.39,96.24,92.61,94.05,-2.34,5701
17,"White Sox","Rate Field","2015-2026",95.98,93.52,103.59,93.88,-2.4,22101
18,"Twins","Target Field","2015-2026",95.87,101.31,94.32,99.87,-0.37,23157
19,"Braves","Truist Park","2017-2026",95.68,98.76,95.45,101.57,0.21,18466
20,"Yankees","Yankee Stadium","2015-2026",95.33,92,112.34,92.64,-2.82,22046
21,"Marlins","loanDepot park","2021-2026",95.08,97.96,87.83,96.07,-1.66,12167
22,"Angels","Angel Stadium","2015-2026",94.95,94.42,104.21,99.78,-0.4,23048
23,"Giants","Oracle Park","2021-2026",94.66,99.56,79.55,95.12,-1.98,12419
24,"Padres","Petco Park","2015-2026",94.15,92.28,95.57,91.39,-3.25,22602
25,"Pirates","PNC Park","2015-2026",93.8,95.33,86.36,100.87,-0.03,23161
26,"Nationals","Nationals Park","2015-2026",93.12,95.1,98.13,94.67,-2.13,22166
27,"Rangers","Globe Life Field","2021-2026",92.7,95,99.69,106.15,1.77,12108
28,"Mets","Citi Field","2023-2026",89.6,88.37,98.76,89.47,-3.9,8258
29,"Mariners","T-Mobile Park","2015-2026",86.58,83.57,101.2,89.06,-4.04,22039
30,"Cardinals","Busch Stadium","2015-2026",85.23,90.62,82.71,97.69,-1.11,23514
