"bacon","hr","xbh"
0.302934537780928,0.256044040455201,0.441021421763871
0.325530891842789,0.379036914670234,0.295432193486977
0.343546641679893,0.217740160824354,0.438713197495753
0.419264124410765,0.277870581348236,0.302865294240999
0.27808148280642,0.219863127473355,0.502055389720225
0.321522054501127,0.162339104706774,0.516138840792099
0.280058509093945,0.177948460701105,0.54199303020495
0.371198113422094,0.22800610682251,0.400795779755396
0.398320383453523,0.286780929210359,0.314898687336119
0.337695149833786,0.198673823390024,0.46363102677619
0.369110372220469,0.194074289221114,0.436815338558417
0.383409980694942,0.166451702956801,0.450138316348258
0.345141145443944,0.279959644301262,0.374899210254793
0.35130753223128,0.230192633874468,0.418499833894252
0.36897776469926,0.22104616222011,0.409976073080631
0.316979838578157,0.237896664793227,0.445123496628616
0.188906632066005,0.221404782667433,0.589688585266562
0.240280788053471,0.224355833416617,0.535363378529913
0.30751312544084,0.398961951316953,0.293524923242207
0.445771271083642,0.274348954740248,0.27987977417611
0.145672830315233,0.237568165337808,0.616759004346959
0.257691827471097,0.21954047352165,0.522767699007253
0.329368169405728,0.22911874677357,0.441513083820702
0.306157547078418,0.311416468224487,0.382425984697095
0.478770643525544,0.158298383079609,0.362930973394847
0.336418218470359,0.261227925617679,0.402353855911962
0.34688854036665,0.198186608963312,0.454924850670038
0.359941779235024,0.196603309158581,0.443454911606394
0.37873033046082,0.222267195779587,0.399002473759593
0.276411666404151,0.173628222687222,0.549960110908627
0.34629828768046,0.222167017593838,0.431534694725703
0.316465306821794,0.213313038828966,0.47022165434924
0.308499575937286,0.31517007771749,0.376330346345224
0.337039263862785,0.195357664825737,0.467603071311478
0.379043317060992,0.210449653419247,0.410507029519761
0.284680595977015,0.301250848224122,0.414068555798863
0.333136795702001,0.253074955086975,0.413788249211024
0.30619603149095,0.243438830962388,0.450365137546662
0.324871105389589,0.167784359100523,0.507344535509888
0.333115359556912,0.19754807857605,0.469336561867038
0.290446772661675,0.165779363264079,0.543773864074246
0.29574515327503,0.143031842966453,0.561223003758517
0.266591129580587,0.212284726581836,0.521124143837577
0.492897730107274,0.281917583945513,0.225184685947213
0.31919294512884,0.273089792152458,0.407717262718702
0.373063362387801,0.194387999000026,0.432548638612172
0.402727165478238,0.249906397357648,0.347366437164114
0.307755876716985,0.207913554099553,0.484330569183462
0.286847935569426,0.126505082722287,0.586646981708287
0.45737303680962,0.244775320182539,0.297851643007841
0.368797806270337,0.202595825656087,0.428606368073576
0.346269579747942,0.273008387835445,0.380722032416613
0.223841832738254,0.17398553805301,0.602172629208736
0.395676256960199,0.240116945639685,0.364206797400116
0.304991431826526,0.24326742492636,0.451741143247114
0.403814994205452,0.176782923640671,0.419402082153877
0.238026199013836,0.186045545925202,0.575928255060962
0.305391981937474,0.200651998120112,0.493956019942414
0.31996005243836,0.184700480938309,0.495339466623331
0.357326377446502,0.302486235974871,0.340187386578627
0.231874152792913,0.138863242409685,0.629262604797402
0.39521684468407,0.233912440028033,0.370870715287898
0.412263147918006,0.283974159860859,0.303762692221135
0.357803974869964,0.266359903308107,0.375836121821929
0.355864244787074,0.17954693666992,0.464588818543005
0.396508027297671,0.226117185313663,0.377374787388666
0.322024837555026,0.186256896383061,0.491718266061913
0.325872474028454,0.221561891626768,0.452565634344778
0.344436293482607,0.22496410472024,0.430599601797154
