"park_era_half_id","park_era_id","half","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","half_effect","half_se","delta_overall","delta_half","pf_index_overall","pf_index_half","component"
"venue_14__base__1H","venue_14__base","1H",12420,"14","Rogers Centre","TOR",0.00300438033980188,0.00131351363953989,0.000612479165458346,0.000814947982335486,0.00300438033980188,0.00361685950526023,190.990393650992,209.539882751883,"hr_resid"
"venue_12__trop_return__1H","venue_12__trop_return","1H",2241,"12","Tropicana Field","TBR",0.00355031294269108,0.00340185066261273,6.31140293878608e-05,0.000872327208875018,0.00355031294269108,0.00361342697207894,207.524459523316,209.435925359656,"hr_resid"
"venue_13__base__1H","venue_13__base","1H",10645,"13","Globe Life Park in Arlington","TEX",0.003168386439135,0.00143559652766917,0.000279234600266566,0.00082439369497969,0.003168386439135,0.00344762103940156,195.957467673474,204.414341745852,"hr_resid"
"venue_19__base__2H","venue_19__base","2H",22394,"19","Coors Field","COL",0.00309706746766271,0.00109054240019978,6.68129437135519e-05,0.000785221728155714,0.00309706746766271,0.00316388041137626,193.797507696677,195.820998520705,"hr_resid"
"venue_19__base__1H","venue_19__base","1H",24043,"19","Coors Field","COL",0.00309706746766271,0.00109054240019978,-1.17562739682061e-05,0.000785017184358294,0.00309706746766271,0.00308531119369451,193.797507696677,193.441458237138,"hr_resid"
"venue_13__base__2H","venue_13__base","2H",11183,"13","Globe Life Park in Arlington","TEX",0.003168386439135,0.00143559652766917,-0.00022291009083192,0.000824234492510376,0.003168386439135,0.00294547634830308,195.957467673474,189.206432644762,"hr_resid"
"venue_4__base__2H","venue_4__base","2H",20907,"4","Guaranteed Rate Field","CHW",0.00251114654117574,0.00111191466960733,0.000393864361040613,0.000790033674370539,0.00251114654117574,0.00290501090221636,176.052359040526,187.980899772005,"hr_resid"
"venue_1__base__2H","venue_1__base","2H",19937,"1","Angel Stadium","LAA",0.00250674861517403,0.0011096321922392,8.49385083367397e-05,0.000790353306826048,0.00250674861517403,0.00259168712351077,175.919163847879,178.491603897263,"hr_resid"
"venue_1__base__1H","venue_1__base","1H",23048,"1","Angel Stadium","LAA",0.00250674861517403,0.0011096321922392,-4.0375956154268e-05,0.000789951038471606,0.00250674861517403,0.00246637265901976,175.919163847879,174.696341259193,"hr_resid"
"venue_14__base__2H","venue_14__base","2H",14627,"14","Rogers Centre","TOR",0.00300438033980188,0.00131351363953989,-0.000559070197819545,0.000814378162862181,0.00300438033980188,0.00244531014198234,190.990393650992,174.058443756295,"hr_resid"
"venue_4__base__1H","venue_4__base","1H",22101,"4","Guaranteed Rate Field","CHW",0.00251114654117574,0.00111191466960733,-0.000349223626783774,0.00078984745777968,0.00251114654117574,0.00216192291439197,176.052359040526,165.475803585041,"hr_resid"
"venue_14__of_renovation__1H","venue_14__of_renovation","1H",8653,"14","Rogers Centre","TOR",0.00185494548312342,0.00162997816089351,0.000254112688835338,0.000837887537930921,0.00185494548312342,0.00210905817195876,156.178712619874,163.874746734638,"hr_resid"
"venue_14__of_renovation__2H","venue_14__of_renovation","2H",6230,"14","Rogers Centre","TOR",0.00185494548312342,0.00162997816089351,-0.000221137262267355,0.000838960102873247,0.00185494548312342,0.00163380822085607,156.178712619874,149.481369318148,"hr_resid"
"venue_680__base__2H","venue_680__base","2H",20006,"680","T-Mobile Park","SEA",0.00127331575908557,0.00111863706677265,0.000188881506520169,0.00079095651628862,0.00127331575908557,0.00146219726560574,138.563526936422,144.283975311077,"hr_resid"
"venue_5325__globe_life__2H","venue_5325__globe_life","2H",10298,"5325","Globe Life Field","TEX",0.000917096716220781,0.00138370622684211,0.000534695989435408,0.000821858335704509,0.000917096716220781,0.00145179270565619,127.775108936595,143.968863741136,"hr_resid"
"venue_680__base__1H","venue_680__base","1H",22039,"680","T-Mobile Park","SEA",0.00127331575908557,0.00111863706677265,-0.000166245730592312,0.000790673712654716,0.00127331575908557,0.00110707002849325,138.563526936422,133.528623642391,"hr_resid"
"venue_17__base__1H","venue_17__base","1H",21391,"17","Wrigley Field","CHC",0.000938487149635482,0.00111671989166664,5.97410157721802e-05,0.000790220102448268,0.000938487149635482,0.000998228165407662,128.4229376855,130.232248733841,"hr_resid"
"venue_17__base__2H","venue_17__base","2H",20965,"17","Wrigley Field","CHC",0.000938487149635482,0.00111671989166664,-4.30574989942908e-05,0.000790294849506823,0.000938487149635482,0.000895429650641191,128.4229376855,127.118902130742,"hr_resid"
"venue_15__base__1H","venue_15__base","1H",6341,"15","Chase Field","AZ",0.000413748423093393,0.00177186029788779,0.000267243848466343,0.000843113239265126,0.000413748423093393,0.000680992271559736,112.530747652352,120.62447089059,"hr_resid"
"venue_5325__globe_life__1H","venue_5325__globe_life","1H",12108,"5325","Globe Life Field","TEX",0.000917096716220781,0.00138370622684211,-0.000518392731093162,0.000821334743718934,0.000917096716220781,0.00039870398512762,127.775108936595,112.075113152742,"hr_resid"
"venue_3289__rf_in_362__2H","venue_3289__rf_in_362","2H",5853,"3289","Citi Field","NYM",0.00014163245780286,0.00165039770043205,0.000206787320363274,0.000840576903423365,0.00014163245780286,0.000348419778166134,104.289467920726,110.55221016831,"hr_resid"
"venue_3309__base__2H","venue_3309__base","2H",21958,"3309","Nationals Park","WSH",2.11240836293809e-06,0.0011035617173709,0.000320389461250188,0.000788453392948938,2.11240836293809e-06,0.000322501869613126,100.063976210318,109.76726271322,"hr_resid"
"venue_15__base__2H","venue_15__base","2H",6385,"15","Chase Field","AZ",0.000413748423093393,0.00177186029788779,-0.000259888629206443,0.000843075408565562,0.000413748423093393,0.000153859793886949,112.530747652352,104.659783925279,"hr_resid"
"venue_5381__base__1H","venue_5381__base","1H",346,"5381","London Stadium","BOS",0.000110877529415809,0.00528858026902332,1.97107346956821e-06,0.000875292194982169,0.000110877529415809,0.000112848602885377,103.358026916545,103.417722670953,"hr_resid"
"venue_3289__base__2H","venue_3289__base","2H",14924,"3289","Citi Field","NYM",-0.000616264022429412,0.00129532595969065,0.000569438760742843,0.000812455399311555,-0.000616264022429412,-4.6825261686569e-05,81.3358830601674,98.5818543220954,"hr_resid"
"venue_3289__rf_in_362__1H","venue_3289__rf_in_362","1H",8258,"3289","Citi Field","NYM",0.00014163245780286,0.00165039770043205,-0.000204269515524859,0.00083943562692403,0.00014163245780286,-6.2637057721999e-05,104.289467920726,98.1029796847757,"hr_resid"
"venue_12__base__1H","venue_12__base","1H",18527,"12","Tropicana Field","TBR",-0.000824338033180064,0.00118186509098777,0.000696286415159605,0.000799958125561989,-0.000824338033180064,-0.000128051618020459,75.0341722228534,96.1218401755031,"hr_resid"
"venue_5__base__2H","venue_5__base","2H",17381,"5","Progressive Field","CLE",-0.00039351527170736,0.00122855979124604,0.000110538369922328,0.000804138266893292,-0.00039351527170736,-0.000282976901785032,88.0820317567745,91.4297869193032,"hr_resid"
"venue_3309__base__1H","venue_3309__base","1H",22166,"3309","Nationals Park","WSH",2.11240836293809e-06,0.0011035617173709,-0.000320351908896247,0.00078841543971942,2.11240836293809e-06,-0.000318239500533309,100.063976210318,90.3618270146414,"hr_resid"
"venue_5__base__1H","venue_5__base","1H",15446,"5","Progressive Field","CLE",-0.00039351527170736,0.00122855979124604,-0.000117533903786901,0.000804472606526028,-0.00039351527170736,-0.000511049175494261,88.0820317567745,84.5224104827206,"hr_resid"
"venue_2394__cf_in_412__2H","venue_2394__cf_in_412","2H",5907,"2394","Comerica Park","DET",-0.000939928959511693,0.00163992150018317,0.000219798128510503,0.000840030194403733,-0.000939928959511693,-0.00072013083100119,71.5333957898365,78.1901822066458,"hr_resid"
"venue_2756__base__2H","venue_2756__base","2H",41,"2756","Sahlen Field","TOR",-0.000772595900547773,0.00637331210937039,-1.37344626119497e-05,0.000877572859881392,-0.000772595900547773,-0.000786330363159723,76.6012298134595,76.1852691099859,"hr_resid"
"venue_7__walls_in__1H","venue_7__walls_in","1H",2230,"7","Kauffman Stadium","KCR",-0.000923305774415497,0.00340727982093037,-1.64136369725966e-05,0.000872333905124497,-0.000923305774415497,-0.000939719411388094,72.0368440835156,71.5397421455234,"hr_resid"
"venue_2394__cf_in_412__1H","venue_2394__cf_in_412","1H",8503,"2394","Comerica Park","DET",-0.000939928959511693,0.00163992150018317,-0.000236507276388287,0.000838847747586008,-0.000939928959511693,-0.00117643623589998,71.5333957898365,64.3705576182509,"hr_resid"
"venue_3289__base__1H","venue_3289__base","1H",12988,"3289","Citi Field","NYM",-0.000616264022429412,0.00129532595969065,-0.000580394106439928,0.000812885211642318,-0.000616264022429412,-0.00119665812886934,81.3358830601674,63.7581191805225,"hr_resid"
"venue_6130__base__2H","venue_6130__base","2H",44,"6130","Bristol Motor Speedway","CIN",-0.0011926691231049,0.00635782635083632,-2.12021180388056e-05,0.000877537361064975,-0.0011926691231049,-0.00121387124114371,63.8789298515197,63.2368044052078,"hr_resid"
"venue_2680__base__1H","venue_2680__base","1H",22602,"2680","Petco Park","SDP",-0.00156655975941798,0.00111804739827005,0.00015335393622819,0.000791131977086777,-0.00156655975941798,-0.00141320582318979,52.5553115566433,57.1997751222159,"hr_resid"
"venue_12__base__2H","venue_12__base","2H",17109,"12","Tropicana Field","TBR",-0.000824338033180064,0.00118186509098777,-0.000710940699356213,0.000800166047837397,-0.000824338033180064,-0.00153527873253628,75.0341722228534,53.5026859326724,"hr_resid"
"venue_2680__base__2H","venue_2680__base","2H",19339,"2680","Petco Park","SDP",-0.00156655975941798,0.00111804739827005,-0.000181202720345631,0.000791558131629274,-0.00156655975941798,-0.00174776247976362,52.5553115566433,47.0674222117254,"hr_resid"
"venue_4705__suntrust__1H","venue_4705__suntrust","1H",18466,"4705","Truist Park","ATL",-0.00190332660507653,0.00119383838341444,6.44998197568936e-05,0.000801543140883804,-0.00190332660507653,-0.00183882678531963,42.35602105766,44.3094568168904,"hr_resid"
"venue_4705__suntrust__2H","venue_4705__suntrust","2H",16015,"4705","Truist Park","ATL",-0.00190332660507653,0.00119383838341444,-9.83353191120379e-05,0.000801952186459026,-0.00190332660507653,-0.00200166192418856,42.35602105766,39.3778463980594,"hr_resid"
"venue_3312__base__2H","venue_3312__base","2H",21425,"3312","Target Field","MIN",-0.00207218632903559,0.00110050948134357,6.34172823402292e-05,0.000787947110217901,-0.00207218632903559,-0.00200876904669536,37.2419505948483,39.162600722919,"hr_resid"
"venue_3949__base__1H","venue_3949__base","1H",32,"3949","Rickwood Field","STL",-0.00198887489016887,0.00641729901808472,-3.53562940205904e-05,0.00087767415652087,-0.00198887489016887,-0.00202423118418946,39.7651133641178,38.6943158128378,"hr_resid"
"venue_3312__base__1H","venue_3312__base","1H",23157,"3312","Target Field","MIN",-0.00207218632903559,0.00110050948134357,-0.000100254606535415,0.000787719134692816,-0.00207218632903559,-0.002172440935571,37.2419505948483,34.2056485683931,"hr_resid"
