"park_era_hand_id","park_era_id","hand","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","hand_effect","hand_se","delta_hand","pf_index_hand","hand_se_combined","component"
"venue_10__base__L","venue_10__base","L",14507,"10","Oakland Coliseum","ATH",-0.00647577874342776,0.00173690823767834,-0.000594625061680042,0.00153577379397683,-0.0070704038051078,-114.133615832627,0.00231850196730149,"hr_resid"
"venue_10__base__R","venue_10__base","R",23114,"10","Oakland Coliseum","ATH",-0.00647577874342776,0.00173690823767834,2.80052808627315e-05,0.00152882565411396,-0.00644777346256503,-95.2766890925342,0.0023139053798269,"hr_resid"
"venue_12__base__L","venue_12__base","L",14082,"12","Tropicana Field","TBR",-0.000922927251373978,0.00174725824266462,-0.000785299475875604,0.00154214357182174,-0.00170822672724958,48.2647984682807,0.00233047595196143,"hr_resid"
"venue_12__base__R","venue_12__base","R",21554,"12","Tropicana Field","TBR",-0.000922927251373978,0.00174725824266462,0.00070454488903615,0.00153536509307413,-0.000218382362337828,93.3860913505835,0.00232599598787057,"hr_resid"
"venue_12__trop_return__L","venue_12__trop_return","L",1049,"12","Tropicana Field","TBR",0.00340378877829695,0.00351995208054775,-0.000315960905724099,0.00184182658644832,0.00308782787257285,193.517678148046,0.00397270535327002,"hr_resid"
"venue_12__trop_return__R","venue_12__trop_return","R",1192,"12","Tropicana Field","TBR",0.00340378877829695,0.00351995208054775,0.000613786716006056,0.00183824118409911,0.004017575494303,221.675931274839,0.0039710443588898,"hr_resid"
"venue_13__base__L","venue_13__base","L",9273,"13","Globe Life Park in Arlington","TEX",0.003280699654701,0.00191269059199989,0.00166153959567921,0.00161305735050825,0.00494223925038021,249.680214902197,0.00250206700884561,"hr_resid"
"venue_13__base__R","venue_13__base","R",12555,"13","Globe Life Park in Arlington","TEX",0.003280699654701,0.00191269059199989,-0.00137448387731212,0.00160621021781974,0.00190621577738888,157.731480155999,0.00249765821612034,"hr_resid"
"venue_14__base__L","venue_14__base","L",9346,"14","Rogers Centre","TOR",0.00278066341505135,0.00183955070016569,-0.00036660914337673,0.00158805737275021,0.00241405427167462,173.111831270011,0.00243020019702624,"hr_resid"
"venue_14__base__R","venue_14__base","R",17701,"14","Rogers Centre","TOR",0.00278066341505135,0.00183955070016569,0.000609912529293064,0.00157711956769697,0.00339057594434442,202.686679110617,0.00242306683962551,"hr_resid"
"venue_14__of_renovation__L","venue_14__of_renovation","L",5750,"14","Rogers Centre","TOR",0.00191437415882169,0.00205413265957842,0.000802720595923756,0.00166280287271675,0.00271709475474544,182.289688174979,0.0026427966960517,"hr_resid"
"venue_14__of_renovation__R","venue_14__of_renovation","R",9133,"14","Rogers Centre","TOR",0.00191437415882169,0.00205413265957842,-0.00063521606724554,0.00165329335984494,0.00127915809157615,138.740467294511,0.00263682383121324,"hr_resid"
"venue_15__base__L","venue_15__base","L",4697,"15","Chase Field","AZ",0.000213707505930463,0.0021641486191399,-0.000918443542906592,0.00169435589969154,-0.000704736036976129,78.6564275584606,0.0027485234509723,"hr_resid"
"venue_15__base__R","venue_15__base","R",8029,"15","Chase Field","AZ",0.000213707505930463,0.0021641486191399,0.000937142591309411,0.00168185290464611,0.00115085009723987,134.854542879895,0.00274083352989409,"hr_resid"
"venue_15__humidor__L","venue_15__humidor","L",14923,"15","Chase Field","AZ",-0.00572856898589253,0.00176889558067343,-0.00179213332410956,0.0015449008734103,-0.00752070231000209,-127.771315985959,0.00234855493527188,"hr_resid"
"venue_15__humidor__R","venue_15__humidor","R",16973,"15","Chase Field","AZ",-0.00572856898589253,0.00176889558067343,0.00129089314407648,0.00154235076238876,-0.00443767584181605,-34.399052740762,0.00234687823492553,"hr_resid"
