"component","weight_opt","weight_boot_median","weight_boot_p05","weight_boot_p95"
"bacon_resid",0.999981320373071,0.698710895409956,0.278279750821461,0.999999999995112
"hr_resid",5.17151268861946e-14,5.57934031087307e-12,1.10304796520884e-30,0.231958638834689
"xbh_resid",1.86796268770785e-05,0.146093002670331,4.88790505660943e-12,0.665662878956783
