"park_era_id","home_team","woba_delta_old","woba_delta_new","hr_delta_old","hr_delta_new","n_bbe","woba_delta_change","hr_delta_change"
"venue_12__trop_return","TBR",-0.0103682268253191,-0.000528656330339216,-0.00491964052816004,0.00355031294269108,2241,0.00983957049497988,0.00846995347085112
"venue_5340__base","AZ",0.0343620278167784,0.0393779407632951,0.0181727374780452,0.0171405497639869,326,0.0050159129465167,-0.0010321877140583
"venue_10__base","ATH",-0.0143535551958976,-0.0183769547106147,-0.00556346911823062,-0.00670223884736194,37621,-0.0040233995147171,-0.00113876972913132
"venue_2__base","BAL",0.00536173178878517,0.0019319763933195,0.00918779929124382,0.00866090113006742,25711,-0.00342975539546567,-0.0005268981611764
"venue_2394__base","DET",-0.0147727696644114,-0.0181682109986761,-0.0058489998802684,-0.00596254059738036,30105,-0.0033954413342647,-0.00011354071711196
"venue_2__wall_medium","BAL",0.0102345400294181,0.00695347732094165,0.00564332229924061,0.00470204806759607,6503,-0.00328106270847645,-0.00094127423164454
"venue_680__base","SEA",-0.0134146068068706,-0.0164110217949086,0.0014255651892307,0.00127331575908557,42045,-0.002996414988038,-0.00015224943014513
"venue_4__base","CHW",-0.000251555692831171,-0.00324214047255598,0.00363800626868026,0.00251114654117574,43008,-0.00299058477972481,-0.00112685972750452
"venue_5__wind_tunnel","CLE",-0.00814412743235363,-0.00520678316618738,-0.00240481728434377,-0.00318158592025056,9991,0.00293734426616625,-0.00077676863590679
"venue_13__base","TEX",0.0134561005604729,0.0106624999706175,0.00297579806180003,0.003168386439135,21828,-0.0027936005898554,0.00019258837733497
"venue_7__walls_in","KCR",-0.000877972815840014,0.00189351298584478,-0.00309884934897998,-0.000923305774415497,2230,0.00277148580168479,0.00217554357456448
"venue_2395__base","SFG",-0.014323631801109,-0.016947072247506,-0.0111028796856047,-0.0125949746894944,20983,-0.002623440446397,-0.0014920950038897
"venue_14__base","TOR",-0.00551467880494891,-0.00798458395819903,0.00185668182511848,0.00300438033980188,27047,-0.00246990515325012,0.0011476985146834
"venue_2602__base","CIN",0.0193142952605918,0.0168911392780507,0.0111424736645814,0.0101833606928903,42321,-0.0024231559825411,-0.000959112971691101
"venue_4705__suntrust","ATL",-0.00374138911512318,-0.00615772900438113,-0.00127618138769933,-0.00190332660507653,34481,-0.00241633988925795,-0.0006271452173772
"venue_2735__base","NYM",0.00208564562396899,-0.000113908471092223,-0.00266469695398783,-0.00425686400761489,235,-0.00219955409506121,-0.00159216705362706
"venue_2756__buffalo","TOR",0.0138800743529055,0.0116871989202939,0.00867330033777839,0.00717967458639265,1197,-0.0021928754326116,-0.00149362575138574
"venue_3309__base","WSH",-0.00401643334635241,-0.00614671925182443,-0.000290848374429716,2.11240836293809e-06,44124,-0.00213028590547202,0.000292960782792654
"venue_5325__globe_life","TEX",-0.00958121223283401,-0.00759222383918203,-0.000340429072662987,0.000917096716220781,22406,0.00198898839365198,0.00125752578888377
"venue_2529__sutter_health","ATH",0.0262069761982414,0.0281441896330639,0.0068320168428897,0.00741794726610952,6288,0.0019372134348225,0.00058593042321982
"venue_3312__base","MIN",-0.00331034259887008,-0.00517061444036071,-0.00294992621083555,-0.00207218632903559,44582,-0.00186027184149063,0.00087773988179996
"venue_1__base","LAA",-0.00511258275809594,-0.00694038570564657,0.00245353696174569,0.00250674861517403,42985,-0.00182780294755063,5.32116534283397e-05
"venue_12__base","TBR",-0.0022802681462601,-0.00387351972880207,-0.00103550463884311,-0.000824338033180064,35636,-0.00159325158254197,0.000211166605663046
"venue_5__base","CLE",-0.00129355947153067,-0.00287734213513959,-4.85478652072781e-05,-0.00039351527170736,32827,-0.00158378266360892,-0.000344967406500082
"venue_31__base","PIT",-0.00667284030182325,-0.00806685822814465,-0.00539616883506072,-0.00676193964330899,44069,-0.0013940179263214,-0.00136577080824827
"venue_2681__base","PHI",0.0101709661878721,0.00884700220800018,0.00611563688521994,0.00504458017875889,43012,-0.00132396397987192,-0.00107105670646105
"venue_3__base","BOS",0.0119165370389966,0.0106271823184086,-0.00472963191066007,-0.004500794346054,44807,-0.001289354720588,0.000228837564606069
"venue_4169__cf_in_407","MIA",-0.00856982235519223,-0.00984357801672198,-0.00423096472591716,-0.00658457881003907,16425,-0.00127375566152975,-0.00235361408412191
"venue_5381__base","BOS",0.0112231432291304,0.0124820887162814,0.00177135716194895,0.000110877529415809,346,0.001258945487151,-0.00166047963253314
"venue_3289__base","NYM",-0.00636502407411952,-0.00758482198232907,0.000829054204036329,-0.000616264022429412,27912,-0.00121979790820955,-0.00144531822646574
"venue_3313__base","NYY",-0.00439504159063376,-0.00561397689277097,0.00603626197478887,0.00625830447946996,41895,-0.00121893530213721,0.000222042504681091
"venue_7__base","KCR",-0.0127672307892997,-0.0139454409989857,-0.00807938833328319,-0.00908870596677292,43345,-0.001178210209686,-0.00100931763348973
"venue_2680__base","SDP",-0.00696557312108162,-0.00812329170487042,-0.000749563244177312,-0.00156655975941798,41941,-0.0011577185837888,-0.000816996515240668
"venue_5150__base","LAD",-0.000583161165727799,-0.00173757086725127,-0.00546538913804505,-0.0047109555217967,123,-0.00115440970152347,0.000754433616248351
"venue_16__base","ATL",-0.00965465398261652,-0.0085455509420802,-0.00626975217621639,-0.0066909728271953,8391,0.00110910304053632,-0.00042122065097891
"venue_19__base","COL",0.0369907625289961,0.0359034730362797,0.00482272805336376,0.00309706746766271,46437,-0.0010872894927164,-0.00172566058570105
"venue_2536__dunedin","TOR",0.0199300731754634,0.020941994072412,0.0112997161702101,0.00942759707376339,1086,0.0010119208969486,-0.00187211909644671
"venue_22__base","LAD",0.000134614104946101,-0.000876234486030313,0.00620440801550171,0.00544929843832017,41473,-0.00101084859097641,-0.00075510957718154
"venue_2395__bullpen_center","SFG",-0.00653248001609157,-0.00753841925587881,-0.00934011264188619,-0.00967397287878165,22579,-0.00100593923978724,-0.00033386023689546
"venue_2536__base","TOR",0.00508169311422756,0.00590227819750869,-0.00185982632400931,-0.00237190764307126,46,0.000820585083281131,-0.00051208131906195
"venue_5365__base","KCR",-0.00139093141865123,-0.00216651810156771,-0.00119787695289941,-0.00236188690230529,44,-0.00077558668291648,-0.00116400994940588
"venue_4169__base","MIA",-0.0110001050280161,-0.0117349761821127,-0.00584606259690418,-0.00723313470602824,4273,-0.0007348711540966,-0.00138707210912406
"venue_6130__base","CIN",-0.00375124271763659,-0.00445998695700414,-0.00187570413243317,-0.0011926691231049,44,-0.00070874423936755,0.00068303500932827
"venue_15__humidor","AZ",-0.00133883772926101,-0.000682988669760267,-0.00555250708390955,-0.00586882646766062,31896,0.000655849059500743,-0.00031631938375107
"venue_2392__base","HOU",0.0103230964620634,0.00968262998129965,0.00562760839273047,0.00520541061410192,42346,-0.000640466480763749,-0.00042219777862855
"venue_2397__base","CHC",-0.00292701621187219,-0.0035376635485013,-0.000869642761398678,-0.00247882990316378,88,-0.00061064733662911,-0.0016091871417651
"venue_2523__steinbrenner","TBR",0.00649791671311414,0.00596263978672799,0.00584507358788566,0.00450177426292937,4071,-0.00053527692638615,-0.00134329932495629
"venue_2__wall_deep","BAL",-0.0143190874985491,-0.0148473229316045,-0.00642105563091048,-0.00626797864197891,12551,-0.000528235433055399,0.000153076988931571
"venue_3289__rf_in_362","NYM",-0.0111302763604184,-0.0116262817363943,-0.000598327614233405,0.00014163245780286,14111,-0.0004960053759759,0.000739960072036265
"venue_2394__cf_in_412","DET",-0.00331689644479563,-0.00370733115253629,-0.00045218875452946,-0.000939928959511693,14410,-0.00039043470774066,-0.000487740204982233
"venue_15__base","AZ",0.00607572731828713,0.00581519726377695,-0.000746389139862434,0.000413748423093393,12726,-0.00026053005451018,0.00116013756295583
"venue_2756__base","TOR",0.00121997201279476,0.0014600170524923,-0.00118662778721653,-0.000772595900547773,41,0.00024004503969754,0.000414031886668757
"venue_32__base","MIL",0.00501477056524533,0.00479822579220659,0.00489621417807168,0.00486333408101284,41791,-0.00021654477303874,-3.288009705884e-05
"venue_3949__base","STL",0.00116921223906827,0.00130031701682696,-0.00214362418899853,-0.00198887489016887,32,0.00013110477775869,0.00015474929882966
"venue_4169__fence_reduced","MIA",-0.00661572810084479,-0.00663702847049974,-0.00530623814179056,-0.00514791063771753,22908,-2.130036965495e-05,0.00015832750407303
"venue_17__base","CHC",-0.00257703060972742,-0.00255666526297939,0.00142086790365262,0.000938487149635482,42356,2.03653467480301e-05,-0.000482380754017138
"venue_2889__base","STL",-0.0184199840901545,-0.0184173798881692,-0.00700833227541584,-0.00771921458771539,44130,2.60420198529981e-06,-0.000710882312299549
