"park_era_id","lpm_effect","lpm_se","glmer_logit_effect","glmer_se","glmer_prob_effect","r_squared_lpm_vs_glmer"
"venue_10__base",-0.00195298511697859,0.00664146895389004,-0.0104557604836748,0.0389986776763879,-0.00181218432103769,0.999262392786343
"venue_12__base",0.00964964243670714,0.00665463103321307,0.0567266385664837,0.0386748963058593,0.010014388415627,0.999262392786343
"venue_14__of_renovation",-0.000471871067149907,0.00551137787557221,-0.00259168677858754,0.0326356447264673,-0.000450167266098422,0.999262392786343
"venue_15__humidor",-0.0115255636842118,0.00547417774785129,-0.0699780177698006,0.0324860781684614,-0.0119283914904129,0.999262392786343
"venue_17__base",0.0135312019257692,0.00552999395217153,0.081859446251852,0.032476818322424,0.0145494915015575,0.999262392786343
"venue_19__base",-0.0238192812387104,0.0055057729514801,-0.142507060991128,0.0325597619571673,-0.0237945567061524,0.999262392786343
"venue_1__base",0.00729638350496088,0.00551346474370897,0.0438356672099233,0.0322599459989268,0.00771162580403087,0.999262392786343
"venue_22__base",-0.00478967348085395,0.00548776337946986,-0.0283301508233464,0.0321415715069934,-0.0048858439925904,0.999262392786343
"venue_2392__base",0.015889513450256,0.00553864229485171,0.0923522061730235,0.0323800941990393,0.0164606299588377,0.999262392786343
"venue_2394__cf_in_412",-0.00813554196397861,0.00552237897733953,-0.0458537244423379,0.0322002399243963,-0.00786936672173466,0.999262392786343
"venue_2395__bullpen_center",-0.0140014669966212,0.00551677607211736,-0.0800146112622225,0.0322654736675467,-0.0136006004264376,0.999262392786343
"venue_2397__base",0.00483590228100558,0.0114610768640865,0.0282978948873153,0.0671358320768972,0.0049571542132999,0.999262392786343
"venue_2523__steinbrenner",-0.00424987834321487,0.00666737167259482,-0.0235269839195992,0.0390085253880629,-0.00406291312100729,0.999262392786343
"venue_2529__sutter_health",-0.000319200779121363,0.00660514651747561,-0.00344448449735147,0.0389611418013346,-0.000598154410722418,0.999262392786343
"venue_2602__base",0.00230727714385052,0.00554358255004211,0.0141198335197397,0.0323141895470515,0.00246388447297252,0.999262392786343
"venue_2680__base",0.0118760797914296,0.00552685085457643,0.0693494962733631,0.0327024053642106,0.0122846120714935,0.999262392786343
"venue_2681__base",0.00269322806233083,0.00552708400487803,0.0161985284252847,0.03223627683581,0.00282822688811896,0.999262392786343
"venue_2735__base",0.00149904856186722,0.0114429994605988,0.00901176068424294,0.0669625067630596,0.00157032830214188,0.999262392786343
"venue_2889__base",-0.0139489514653433,0.00554585063094545,-0.0852426146895218,0.0329174645784522,-0.0144678048858129,0.999262392786343
"venue_2__wall_deep",-0.00187279273298815,0.00663179098055057,-0.0105449157051403,0.0390159067316108,-0.00182759150841566,0.999262392786343
"venue_2__wall_medium",0.000650449629726789,0.00659549677672707,0.00378238167448256,0.0385969889677401,0.000658143573043973,0.999262392786343
"venue_31__base",-0.0117357068565918,0.00552793473231963,-0.0666190885134502,0.032333991005638,-0.0113665914492114,0.999262392786343
"venue_3289__rf_in_362",0.00524051731146211,0.00549082265562713,0.032434969462458,0.0321169683166932,0.00568830243487348,0.999262392786343
"venue_32__base",0.0215557994256117,0.00550454673537726,0.12610302719657,0.0321375938984908,0.0226786395039443,0.999262392786343
"venue_3309__base",-0.00662789024330955,0.00551645551395152,-0.0399669501993771,0.0326467196035145,-0.0068703919134139,0.999262392786343
"venue_3312__base",-0.00332459004912079,0.00548058923451324,-0.0186244836471764,0.0320614790195562,-0.00322067711381643,0.999262392786343
"venue_3313__base",-0.000748507521337108,0.00548060700053966,-0.00392806639643997,0.0319763843781114,-0.00068204002149469,0.999262392786343
"venue_3949__base",0.00153937738255491,0.0118028515695517,0.00910213615575458,0.0690049522665591,0.00158611596465372,0.999262392786343
"venue_3__base",-0.00843258095040769,0.00546819132378434,-0.0475255449331455,0.0319490233529579,-0.00815246389501342,0.999262392786343
"venue_4169__fence_reduced",-0.00468376940359828,0.00546412209369094,-0.0266001077973142,0.0322662830789233,-0.00458968967040249,0.999262392786343
"venue_4705__suntrust",0.00536557505289949,0.00551104106553602,0.0314788097252834,0.0320230041697214,0.00551917413239414,0.999262392786343
"venue_4__base",-0.00761371599921811,0.00549829674022566,-0.0452556212225646,0.0322999544269007,-0.00776802181598599,0.999262392786343
"venue_5150__base",-0.00583370101067236,0.011344534439349,-0.0332327860091446,0.0667442681941427,-0.00572352994255626,0.999262392786343
"venue_5325__globe_life",0.00876617094435233,0.00553258443601499,0.0541901686467349,0.0324071651398305,0.00956003615741627,0.999262392786343
"venue_5340__base",-0.00159656375429565,0.0114376892789463,-0.0109006336245703,0.0671853012030059,-0.00188905661561617,0.999262392786343
"venue_5381__base",-0.00426482857878504,0.0114319912678076,-0.0248233512275111,0.0669253343425756,-0.00428523934695044,0.999262392786343
"venue_5__wind_tunnel",0.00902020887394957,0.0055494154787311,0.0540936058045956,0.0325738548449218,0.00954275119400391,0.999262392786343
"venue_6130__base",-0.000327396202288659,0.0117819599136946,-0.00192585323531475,0.068877323856883,-0.000334575747828303,0.999262392786343
"venue_680__base",0.0270267563965844,0.00552817498806252,0.150540241800036,0.0318639060115467,0.0272477556950512,0.999262392786343
"venue_7__base",-0.00846667474933304,0.00554401558299554,-0.0515843142876063,0.0330076569104441,-0.0088386355992687,0.999262392786343
