"component","beta_points_per_unit","share","share_boot_median","share_boot_p05","share_boot_p95"
"bacon_resid",4.75925288578264,0.33358320943083,0.331677023424047,0.226635787266308,0.429248861164755
"hr_resid",3.83635267295744,0.212133290722693,0.215357372258,0.149343439693159,0.311430795458755
"xbh_resid",6.08052105576779,0.454283499846477,0.443090843827685,0.322919521765343,0.586664067731965
