"park_era_id","home_team","overall_n_bbe","overall_delta","overall_se","bacon_n_bbe","bacon_delta","bacon_se","hr_n_bbe","hr_delta","hr_se","xbh_n_bbe","xbh_delta","xbh_se","carry_n_bbe","carry_delta","carry_se","team_id","team","park","years_used","team_token","team_norm","park_suffix","year_end","year_start","total_bbe","overall_resid","bacon_resid","hr_resid","xbh_resid","carry_ft","k_resid","bacon_idx_100","hr_idx_100","xbh_idx_100","carry_idx_100","k_idx_100","overall_pf_idx_100","Rank"
"venue_19__base","COL",23058,0.0334909466412158,0.00324726199744779,23058,0.0257634057986733,0.00217028990278924,23058,0.00319807557290389,0.00170708878951896,23058,0.017312511571496,0.00239003059314237,23058,13.662831765192,0.772878569256748,"COL","Rockies","Coors Field","2015-2026","col","COL","base",2026,2015,23058,0.0334909466412158,0.0257634057986733,0.00319807557290389,0.017312511571496,13.662831765192,-0.020264229957895,132.655747667395,105.599873239411,125.758552013004,139.048563817289,76.9501826927783,128.564637326991,1
"venue_2529__sutter_health","ATH",2610,0.0284425834372746,0.00570090987195244,2610,0.0156508259404022,0.00414084538511537,2610,0.00890628265259447,0.00251427858912775,2610,0.0151717332036951,0.00383919099546841,2610,5.484420892263,0.940755631668473,"ATH","Athletics","Sutter Health Park","2025-2026","ath","ATH","sutter_health",2026,2025,2610,0.0284425834372746,0.0156508259404022,0.00890628265259447,0.0151717332036951,5.484420892263,-0.00479595134039618,119.785925522622,117.786728608542,122.519871551084,115.566551521753,93.7815410654385,124.274586315735,2
"venue_2602__base","CIN",20828,0.0181043124159386,0.00329824648599843,20828,0.00856094378940576,0.00222237497493061,20828,0.00938799222958513,0.00171970989530598,20828,0.0075116029832592,0.00241525409574014,20828,0.752362699238848,0.773708442749389,"CIN","Reds","Great American Ball Park","2015-2026","cin","CIN","base",2026,2015,20828,0.0181043124159386,0.00856094378940576,0.00938799222958513,0.0075116029832592,0.752362699238848,0.00831678940042332,110.762953779552,118.815164483898,110.931229562808,101.979774041595,108.049789272892,115.489221979211,3
"venue_3__base","BOS",22003,0.0129913068807953,0.00326956980402338,22003,0.0152744525839838,0.00219257537069665,22003,-0.00394434399458295,0.00171392417518282,22003,0.0086893688603299,0.00240006731785574,22003,-2.18865141090027,0.774163139472646,"BOS","Red Sox","Fenway Park","2015-2026","bos","BOS","base",2026,2015,22003,0.0129913068807953,0.0152744525839838,-0.00394434399458295,0.0086893688603299,-2.18865141090027,-0.00759343197835039,119.306932206869,90.3510161045133,112.713014820057,93.5354771520577,90.7375437130299,111.144238530026,4
"venue_2681__base","PHI",21389,0.0110058109615411,0.00328932176423267,21389,0.00354526675515751,0.00221599254501813,21389,0.00597264372966047,0.00171751865412437,21389,0.00372409315463906,0.00240883485968522,21389,-0.643074677676535,0.77452790726477,"PHI","Phillies","Citizens Bank Park","2015-2026","phi","PHI","base",2026,2015,21389,0.0110058109615411,0.00354526675515751,0.00597264372966047,0.00372409315463906,-0.643074677676535,0.00867782784545015,104.379728898159,111.52349520444,105.201288404125,97.9731671161787,108.442642776815,109.456982991519,5
"venue_2392__base","HOU",20310,0.0100273989640249,0.00331625038077469,20310,0.00525586831130154,0.00222914670956509,20310,0.0045899041249937,0.0017297815409728,20310,0.00355160802932211,0.0024283627829202,20310,-1.31428989406933,0.775498673572742,"HOU","Astros","Daikin Park","2015-2026","hou","HOU","base",2026,2015,20310,0.0100273989640249,0.00525586831130154,0.0045899041249937,0.00355160802932211,-1.31428989406933,0.0154647668154512,106.556733984565,108.571386540548,104.940343967401,96.0459609377195,115.827653409365,108.625537786449,6
"venue_32__base","MIL",19797,0.00492057608216322,0.00330849282443676,19797,0.00049852258218067,0.00223295350492718,19797,0.00416057946255256,0.00172329146548409,19797,0.00366866286650424,0.00242017884530963,19797,1.00987016555418,0.775848030119526,"MIL","Brewers","American Family Field","2015-2026","mil","MIL","base",2026,2015,19797,0.00492057608216322,0.00049852258218067,0.00416057946255256,0.00366866286650424,1.00987016555418,0.0144320855283682,100.502275649197,107.654790927508,105.117430591527,102.719134485104,114.703971242949,104.285808297189,7
"venue_7__walls_in","KCR",589,0.00489342742293539,0.00775035868025955,589,0.00214939167345264,0.00542453930997387,589,-7.85710107309588e-07,0.00329794117590506,589,0.00710707215092782,0.00502794309061566,589,4.83030754201487,1.19793235102568,"KC","Royals","Kauffman Stadium","2026","kcr","KCR","walls_in",2026,2026,589,0.00489342742293539,0.00214939167345264,-7.85710107309588e-07,0.00710707215092782,4.83030754201487,-0.0117788098332579,102.603261934274,98.7703978441206,110.319234354607,113.688448553847,86.1833462911363,104.26273762492,8
"venue_2__wall_medium","BAL",2543,0.00228886893232433,0.00565996077342678,2543,-0.000183408502545877,0.00411382852135134,2543,0.00471531834715927,0.00249662410768344,2543,0.00212106532466125,0.00381548104492827,2543,0.372274735650435,0.945867653313724,"BAL","Orioles","Oriole Park at Camden Yards","2025-2026","bal","BAL","wall_medium",2026,2025,2543,0.00228886893232433,-0.000183408502545877,0.00471531834715927,0.00212106532466125,0.372274735650435,-0.00135033609617217,99.634412858651,108.839142241319,102.776144825065,100.888458091218,97.5307872759527,102.049408604179,9
"venue_22__base","LAD",20350,-0.000203405604639817,0.00330836254935733,20350,-0.00380322252605868,0.00223340944403488,20350,0.00506341339265728,0.00172341457973948,20350,0.0036188793441422,0.00241903119070997,20350,-2.1016195876091,0.774441491456953,"LAD","Dodgers","Dodger Stadium","2015-2026","lad","LAD","base",2026,2015,20350,-0.000203405604639817,-0.00380322252605868,0.00506341339265728,0.0036188793441422,-2.1016195876091,0.00594073644919269,95.0276395789661,109.582314995035,105.042115498837,93.7853646150844,105.464356224812,99.931497418771,10
