"bacon_resid","hr_resid","xbh_resid"
0.368676076979124,3.00622480586879e-06,0.63132091679607
0.533643989920115,1.06907687111814e-11,0.466356010069195
0.99999995121589,6.57243795057003e-20,4.87841094590153e-08
0.999999999999994,4.76761540051481e-34,5.89355608303266e-15
0.572364340988118,0.162547090220887,0.265088568790994
0.611164704606679,1.11251383889068e-14,0.38883529539331
0.999999813528016,1.67018441956875e-20,1.86471984467372e-07
0.272706160902365,0.000152664330446113,0.727141174767189
0.999985659976537,3.95859494092388e-18,1.43400234633268e-05
0.64460388216137,0.174592407202026,0.180803710636604
0.640577304334035,1.38173583860056e-11,0.359422695652147
0.651218701660419,0.000144037737639167,0.348637260601942
0.604804151543056,8.45673877909874e-11,0.395195848372377
0.999999970025272,1.01116852054495e-16,2.99747278804658e-08
0.999999382912655,3.28173534083302e-20,6.17087344587545e-07
0.519701364687107,2.4468082779742e-12,0.480298635310446
0.999999999431645,8.95526008272151e-24,5.68355204313469e-10
0.999999189947642,2.42231209981173e-14,8.10052333530106e-07
0.999999977794089,1.47479682556029e-23,2.2205911108668e-08
0.523611538231775,0.274230793015693,0.202157668752532
0.383172537015056,6.51627639403941e-11,0.616827462919781
0.999985231827842,1.35802229792073e-15,1.47681721566914e-05
0.999999843487514,1.34716979491159e-17,1.56512485759606e-07
0.999999999999826,3.69480833595366e-33,1.74083097749106e-13
0.627394593070465,1.2021374340984e-06,0.372604204792101
0.999989982616171,1.06916514566366e-13,1.00173837217403e-05
0.646207436885206,2.28564932910832e-08,0.3537925402583
0.55500909722293,0.391500252308821,0.0534906504682485
0.999999999999991,6.8838602067859e-34,9.36054006811681e-15
0.377187601446923,0.000250479862531562,0.622561918690545
0.632871705324655,0.366859451257774,0.000268843417571317
0.999999999997113,1.82274994738801e-27,2.8869805680842e-12
0.999983687150324,5.32492070448371e-19,1.63128496756725e-05
0.999999868445574,5.75506203525441e-21,1.3155442623771e-07
0.999999489003558,8.3842879798739e-13,5.10995603150659e-07
0.0501604562507316,0.164315317505,0.785524226244269
0.999989655783158,2.44947323596392e-14,1.03442168170533e-05
0.469086030385118,3.9149367532833e-12,0.530913969610967
0.999997040512029,9.70052347912925e-13,2.95948700058478e-06
0.99999999335515,2.6558184415403e-23,6.64484953831753e-09
0.999999896550846,1.4149489529316e-18,1.03449154213794e-07
0.626601746755605,0.0566186250091657,0.316779628235229
0.999999999542042,1.76773017835246e-28,4.57958438940837e-10
0.999999999153511,3.30344535985964e-23,8.464888097914e-10
0.999999999985272,1.04105262926572e-23,1.47284531398927e-11
0.999999999801023,2.84452288956662e-26,1.98976881120529e-10
0.373707371552586,0.126811644108922,0.499480984338492
0.470108853393693,0.0891687304319691,0.440722416174338
0.999999993261627,2.43212305878616e-26,6.73837264771097e-09
0.999999999872234,6.97038141394416e-26,1.27765894694152e-10
0.160139304734943,3.70679513995319e-05,0.839823627313657
0.642237636605973,1.38093150120443e-08,0.357762349584712
0.381207706208937,9.81517965736843e-05,0.618694141994489
0.437976975170895,0.0356198326441874,0.526403192184917
0.999987887794738,1.61478922360376e-11,1.21121891140178e-05
0.999999779460132,6.15260059243231e-20,2.20539868425676e-07
0.376971884189496,0.139514040021642,0.483514075788862
0.999999820214062,1.51736925575414e-16,1.79785937926442e-07
0.449143702169007,6.1819811277112e-11,0.550856297769173
0.999999991975423,4.54340282342505e-18,8.02457706564706e-09
0.999999239326234,2.13279940955905e-20,7.60673765982192e-07
0.999999999999998,1.5028684056186e-41,2.25695547511727e-15
0.999999998949984,2.54710890731533e-24,1.05001593121335e-09
0.999989590654005,6.826379908857e-13,1.04093453123256e-05
0.999999998483174,4.19726140415571e-20,1.51682577805601e-09
0.99999999523188,7.09770883017769e-22,4.76811980962581e-09
0.55920646441041,2.98013568027428e-14,0.44079353558956
0.278573097659308,0.218647633423072,0.50277926891762
0.999998524408203,6.64738111296026e-19,1.47559179667096e-06
0.999998171815245,2.17380508963222e-21,1.82818475518918e-06
0.999973824503795,1.62050109056145e-15,2.61754962039046e-05
0.999999975813162,5.30607030628608e-21,2.41868382217393e-08
0.999999999060116,8.64005812130389e-20,9.39883817544422e-10
0.750414424376577,4.07928358173157e-08,0.249585534830587
0.524801086822948,2.21327909063166e-11,0.47519891315492
0.999999994002135,5.5540042461788e-23,5.99786529010005e-09
0.999999971305333,2.88400829515776e-22,2.86946668916006e-08
0.99999999992263,3.46532049665718e-25,7.73703020462682e-11
0.999995947061262,7.46618095657058e-13,4.05293799108423e-06
0.999984938857801,9.11472965278603e-11,1.50610510516664e-05
0.173498013519316,0.12583690618868,0.700665080292004
