"park_era_half_id","park_era_id","half","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","half_effect","half_se","delta_overall","delta_half","pf_index_overall","pf_index_half","component"
"venue_5__base__1H","venue_5__base","1H",15446,"5","Progressive Field","CLE",-0.00158599506253,0.00046907313402053,0,0,-0.00158599506253,-0.00158599506253,-326.402085703229,-326.402085703229,"triple_resid"
"venue_5__base__2H","venue_5__base","2H",17381,"5","Progressive Field","CLE",-0.00158599506253,0.00046907313402053,0,0,-0.00158599506253,-0.00158599506253,-326.402085703229,-326.402085703229,"triple_resid"
"venue_3289__base__1H","venue_3289__base","1H",12988,"3289","Citi Field","NYM",-0.00164933438679246,0.000502834805701415,0,0,-0.00164933438679246,-0.00164933438679246,-343.431155093559,-343.431155093559,"triple_resid"
"venue_3289__base__2H","venue_3289__base","2H",14924,"3289","Citi Field","NYM",-0.00164933438679246,0.000502834805701415,0,0,-0.00164933438679246,-0.00164933438679246,-343.431155093559,-343.431155093559,"triple_resid"
"venue_2__base__1H","venue_2__base","1H",12881,"2","Oriole Park at Camden Yards","BAL",-0.0017811947784995,0.000528812072639403,0,0,-0.0017811947784995,-0.0017811947784995,-378.88242942214,-378.88242942214,"triple_resid"
"venue_2__base__2H","venue_2__base","2H",12830,"2","Oriole Park at Camden Yards","BAL",-0.0017811947784995,0.000528812072639403,0,0,-0.0017811947784995,-0.0017811947784995,-378.88242942214,-378.88242942214,"triple_resid"
"venue_14__of_renovation__1H","venue_14__of_renovation","1H",8653,"14","Rogers Centre","TOR",-0.00178983771866046,0.000660793353731366,0,0,-0.00178983771866046,-0.00178983771866046,-381.206123737661,-381.206123737661,"triple_resid"
"venue_14__of_renovation__2H","venue_14__of_renovation","2H",6230,"14","Rogers Centre","TOR",-0.00178983771866046,0.000660793353731366,0,0,-0.00178983771866046,-0.00178983771866046,-381.206123737661,-381.206123737661,"triple_resid"
"venue_2523__steinbrenner__1H","venue_2523__steinbrenner","1H",2572,"2523","George M. Steinbrenner Field","TBR",-0.00181843418430645,0.00111246742758441,0,0,-0.00181843418430645,-0.00181843418430645,-388.894415387029,-388.894415387029,"triple_resid"
"venue_2523__steinbrenner__2H","venue_2523__steinbrenner","2H",1499,"2523","George M. Steinbrenner Field","TBR",-0.00181843418430645,0.00111246742758441,0,0,-0.00181843418430645,-0.00181843418430645,-388.894415387029,-388.894415387029,"triple_resid"
"venue_5__wind_tunnel__1H","venue_5__wind_tunnel","1H",5701,"5","Progressive Field","CLE",-0.00183427611561966,0.000781036463366631,0,0,-0.00183427611561966,-0.00183427611561966,-393.153591668917,-393.153591668917,"triple_resid"
"venue_5__wind_tunnel__2H","venue_5__wind_tunnel","2H",4290,"5","Progressive Field","CLE",-0.00183427611561966,0.000781036463366631,0,0,-0.00183427611561966,-0.00183427611561966,-393.153591668917,-393.153591668917,"triple_resid"
"venue_22__base__1H","venue_22__base","1H",21840,"22","Dodger Stadium","LAD",-0.00215210810310304,0.00041590897517358,0,0,-0.00215210810310304,-0.00215210810310304,-478.604187050927,-478.604187050927,"triple_resid"
"venue_22__base__2H","venue_22__base","2H",19633,"22","Dodger Stadium","LAD",-0.00215210810310304,0.00041590897517358,0,0,-0.00215210810310304,-0.00215210810310304,-478.604187050927,-478.604187050927,"triple_resid"
"venue_680__base__1H","venue_680__base","1H",22039,"680","T-Mobile Park","SEA",-0.00225407038838356,0.00041410120891687,0,0,-0.00225407038838356,-0.00225407038838356,-506.017217604331,-506.017217604331,"triple_resid"
"venue_680__base__2H","venue_680__base","2H",20006,"680","T-Mobile Park","SEA",-0.00225407038838356,0.00041410120891687,0,0,-0.00225407038838356,-0.00225407038838356,-506.017217604331,-506.017217604331,"triple_resid"
"venue_3313__base__1H","venue_3313__base","1H",22046,"3313","Yankee Stadium","NYY",-0.00233943846340923,0.00041463360527448,0,0,-0.00233943846340923,-0.00233943846340923,-528.968818213569,-528.968818213569,"triple_resid"
"venue_3313__base__2H","venue_3313__base","2H",19849,"3313","Yankee Stadium","NYY",-0.00233943846340923,0.00041463360527448,0,0,-0.00233943846340923,-0.00233943846340923,-528.968818213569,-528.968818213569,"triple_resid"
