"park_era_id","n_pa","n_k","obs_k_rate","years_used","home_team","venue_name","park_effect","park_se","idx_100","obs_idx_100"
"venue_680__base",64407,15413,0.239306286583756,"2015-2026","SEA","T-Mobile Park",0.0204257201696778,0.00390917325060624,109.221562308833,108.039168964217
"venue_12__base",54344,13379,0.246190931841602,"2015-2024","TBR","Tropicana Field",0.0161342903110012,0.00400024360043518,107.284118365264,111.14736709344
"venue_2392__base",64441,15027,0.233190049813007,"2015-2026","HOU","Minute Maid Park",0.0154647668153267,0.00392627215200276,106.981849824361,105.27788280106
"venue_32__base",65431,15882,0.242728981675353,"2015-2026","MIL","American Family Field",0.0144320855282066,0.00390970298852654,106.515627103437,109.584406820659
"venue_3289__base",42402,9948,0.234611574925711,"2015-2022","NYM","Citi Field",0.0138278816096845,0.004130471579312,106.242848271865,105.919656128584
"venue_1__base",65181,14686,0.225311056903085,"2015-2026","LAA","Angel Stadium",0.0100388818929665,0.00392014369013424,104.532235540191,101.720768366605
"venue_2681__base",65342,15247,0.233341495515901,"2015-2026","PHI","Citizens Bank Park",0.00867782784545679,0.0039036811220005,103.917762973224,105.346255713938
"venue_2602__base",65979,15122,0.229194137528608,"2015-2026","CIN","Great American Ball Park",0.00831678940031549,0.00390585483630524,103.754765610581,103.473855633101
"venue_2735__base",588,144,0.244897959183673,"2017-2025","PIT","BB&T Ballpark",0.00720342586106916,0.00872455698441471,103.252117421716,110.563631106182
"venue_2680__base",64247,14816,0.230609989571498,"2015-2026","SDP","Petco Park",0.00630183505885247,0.00391131755799651,102.845077880851,104.113067750233
"venue_3289__rf_in_362",22553,5200,0.23056799538864,"2023-2026","NYM","Citi Field",0.00607916443385591,0.00461305547414552,102.74454918342,104.094108713753
"venue_5__wind_tunnel",15943,3644,0.22856426017688,"2024-2026","CLE","Progressive Field",0.00596892401889563,0.00497070330344623,102.694779146081,103.18948606387
"venue_22__base",64062,15150,0.236489650650932,"2015-2026","LAD","Dodger Stadium",0.00594073644906365,0.00390801670809081,102.682053355784,106.767547521248
"venue_2536__dunedin",1684,397,0.235748218527316,"2021","TOR","TD Ballpark",0.00581773113188632,0.00764582221555556,102.626520371525,106.432814524374
"venue_3313__base",64513,15233,0.23612295196317,"2015-2026","NYY","Yankee Stadium",0.00548591229814536,0.00390980883687827,102.476714733086,106.601994739281
"venue_17__base",65011,14817,0.22791527587639,"2015-2026","CHC","Wrigley Field",0.00495813581073735,0.00390984369032583,102.23844045324,102.896490315632
