"park_era_id","points_delta","pred_from_components","old_blend_45_35_20","n_bbe"
"venue_10__base",-0.155667706977133,-0.128308380947929,-0.00904089438420757,37621
"venue_12__base",-0.0455203006469289,-0.0284100593715185,-0.00143032573462812,35636
"venue_12__trop_return",0.0248410021516903,0.0528683957118605,0.00282779716903239,2241
"venue_13__base",0.115060168719702,0.0804071998877498,0.00538062016133762,21828
"venue_14__base",-0.0104849734932151,0.00597614195540973,-0.00131283971888486,27047
"venue_14__of_renovation",-0.0121379034380343,0.0154209543030922,0.00141085668389278,14883
"venue_15__base",0.188260441132323,0.134694615033361,0.00644304992834074,12726
"venue_15__humidor",-0.0138512008447143,-0.00828192680203638,-0.000967021236978702,31896
"venue_16__base",-0.0805818908421243,-0.10493313623071,-0.00574822934258611,8391
"venue_17__base",-0.0101398906824384,-0.0257814171697945,-0.00114878103935835,42356
"venue_19__base",0.257951795300525,0.248345636233311,0.0169190588873266,46437
"venue_1__base",-0.0335031334443633,-0.0472935319361041,-0.00237090697368746,42985
"venue_22__base",0.00592184355156157,0.0164749980342761,0.000604376361236333,41473
"venue_2392__base",0.0386514587841114,0.060633251513681,0.0046121475336588,42346
"venue_2394__base",-0.0666084288279428,-0.0980984574940603,-0.00658787265789825,30105
"venue_2394__cf_in_412",-0.0493626163214646,-0.0501152497128782,-0.00274890345446222,14410
"venue_2395__base",-0.126344770129792,-0.141685773091093,-0.00912398243019587,20983
"venue_2395__bullpen_center",-0.113702182306951,-0.0882889728361804,-0.0051071223663637,22579
"venue_2523__steinbrenner",0.00623546004522974,-0.0116774979780551,0.00152397431570751,4071
"venue_2529__sutter_health",0.16293884853337,0.180063652868217,0.0124087688382612,6288
"venue_2536__dunedin",0.158461648592733,0.129789490227097,0.00827652470894607,1086
"venue_2602__base",0.114580249805531,0.120940410802123,0.0086165480142647,42321
"venue_2680__base",-0.0860600140186329,-0.0776732224137836,-0.0046956046411679,41941
"venue_2681__base",0.044663612228301,0.0428521420250537,0.003572714674274,43012
"venue_2756__buffalo",0.0666176440017792,0.0816970820055151,0.00561743126372668,1197
"venue_2889__base",-0.135559941443476,-0.139598121350357,-0.00839063286546947,44130
"venue_2__base",0.0722500374405557,0.0393001582773394,0.0029557036035997,25711
"venue_2__wall_deep",-0.104227943960675,-0.1162288328727,-0.00586034137300207,12551
"venue_2__wall_medium",0.0477019704555097,0.0470801891612968,0.00357227887748554,6503
"venue_31__base",-0.072788247097371,-0.065577676766864,-0.00457488354380932,44069
"venue_3289__base",-0.104689023903716,-0.0895750314250529,-0.00466270067604153,27912
"venue_3289__rf_in_362",-0.0791886605149191,-0.0821458981489073,-0.00504022317612507,14111
"venue_32__base",0.0287354095596034,0.0397477104540208,0.00274439983564447,41791
"venue_3309__base",-0.0242928964366262,-0.0387482032034984,-0.00186412476849123,44124
"venue_3312__base",-0.00664256224762578,-0.00534784126926731,-0.000241485423336046,44582
"venue_3313__base",-0.0176615566890381,-0.0207344191643333,-0.000982312389495475,41895
"venue_3__base",0.0664839841669544,0.0889139047980804,0.00608807237846772,44807
"venue_4169__base",-0.100300733490531,-0.0996998492906461,-0.00561948831240354,4273
"venue_4169__cf_in_407",-0.11447308009152,-0.113236235263109,-0.0061127626795315,16425
"venue_4169__fence_reduced",-0.0602205211874258,-0.0543138991878856,-0.00333048191067826,22908
"venue_4705__suntrust",-0.0236969598986138,-0.0400940422308265,-0.00202054540031434,34481
"venue_4__base",-0.0465996533555669,-0.0465034124498722,-0.002018089496397,43008
"venue_5325__globe_life",-0.0493201808925553,-0.033145910962966,-0.00164143758435696,22406
"venue_5__base",-0.00327039231828358,-0.00178934055987242,-0.0010785581293791,32827
"venue_5__wind_tunnel",-0.0685853044085742,-0.0591791794787835,-0.00353236169379294,9991
"venue_680__base",-0.0996915936725987,-0.102910771973177,-0.00680550025284597,42045
"venue_7__base",-0.0536499128567356,-0.074033010266645,-0.00531426388735751,43345
"venue_7__walls_in",0.0294004473600167,0.0407793036166949,0.00136291178039058,2230
