"park_era_id","venue_id","venue_name","home_team","component","delta_overall","pf_index_overall","park_se","n_bbe"
"venue_4169__fence_reduced","4169","loanDepot park","MIA","hr_resid",-0.00514791063771753,-55.9091601021918,0.00136969519134108,22908
"venue_15__humidor","15","Chase Field","AZ","hr_resid",-0.00586882646766062,-77.7427523031312,0.00122535916467554,31896
"venue_2394__base","2394","Comerica Park","DET","hr_resid",-0.00596254059738036,-80.5809700350517,0.00126817611409414,30105
"venue_2__wall_deep","2","Oriole Park at Camden Yards","BAL","hr_resid",-0.00626797864197891,-89.831439273525,0.00174559023903888,12551
"venue_4169__cf_in_407","4169","Marlins Park","MIA","hr_resid",-0.00658457881003907,-99.4199635825557,0.00159416494046611,16425
"venue_16__base","16","Turner Field","ATL","hr_resid",-0.0066909728271953,-102.642203248721,0.00208929502405445,8391
"venue_10__base","10","Oakland Coliseum","ATH","hr_resid",-0.00670223884736194,-102.983404925573,0.00116431138283337,37621
"venue_31__base","31","PNC Park","PIT","hr_resid",-0.00676193964330899,-104.791497879895,0.00110280518311809,44069
"venue_4169__base","4169","Marlins Park","MIA","hr_resid",-0.00723313470602824,-119.062069310294,0.00275126695497724,4273
"venue_2889__base","2889","Busch Stadium","STL","hr_resid",-0.00771921458771539,-133.783441033642,0.00110630897192423,44130
"venue_7__base","7","Kauffman Stadium","KCR","hr_resid",-0.00908870596677292,-175.259734175109,0.00111790473270014,43345
"venue_2395__bullpen_center","2395","Oracle Park","SFG","hr_resid",-0.00967397287878165,-192.985075407401,0.0013794822556548,22579
"venue_2395__base","2395","AT&T Park","SFG","hr_resid",-0.0125949746894944,-281.450274400662,0.00145214853404602,20983
