player_id,season,n10_sav,n10_sav_native,eff_cnt_sav,flag_le2_sav,fb_cnt_sav,brk_cnt_sav,off_cnt_sav
668881,2024,2,2,2.3121517585541422,1,1,1,0
668881,2025,3,3,2.34151226021139,0,1,1,1
668909,2023,3,3,2.583855304247369,0,1,2,0
668909,2024,4,4,2.98926852599169,0,2,2,0
668909,2025,4,4,3.970869699881669,0,2,2,0
668933,2022,3,3,2.6491750468903983,0,2,1,0
668933,2023,2,2,2.3296664383593555,1,1,1,0
668933,2024,3,3,2.7594135288237247,0,2,1,0
668964,2024,4,4,3.6263648817072247,0,2,1,1
669022,2022,3,3,2.3169506359999916,0,1,2,0
669022,2023,3,3,2.3497013529580393,0,1,2,0
669022,2024,3,3,2.6813767598189937,0,2,1,0
669022,2025,4,4,3.057836384554584,0,1,2,1
669060,2021,4,4,3.45762336800177,0,2,1,1
669060,2022,4,4,4.8269071109995565,0,2,2,0
669084,2024,4,4,3.3054830717869708,0,1,2,1
669145,2021,4,4,3.4502984508159953,0,1,2,1
669145,2022,4,4,5.223843013768618,0,2,1,1
669160,2022,4,4,4.360490467967837,0,3,1,0
669160,2023,4,4,3.9909007462984394,0,3,1,0
669160,2025,3,3,3.2861084678123027,0,2,1,0
669169,2022,4,4,3.0213671081891134,0,1,2,1
669194,2023,4,4,2.825513254482676,0,2,1,1
669194,2024,3,2,2.7191350975081843,0,2,0,0
669194,2025,4,4,2.3447978315309657,0,2,2,0
669203,2021,2,2,3.000084002352066,1,1,1,0
669203,2022,2,2,2.7435896028928393,1,1,1,0
669203,2023,3,3,2.7566880001325864,0,1,1,1
669203,2024,4,4,3.472117400419287,0,1,2,1
669203,2025,2,2,2.7593098967333436,1,1,1,0
669211,2021,3,3,2.461247655661608,0,1,1,1
669212,2021,3,3,2.876307281659514,0,1,1,1
669302,2021,2,2,2.333961947084414,1,1,1,0
669302,2022,3,3,2.7008194286146416,0,1,2,0
669302,2023,4,4,3.309019877216331,0,1,2,1
669302,2024,5,5,4.142578441180011,0,2,2,1
669302,2025,3,3,3.3021496907121355,0,1,1,1
669330,2022,3,3,3.4638115024699507,0,2,0,1
669330,2023,4,4,4.035251961132452,0,2,1,1
669358,2022,3,3,3.0598818885591017,0,1,2,0
669358,2024,4,4,3.0539573178925243,0,1,2,1
669358,2025,4,4,3.320173527131911,0,2,1,1
669372,2024,3,3,2.684034297745359,0,1,1,1
669372,2025,3,3,2.790848250417232,0,2,1,0
669373,2021,4,4,3.678890459493694,0,2,1,1
669373,2022,4,4,4.2109163796225335,0,2,1,1
669373,2023,4,4,3.9952161537876445,0,2,1,1
669373,2024,4,4,4.0075984065788735,0,2,1,1
669373,2025,4,4,3.876329581046299,0,2,1,1
669432,2021,3,3,2.3245816106679094,0,2,0,1
669432,2022,3,3,2.533685346684166,0,1,1,1
669432,2024,4,4,3.895385526305537,0,3,0,1
669432,2025,4,4,3.6860108516159467,0,3,0,1
669456,2021,3,3,3.4372293181911924,0,1,2,0
669456,2022,4,4,3.7961962000038034,0,2,2,0
669456,2023,4,4,3.8569800876865465,0,2,2,0
669456,2025,5,5,4.2526324277753496,0,2,2,1
669461,2022,5,5,4.215176320825501,0,2,2,1
669461,2023,4,4,4.037923263350825,0,2,2,0
669461,2025,6,6,5.221447517209394,0,3,2,1
669467,2024,4,4,2.95263965985591,0,2,2,0
669467,2025,4,4,3.189121269525395,0,2,2,0
669713,2022,4,4,4.19167881188285,0,3,1,0
669713,2025,4,4,4.287098406056811,0,3,1,0
669721,2024,3,3,3.0920934815140706,0,1,1,1
669854,2023,2,2,2.460726800267727,1,1,1,0
669854,2024,3,3,3.3832932976959764,0,1,1,1
