feature,d_r2_blend,folds_pos,resid_slope,resid_lo,resid_hi,gsm_coef,gsm_lo,gsm_hi,gsm_consist,comp_ip,comp_k,comp_er,comp_whip,verdict_skill,verdict_gsm
n_pitches_10_sub,0.0031761046570507965,3/4,0.006455710631905143,0.0012829551474038468,0.011690409726771975,0.04135183888159685,0.017282880638296094,0.06910431483672178,5/5,0.144180943399879,-0.09302603394193718,0.005691656446714835,0.04604817793528565,PROMISING,PROMISING
brk_family_count_10,-2.2866705083647717e-4,2/4,0.0019760763032151264,-0.00345202034408035,0.0075580832087755396,-0.027414458492961508,-0.05585941450619389,-0.0018575276455466165,5/5,-0.022888789933147493,-0.010139033263568938,-0.039610398634443156,-0.03226168171807147,KILL,PROMISING
off_family_count_10,-0.0029174278562631127,0/4,0.0012247979124318969,-0.004315247895480113,0.006238138618048645,0.034188528997768405,0.005276106383166536,0.0629397626861322,5/5,0.07367276282311384,-0.059296163810620854,0.03080049178032227,0.028688247520032253,KILL,PROMISING
brk_family_count_5,0.0029403022870453715,3/4,0.004835255706033565,3.6759255420759656e-4,0.009390173263827337,0.014117398135736463,-0.014555367368917247,0.041343113716577236,3/5,-0.00820433514928244,-0.003326159214262815,-7.696491430039612e-4,0.010633971727492425,PROMISING,KILL
off_family_count_5,-0.0015534774365603223,3/4,0.0035614082715520567,-0.0021013923414674516,0.009030325607774243,0.0020091828111790957,-0.028342384530768004,0.030983818735874503,3/5,0.024917956659085968,-0.018816279255133954,-0.007916157225041085,0.016364801331030177,KILL,KILL
pair_sl_st_5,-8.974773241724034e-4,3/4,0.004002262353814963,-6.421197073050563e-5,0.007528650719729416,0.036752887127218095,0.008700345049223922,0.06194995422285306,4/5,0.051128683445243725,-0.017358907852297913,0.013751754756717697,0.050381779171478874,KILL,PROMISING
