arm,points,d_rho_pooled,rho_lo,rho_hi,rho_seasons_pos,m1q_rel,verdict
A1_le2,flag_le2_sav=-2.51,3.243203932434895e-5,-0.001014631256011557,0.0011538655074021503,2,4.2277287071179614e-6,REJECT
A2_fb,fb_cnt_sav=+1.07,7.298999081246585e-4,-8.630906453844996e-4,0.002297989501401347,4,0.007716547024747111,REJECT
A3_both,flag_le2_sav=-1.88 fb_cnt_sav=+0.88,4.198534950743485e-4,-0.0013541630377005521,0.0020198266155706246,3,0.01061746135648245,REJECT
