player_id,player_name,season,event_month,family,base_share,new_share,delta,is_new_pitch,n_prior_months
425794,"Wainwright, Adam",2022,8,cufam,0.2870182555780933,0.3896940418679549,0.10267578628986163,FALSE,4
425794,"Wainwright, Adam",2023,7,fc,0.24858115777525538,0.13934426229508196,-0.10923689548017343,FALSE,2
425844,"Greinke, Zack",2021,7,slfam,0.09102646868947709,0.2336448598130841,0.14261839112360702,FALSE,3
425844,"Greinke, Zack",2022,8,slfam,0.11185983827493262,0.0056657223796034,-0.10619411589532922,FALSE,4
425844,"Greinke, Zack",2023,5,cufam,0.23935091277890466,0.10199556541019955,-0.1373553473687051,FALSE,1
434671,"S<c3><a1>nchez, An<c3><ad>bal",2022,9,fc,0.21995192307692307,0.3825,0.16254807692307693,FALSE,2
446372,"Kluber, Corey",2021,5,ch,0.075,0.20089285714285715,0.12589285714285714,FALSE,1
446372,"Kluber, Corey",2023,6,fc,0.24675324675324675,0.36818181818181817,0.12142857142857141,FALSE,2
448179,"Hill, Rich",2022,5,slfam,0.07251908396946564,0.17333333333333334,0.1008142493638677,FALSE,1
448179,"Hill, Rich",2023,9,fc,0.15635593220338984,0.017543859649122806,-0.13881207255426703,FALSE,5
450203,"Morton, Charlie",2021,5,si,0.2708803611738149,0.10978043912175649,-0.16109992205205842,FALSE,1
450203,"Morton, Charlie",2023,8,fc,0.050445103857566766,0.1527777777777778,0.10233267392021103,FALSE,4
456501,"Cueto, Johnny",2021,7,si,0.11753731343283583,0.22518159806295399,0.10764428463011816,FALSE,3
456501,"Cueto, Johnny",2022,6,ch,0.13138686131386862,0.26238532110091745,0.13099845978704883,FALSE,1
456501,"Cueto, Johnny",2023,8,si,0.11214953271028037,0.21245421245421245,0.10030467974393208,FALSE,1
457918,"Happ, J.A.",2021,9,si,0.1444043321299639,0.3318777292576419,0.18747339712767802,FALSE,5
458681,"Lynn, Lance",2021,8,ff,0.4284122562674095,0.2468354430379747,-0.18157681322943478,FALSE,4
458681,"Lynn, Lance",2023,6,ff,0.45271966527196655,0.34535104364326374,-0.10736862162870281,FALSE,2
458681,"Lynn, Lance",2024,6,ff,0.3775303643724696,0.5864077669902913,0.20887740261782167,FALSE,2
471911,"Carrasco, Carlos",2022,5,ff,0.3591331269349845,0.46261682242990654,0.10348369549492203,FALSE,1
471911,"Carrasco, Carlos",2023,6,si,0.13043478260869565,0.010050251256281407,-0.12038453135241424,FALSE,2
471911,"Carrasco, Carlos",2024,5,si,0.17034068136272545,0.27615062761506276,0.1058099462523373,FALSE,1
