park,season,total_bbe,total_barrels,total_hr,barrel_hr,nonbarrel_hr,earned_pct,lucky_pct,overall_pct
NYY,2016,4154,223,229,162,67,72.65,29.26,102.69
NYY,2017,3968,280,243,180,63,64.29,25.93,86.79
NYY,2018,4071,299,239,175,64,58.53,26.78,79.93
NYY,2019,3940,298,257,192,65,64.43,25.29,86.24
NYY,2021,3778,327,219,176,43,53.82,19.63,66.97
NYY,2022,3917,322,207,166,41,51.55,19.81,64.29
NYY,2023,3993,347,231,180,51,51.87,22.08,66.57
NYY,2024,4054,368,226,184,42,50,18.58,61.41
NYY,2025,3973,390,225,187,38,47.95,16.89,57.69
PHI,2015,4308,207,169,126,43,60.87,25.44,81.64
PHI,2016,4067,232,198,148,50,63.79,25.25,85.34
PHI,2017,4151,280,231,185,46,66.07,19.91,82.5
PHI,2018,3876,236,192,143,49,60.59,25.52,81.36
PHI,2019,4211,300,255,198,57,66,22.35,85
PHI,2021,3961,263,199,161,38,61.22,19.1,75.67
PHI,2022,4117,311,188,155,33,49.84,17.55,60.45
PHI,2023,4042,304,217,177,40,58.22,18.43,71.38
PHI,2024,4170,273,200,147,53,53.85,26.5,73.26
PHI,2025,4106,316,217,179,38,56.65,17.51,68.67
PIT,2015,4254,209,128,109,19,52.15,14.84,61.24
PIT,2016,3964,188,138,110,28,58.51,20.29,73.4
PIT,2017,4327,183,152,109,43,59.56,28.29,83.06
PIT,2018,4164,250,151,125,26,50,17.22,60.4
PIT,2019,4370,255,188,154,34,60.39,18.09,73.73
PIT,2021,4168,249,147,122,25,49,17.01,59.04
PIT,2022,4216,282,159,138,21,48.94,13.21,56.38
PIT,2023,4160,304,143,131,12,43.09,8.39,47.04
PIT,2024,4185,339,163,151,12,44.54,7.36,48.08
PIT,2025,4098,291,116,105,11,36.08,9.48,39.86
SD,2015,3920,189,164,122,42,64.55,25.61,86.77
SD,2016,4208,218,174,136,38,62.39,21.84,79.82
SD,2017,3832,187,181,139,42,74.33,23.2,96.79
SD,2018,4018,235,165,135,30,57.45,18.18,70.21
SD,2019,3946,265,202,170,32,64.15,15.84,76.23
SD,2021,3975,302,183,167,16,55.3,8.74,60.6
SD,2022,3990,262,163,133,30,50.76,18.4,62.21
SD,2023,4008,307,185,153,32,49.84,17.3,60.26
SD,2024,4165,314,207,174,33,55.41,15.94,65.92
SD,2025,4047,332,162,142,20,42.77,12.35,48.8
SEA,2015,4112,246,179,153,26,62.2,14.53,72.76
SEA,2016,4164,289,230,193,37,66.78,16.09,79.58
SEA,2017,4205,249,210,158,52,63.45,24.76,84.34
SEA,2018,4135,269,184,161,23,59.85,12.5,68.4
SEA,2019,4069,300,239,193,46,64.33,19.25,79.67
SEA,2021,3949,300,193,162,31,54,16.06,64.33
SEA,2022,3980,284,193,162,31,57.04,16.06,67.96
SEA,2023,3876,290,186,154,32,53.1,17.2,64.14
SEA,2024,3672,279,165,146,19,52.33,11.52,59.14
SEA,2025,3956,341,194,169,25,49.56,12.89,56.89
SF,2015,4008,197,103,87,16,44.16,15.53,52.28
SF,2016,4180,223,115,91,24,40.81,20.87,51.57
SF,2017,4418,237,118,93,25,39.24,21.19,49.79
SF,2018,4242,216,124,92,32,42.59,25.81,57.41
SF,2019,4166,270,160,133,27,49.26,16.88,59.26
SF,2021,4039,310,171,151,20,48.71,11.7,55.16
SF,2022,4083,274,132,108,24,39.42,18.18,48.18
SF,2023,4103,297,163,146,17,49.16,10.43,54.88
SF,2024,4170,304,136,113,23,37.17,16.91,44.74
SF,2025,4231,322,149,133,16,41.3,10.74,46.27
STL,2015,4049,194,109,91,18,46.91,16.51,56.19
STL,2016,4248,267,181,159,22,59.55,12.15,67.79
STL,2017,4116,244,174,145,29,59.43,16.67,71.31
STL,2018,4227,274,161,136,25,49.64,15.53,58.76
STL,2019,4046,269,182,160,22,59.48,12.09,67.66
STL,2021,4097,274,150,129,21,47.08,14,54.74
STL,2022,4257,302,166,142,24,47.02,14.46,54.97
STL,2023,4446,373,193,174,19,46.65,9.84,51.74
STL,2024,4231,287,148,132,16,45.99,10.81,51.57
STL,2025,4306,334,143,127,16,38.02,11.19,42.81
TB,2015,4029,245,171,133,38,54.29,22.22,69.8
TB,2016,3965,276,199,160,39,57.97,19.6,72.1
TB,2017,3924,241,197,155,42,64.32,21.32,81.74
TB,2018,3955,216,147,116,31,53.7,21.09,68.06
TB,2019,3963,276,189,149,40,53.99,21.16,68.48
TB,2021,3806,276,171,140,31,50.72,18.13,61.96
TB,2022,3973,242,155,123,32,50.83,20.65,64.05
TB,2023,3921,300,201,166,35,55.33,17.41,67
TB,2024,3999,299,174,149,25,49.83,14.37,58.19
TB,2025,4090,307,206,148,58,48.21,28.16,67.1
TEX,2015,4445,243,175,141,34,58.02,19.43,72.02
TEX,2016,4384,266,211,178,33,66.92,15.64,79.32
TEX,2017,4306,284,238,189,49,66.55,20.59,83.8
TEX,2018,4391,313,233,190,43,60.7,18.45,74.44
TEX,2019,4326,302,238,199,39,65.89,16.39,78.81
TEX,2021,4218,288,194,169,25,58.68,12.89,67.36
TEX,2022,4130,328,198,167,31,50.91,15.66,60.37
TEX,2023,4173,376,256,219,37,58.24,14.45,68.09
TEX,2024,4045,293,184,156,28,53.24,15.22,62.8
TEX,2025,4055,346,150,134,16,38.73,10.67,43.35
TOR,2015,4277,243,200,156,44,64.2,22,82.3
TOR,2016,4210,295,199,165,34,55.93,17.09,67.46
TOR,2017,4174,252,204,167,37,66.27,18.14,80.95
TOR,2018,4221,314,225,172,53,54.78,23.56,71.66
TOR,2019,4200,324,270,202,68,62.35,25.19,83.33
TOR,2021,4176,353,246,200,46,56.66,18.7,69.69
TOR,2022,4211,333,204,170,34,51.05,16.67,61.26
TOR,2023,4075,296,184,149,35,50.34,19.02,62.16
TOR,2024,4203,305,180,140,40,45.9,22.22,59.02
TOR,2025,4235,379,223,194,29,51.19,13,58.84
WSH,2015,4040,231,158,137,21,59.31,13.29,68.4
WSH,2016,4051,240,177,144,33,60,18.64,73.75
WSH,2017,4152,252,205,174,31,69.05,15.12,81.35
WSH,2018,4177,296,210,182,28,61.49,13.33,70.95
WSH,2019,4170,324,242,197,45,60.8,18.6,74.69
WSH,2021,4110,322,216,196,20,60.87,9.26,67.08
WSH,2022,4292,325,200,175,25,53.85,12.5,61.54
WSH,2023,4506,332,193,175,18,52.71,9.33,58.13
WSH,2024,4281,304,159,143,16,47.04,10.06,52.3
WSH,2025,4282,359,177,159,18,44.29,10.17,49.3
