alt_name,canonical_name,notes
Cameron Schlittler,Cam Schlittler,Nickname — SP Skillz uses full name; NFBC ADP and projections use Cam
Leo De Vries,Leodalis De Vries,Nickname — projection systems use Leo; NFBC ADP uses full name Leodalis
