"player_type","player_name","team","position","adp","pa","ab","h","2b","3b","bb","hbp","hr","sb","cs","r","rbi","ip","k","sv","hld","ottoneu_fg_pts"
"hitter","Trevor Story","BOS","SS",110.42,574.5,524.8,128.9,25.5,1.6,36.1,6,19.7,21.9,5,69,69,,,,,619.4
"pitcher","Gerrit Cole","NYY","P",257.42,,,114,,,41,6,18,,,,,134,143,0,0,618.8
"pitcher","Merrill Kelly","ARI","P",241.89,,,158,,,52,7,21,,,,,160,140,0,0,617.9
"hitter","Luke Keaschall","MIN","2B",128.47,532.6,467.1,123.2,26,1.4,49.7,10.2,11.2,22.1,5.9,66.6,54.4,,,,,617.1
"hitter","Christian Walker","HOU","1B",200.21,564.3,505.3,116.5,21.6,0.7,46.4,7.6,25.4,3.2,1.1,66.3,75.4,,,,,616.9
"hitter","Wilyer Abreu","BOS","OF",225.16,504.7,445.2,109.4,24.3,1.2,52.4,2.7,21,8.8,2.8,63,68.1,,,,,616.7
"hitter","Trent Grisham","NYY","OF",247.68,525.9,448.3,100.6,18.8,1.1,67.1,5.3,23.3,5.3,1.8,69.5,64.4,,,,,616.3
"hitter","Brenton Doyle","COL","OF",164.84,563,517,128.9,24.4,3.1,36.1,3.1,19.1,20.6,5,67.9,65.6,,,,,615.4
"hitter","Carlos Correa","HOU","3B, SS",259.47,545.5,486.5,128,24.1,0.8,49.7,3.3,16,0.6,0.4,64.3,64.6,,,,,614.3
"hitter","Brandon Lowe","PIT","2B",165.68,533.4,478.3,116,23.2,1.1,45.7,4.9,22.6,4.5,1.2,65.5,70.2,,,,,614.1
"hitter","Josh Bell","MIN","1B",361.63,542.8,478.9,118.4,21.2,0.8,55.1,4.2,19.9,1.4,1.1,63.3,66.5,,,,,613.8
"hitter","Masyn Winn","STL","SS",273.47,610.9,557.1,141.5,28.4,3.1,41.6,4.9,13.3,12.7,3.7,69.6,62.5,,,,,613.4
"pitcher","Dustin May","STL","P",461.68,,,152,,,60,7,19,,,,,158,135,0,1,613.3
"pitcher","Tatsuya Imai","HOU","P",179.74,,,133,,,79,8,19,,,,,153,160,0,0,611.7
"hitter","Adolis García","PHI","OF",230.74,562,513.3,121.5,24.5,0.8,38.1,5.5,24.1,11.3,3.5,66,75.8,,,,,611.5
"hitter","Brendan Donovan","SEA","2B",261.16,550.7,487.3,129,25.5,1,48.3,9.3,12.8,5.1,2.3,65.4,58.9,,,,,610.5
"hitter","Jake Burger","TEX","1B",261.68,528.4,487,119.5,22.2,1.3,29.9,7.4,25.9,1.9,1.1,63.3,75,,,,,609.5
"pitcher","Shane McClanahan","TBR","P",220.89,,,122,,,48,6,18,,,,,141,133,0,0,608.8
"hitter","Drake Baldwin","ATL","C",87.37,518.2,463.1,121.2,21.5,1,46.7,4.1,18.2,0.8,0.5,64.1,66.1,,,,,607.9
"hitter","Marcell Ozuna","PIT","UT",330.84,518.1,449.9,109.2,20,0.1,60.8,3.1,20.4,0.6,0.1,60.6,66.1,,,,,604.4
"hitter","Jakob Marsee","MIA","OF",149,572.5,493.8,113.5,22.6,3.2,64,7.9,12.8,34,8.3,70.8,52.3,,,,,603.7
"hitter","Marcus Semien","NYM","2B",251.37,579,516.5,124,22.4,2.6,51.5,3.8,17.9,9.2,2.4,68.9,65.6,,,,,602.8
"hitter","Otto Lopez","MIA","SS, 2B",222.42,562.7,514,138,26.2,2.5,38.3,4.2,11.5,16.5,5.1,63.9,58.9,,,,,602.2
"pitcher","Shohei Ohtani","LAD","P",1.16,,,87,,,39,5,13,,,,,114,138,0,0,601.5
"hitter","Andrew Vaughn","MIL","1B",296.05,533.2,483.7,122.2,24.6,0.7,38.4,5.9,20.2,0.8,0.2,59.9,72.8,,,,,599.7
"pitcher","Bryce Miller","SEA","P",236.63,,,126,,,41,6,19,,,,,141,129,0,0,599.1
"pitcher","Andrew Abbott","CIN","P",223.89,,,155,,,53,7,28,,,,,165,152,0,0,597.6
"hitter","Ceddanne Rafaela","BOS","2B, OF",128.21,557.6,519.4,132.2,27.4,3.7,25.6,6.7,16.6,20.5,6,67.8,64.7,,,,,596
"hitter","Xavier Edwards","MIA","2B, SS",168.89,581.1,521.9,144.3,23,4.1,48.2,2.6,3.6,26.9,6.7,68.8,44.5,,,,,594.9
"hitter","Alejandro Kirk","TOR","C",154.74,483.9,427.6,116.4,20.3,0.2,47.5,4.1,16.4,0.7,0.1,58.4,60.8,,,,,594.1
"hitter","Jake Cronenworth","SDP","2B",420.47,579.3,501.1,117.6,24.3,2.2,60.9,10.6,14.2,4.5,1.6,66.4,59.5,,,,,592.2
