"profile","metric","weighted_strength","sign_consistency","composite_strength","raw_weight","scaled_weight","scaled_weight_round2"
"low_ip","siera",0.0409067896610536,1,0.0409067896610536,-0.0409067896610536,-0.758594717209226,-0.76
"low_ip","xfip",0.0227570939329893,1,0.0227570939329893,-0.0227570939329893,-0.422018236572494,-0.42
"low_ip","k_minus_bb_pct",0.0665518659439204,1,0.0665518659439204,0.0665518659439204,1.23416905466774,1.23
"low_ip","contact_pct",0.107848865100312,1,0.107848865100312,-0.107848865100312,-2,-2
"low_ip","csw_pct",0.0678909921039603,1,0.0678909921039603,0.0678909921039603,1.2590024390301,1.26
"low_ip","ball_pct",0.000825231239122649,0.333333333333333,0.00027507707970755,-0.00027507707970755,-0.00510115854166283,-0.01
"low_ip","stuff_plus",0.0943140599638903,1,0.0943140599638903,0.0943140599638903,1.74900421763673,1.75
"low_ip","pitching_plus",0.062223399011897,1,0.062223399011897,0.062223399011897,1.15389993124215,1.15
"high_ip","siera",0.183321723634315,1,0.183321723634315,-0.183321723634315,-1.60769943917048,-1.61
"high_ip","xfip",0.152982791505748,1,0.152982791505748,-0.152982791505748,-1.34163231302113,-1.34
"high_ip","k_minus_bb_pct",0.22805472113482,1,0.22805472113482,0.22805472113482,2,2
"high_ip","contact_pct",0.197593873845506,1,0.197593873845506,-0.197593873845506,-1.73286369922325,-1.73
"high_ip","csw_pct",0.135768259827385,1,0.135768259827385,0.135768259827385,1.19066388235061,1.19
"high_ip","ball_pct",0.0657313349653666,1,0.0657313349653666,-0.0657313349653666,-0.576452306168289,-0.58
"high_ip","stuff_plus",0.177381930394165,1,0.177381930394165,0.177381930394165,1.55560849178212,1.56
"high_ip","pitching_plus",0.186551721021479,1,0.186551721021479,0.186551721021479,1.63602595108035,1.64
