"metric","z_replacement","z_above_replacement_total","budget_bats","numstartingbats","total_budget","num_teams","hitter_budget_share","min_bid"
"z_total_equal_starter",-6.05644158287857,1271.8527324045,2730,210,260,15,0.7,1
"z_total_custom_starter",-7.12781734858129,1496.84164320207,2730,210,260,15,0.7,1
