"player_name","position","team","adp","pa","ab","h","2b","3b","bb","hbp","hr","sb","cs","r","rbi","avg","obp","ottoneu_fg_pts","pa_z","hr_z","sb_z","r_z","rbi_z","avg_z","obp_z","z_total_raw","z_total_weights","dollars_raw","dollars_weights","dollars_adp"
"Graham Pauley","3B","MIA",582.71,304.8,273.2,62.4,13.5,1,25.8,3,8.5,4.1,1.1,31.9,32.8,0.229,0.29,292.1,-2.623,-0.935,-0.482,-2.071,-1.139,-1.544,-1.182,-6.17,-5.213,1,1,-4.6
"Danny Jansen","C","TEX",424.06,332.9,289.7,62.1,12.6,0.3,35.2,4.8,11.8,0.9,0.2,36.9,37.8,0.214,0.292,328.9,-2.078,-0.23,-1.127,-1.531,-0.78,-2.398,-1.054,-6.066,-5.222,1,1,-1.49
"Connor Wong","C","BOS",582.1,220.7,200.6,47.8,9.8,0.5,14.9,2.4,5.1,3.5,1.2,23.6,22.3,0.238,0.284,201.6,-3.224,-1.383,-0.345,-1.896,-1.539,-0.958,-1.423,-6.121,-5.231,1,1,-4.59
"Jake Cronenworth","2B","SDP",413.45,575.9,498.2,116.9,24.2,2.2,60.6,10.5,14.1,4.5,1.6,66.2,59.3,0.235,0.308,589.1,0.473,-1.249,-0.818,-1.173,-1.424,-1.172,-0.336,-5.835,-5.234,1,1,-1.24
"Henry Davis","C","PIT",549.9,281.6,250.3,55.7,11.3,0.8,22.7,5.8,8.1,4.3,1.5,30.4,29.7,0.223,0.278,264.6,-2.682,-0.846,-0.394,-1.775,-1.269,-1.904,-1.69,-6.188,-5.266,1,1,-4.04
"Carlos Narv<U+00E1>ez","C","BOS",295.52,410.2,363.7,82.8,16.8,0.3,38.2,4.2,12,2.9,1.1,43.9,45.3,0.228,0.295,392.1,-1.423,-0.821,-0.858,-1.878,-0.966,-1.606,-0.941,-6.128,-5.277,1,1,2.05
"Josh Smith","1B, 3B, SS","TEX",319.84,502.7,439.2,105.6,21.1,1.7,47.2,10.3,9.7,9.4,2.8,57.7,46.8,0.24,0.304,496.1,-0.448,-1.735,-0.191,-1.189,-2.007,-0.832,-0.533,-5.954,-5.283,1,1,1.28
"Ryan McMahon","3B","NYY",415.42,474.9,415.6,89.2,17.2,0.9,52.6,2.8,16.1,3.3,1.5,52.4,51.8,0.215,0.299,459.2,-0.76,-0.377,-0.865,-1.581,-1.048,-2.373,-0.768,-6.244,-5.324,1,1,-1.29
"Javier B<U+00E1>ez","3B, SS, OF","DET",441.48,353.9,330.1,76.7,14.6,1.2,14.6,4.6,9.1,5.3,1.3,36.4,37.3,0.233,0.258,298.3,-1.744,-1.143,-0.397,-2.24,-1.273,-1.305,-2.607,-6.358,-5.352,1,1,-1.88
"Luis Campusano","UT","SDP",594.19,261.2,234,55.4,9.9,0.2,22.8,1.9,7.1,0.4,0.1,27.8,28.4,0.237,0.299,247.2,-3.189,-0.985,-1.191,-1.93,-1.084,-1.061,-0.747,-6.25,-5.39,1,1,-4.79
"Sung-Mun Song","3B","SDP",574.61,261.9,239,56.5,10.6,0.7,19.4,1,5.7,5.2,1,27.5,26.3,0.237,0.29,234,-2.698,-1.516,-0.121,-2.044,-1.569,-1.064,-1.163,-6.313,-5.399,1,1,-4.47
"Blaze Alexander","3B","BAL",527.16,324.9,288.3,64.3,11.9,1.4,26.8,6.6,8.1,6.5,2.3,37.1,31.5,0.223,0.28,297,-2.638,-1.198,-0.112,-1.238,-1.779,-1.874,-1.603,-6.202,-5.415,1,1,-3.62
"Joey Bart","C","PIT",493.97,314,276.3,65.4,11.9,0.3,29.1,5.8,8.1,1.2,0.6,34.3,33,0.237,0.301,307.8,-2.458,-1.138,-1.048,-1.684,-1.294,-1.045,-0.662,-6.208,-5.415,1,1,-2.98
"Edgar Quero","C","CHW",330.71,426.8,378.6,95.6,17.6,0.4,37.9,5.8,9.2,1.2,0.7,44.9,43.1,0.253,0.313,427.6,-1.079,-1.527,-1.117,-2.038,-1.533,-0.095,-0.13,-6.31,-5.416,1,1,0.95
"Thomas Saggese","2B, SS","STL",538.97,247.2,227.6,55.7,11.4,1.1,14.7,2.6,5.3,2.8,1.1,25.5,25.3,0.245,0.285,227.9,-3.126,-1.515,-0.616,-2.202,-1.465,-0.57,-1.404,-6.368,-5.432,1,1,-3.84
"Dominic Smith","1B","ATL",597.23,233.5,209.9,50.3,9.5,0.2,18.1,2.9,5.6,1.5,0.6,24.5,24.9,0.24,0.293,217.5,-3.177,-1.288,-0.892,-2.06,-1.201,-0.865,-1.026,-6.306,-5.453,1,1,-4.84
"Griffin Conine","OF","MIA",561.65,353.5,316.1,69.3,13.3,0.9,31.9,3.1,11.5,1.1,0.6,37.6,40,0.219,0.286,329.6,-1.986,-0.509,-1.092,-1.928,-0.802,-2.101,-1.324,-6.432,-5.518,1,1,-4.24
"Travis d'Arnaud","C","LAA",600.97,221,200.7,44.4,9.2,0.2,14.5,2.9,7.5,0.8,0.2,22.1,25.2,0.221,0.267,199.4,-3.284,-0.397,-1.075,-2.496,-0.761,-1.977,-2.223,-6.705,-5.542,1,1,-4.91
"Cole Young","2B","SEA",531.16,369.4,325.1,77.1,15.7,1.6,35.3,4.9,7.3,5.7,2.1,41.5,35.9,0.237,0.304,355,-1.797,-1.693,-0.381,-1.4,-1.769,-1.021,-0.509,-6.265,-5.589,1,1,-3.7
"Luis Torrens","C","NYM",594.32,223.6,204.1,48.1,9.1,0.5,15.2,2,5.7,1.1,0.3,23.2,24.1,0.236,0.283,200.7,-3.251,-1.17,-0.976,-2.163,-1.12,-1.124,-1.479,-6.553,-5.649,1,1,-4.8
"Ke'Bryan Hayes","3B","CIN",509.97,505.4,462.1,112.4,19.9,1.9,34.2,3.7,9.2,10.3,3.2,52.6,47.5,0.243,0.29,446.6,-0.443,-1.832,-0.084,-2.132,-1.961,-0.658,-1.153,-6.667,-5.671,1,1,-3.3
"Miguel Amaya","C","CHC",438.29,293.1,262.9,61.1,11.9,0.7,21,5.4,7.7,1,0.2,31,31.4,0.232,0.28,271.1,-2.536,-1.071,-1.069,-2.001,-1.173,-1.306,-1.614,-6.621,-5.726,1,1,-1.81
"Brayan Rocchio","2B, SS","CLE",500.32,468.3,419.7,98.9,21.5,1.7,35.9,6.8,8.3,12,4.5,50.3,43.5,0.236,0.288,422.8,-0.771,-1.865,0.214,-1.836,-2.028,-1.119,-1.258,-6.635,-5.742,1,1,-3.11
"Chase Meidroth","2B, SS","CHW",350.52,531.3,461.2,116.3,19.7,1.1,56.6,7.9,6.8,11.6,3.7,60.3,41.9,0.252,0.325,522.6,-0.101,-2.321,-0.004,-1.301,-2.863,-0.126,0.439,-6.614,-5.761,1,1,0.38
"Angel Mart<U+00ED>nez","2B, OF","CLE",578.9,258.5,235.7,55.1,11.8,1,16.6,2.7,5.5,4.2,1.6,27.5,25.4,0.234,0.277,226.4,-2.936,-1.542,-0.322,-1.917,-1.699,-1.231,-1.734,-6.711,-5.805,1,1,-4.54
"Kyle Isbel","OF","KCR",596.84,443.8,402.8,95.7,18.4,4.2,29.1,4.2,7.3,9.4,2.9,50.6,39.2,0.238,0.281,388.6,-0.951,-1.979,-0.046,-1.257,-2.296,-0.998,-1.558,-6.575,-5.847,1,1,-4.84
"Gavin Lux","OF","TBR",497,446.9,395.6,99.2,20.8,2.2,44.6,2.1,6.8,3.3,1,50.7,41.9,0.251,0.322,439.9,-1.04,-2.11,-0.841,-1.308,-1.973,-0.207,0.281,-6.439,-5.865,1,1,-3.04
"Harry Ford","C","WSN",365.06,288.3,249.2,57.1,11.4,0.4,31.1,4.5,6.1,5.7,1.7,31.1,27.7,0.229,0.306,276.6,-2.888,-1.539,-0.122,-1.807,-1.831,-1.497,-0.442,-6.796,-5.879,1,1,-0.02
"Mauricio Dub<U+00F3>n","2B, 3B, SS, OF","ATL",418.9,407.9,378.7,96.6,18.4,1.6,21.6,2.4,6.1,3.7,1.1,42.7,39.3,0.255,0.29,357.9,-1.425,-2.135,-0.75,-2.083,-1.819,0.055,-1.165,-6.731,-5.918,1,1,-1.37
"Jacob Young","OF","WSN",584.9,312.3,281,68.6,11.5,1.5,20.9,4.4,2.3,16.5,4,32.5,21.8,0.244,0.287,261.9,-2.334,-2.837,1.757,-2.131,-3.398,-0.618,-1.317,-7.227,-6.008,1,1,-4.64
"Carlos Santana","1B","ARI",578.87,339.3,300.4,66.5,13.1,0.2,33.8,1.9,9.1,3.2,0.6,35.2,36.3,0.221,0.296,308.6,-2.066,-1.026,-0.72,-2.162,-1.175,-1.978,-0.909,-7.06,-6.085,1,1,-4.54
"Joe Mack","C","MIA",471.13,241.7,218.9,48,9.7,0.4,18.1,2.6,7.2,2,0.7,24.1,26.3,0.219,0.274,211.4,-3.028,-0.778,-0.801,-2.507,-1.079,-2.099,-1.901,-7.264,-6.101,1,1,-2.52
"Keibert Ruiz","C","WSN",393.55,335.3,310.8,75.9,15,0.1,17.4,3.5,7.4,1.7,0.8,31.1,36.1,0.244,0.278,292.4,-2.144,-1.46,-0.972,-3.144,-1.137,-0.596,-1.688,-7.309,-6.107,1,1,-0.76
"Robert Hassell III","OF","WSN",586.55,263.9,240.6,57.5,10.3,0.4,18.9,1.4,4.8,6.1,1.7,25.9,24.4,0.239,0.29,227.3,-2.9,-1.813,0.063,-2.665,-2.059,-0.907,-1.174,-7.382,-6.127,1,1,-4.67
"Colt Emerson","SS","SEA",442.9,288.6,257.1,59.8,12.4,0.8,24.1,4.4,5.6,4.8,1,30.8,28,0.232,0.291,263,-2.472,-1.704,-0.316,-1.908,-1.773,-1.309,-1.131,-7.01,-6.134,1,1,-1.91
"Blake Perkins",,"MIL",600.97,212.2,187.5,41.2,7.6,1.3,20.8,1.3,4,7.2,1.9,23,19,0.22,0.292,184.5,-3.366,-1.78,0.7,-1.763,-2.224,-2.081,-1.058,-7.147,-6.176,1,1,-4.91
"Taylor Walls","SS","TBR",590.68,324.4,286.9,61.6,12.9,1.5,32,1.2,5.6,14.8,4.1,34.8,27.8,0.215,0.289,272.7,-2.448,-1.922,1.354,-1.851,-2.445,-2.379,-1.229,-7.242,-6.197,1,1,-4.74
"J.P. Crawford","SS","SEA",400.81,598,517,124.3,24.2,0.9,68.1,5.2,10.7,5.1,1.6,65.8,55.7,0.24,0.322,579.8,0.502,-1.862,-0.777,-1.605,-2.011,-0.827,0.276,-7.08,-6.286,1,1,-0.94
"Jose Trevino","C","CIN",593.74,253.4,233,55.3,10.2,0.1,15.1,1.8,6.1,0.8,0.2,24.4,26,0.237,0.278,215.8,-2.907,-1.288,-1.09,-2.845,-1.437,-1.013,-1.712,-7.674,-6.411,1,1,-4.79
"Freddy Fermin","C","SDP",387.97,434.6,396.4,94,15.4,0.9,29.1,3,9.6,2.8,1,43.8,41.8,0.237,0.283,369.8,-1.002,-1.459,-0.895,-2.427,-1.827,-1.027,-1.463,-7.634,-6.443,1,1,-0.62
"Ben Williamson","3B","TBR",598.94,235,214.6,53.7,10.8,1,15.4,2.5,2.6,4.2,1.2,24.4,20.7,0.25,0.294,206.4,-3.158,-2.469,-0.226,-2.164,-2.318,-0.229,-0.972,-7.407,-6.478,1,1,-4.87
"Pedro Pag<U+00E9>s","C","STL",481.9,332.5,303.4,68.1,12.5,0.7,22.2,2.9,8.6,0.9,0.2,32.2,34.4,0.224,0.272,275.8,-2.142,-1.111,-1.124,-2.781,-1.388,-1.796,-1.993,-8.2,-6.922,1,1,-2.74
"Travis Bazzana","2B","CLE",442.58,214.1,186.6,39.8,8.2,0.9,23.1,2.5,4.6,3.5,0.8,23.3,19.7,0.213,0.294,189.4,-3.277,-1.529,-0.33,-1.701,-2.072,-2.466,-0.998,-8.098,-7.124,1,1,-1.91
"Nick Fortes","C","TBR",563.39,308.2,280.1,63.1,11.8,0.8,18,5.4,6.6,2.2,0.9,29.7,29.3,0.225,0.263,246,-2.431,-1.523,-0.857,-2.816,-1.888,-1.739,-2.38,-8.822,-7.474,1,1,-4.27
"Bryce Teodosio",,"LAA",600.97,216.7,199,41.9,8,1.6,11.7,3.2,3.1,9.3,2.1,22.2,16.6,0.21,0.247,152.8,-3.185,-2.183,1.186,-2.281,-2.99,-2.633,-3.102,-8.902,-7.558,1,1,-4.91
"Liam Hicks","1B, C","MIA",491.39,309.4,267.3,64.4,12.2,0.6,31.9,6.3,4.1,1.4,0.3,31,27.2,0.241,0.311,286.6,-2.521,-2.296,-1.014,-2.492,-2.317,-0.808,-0.198,-8.927,-7.807,1,1,-2.93
"Patrick Bailey","C","SFG",403.52,473.3,427.6,94.4,19.1,1.2,36.4,3.1,9.5,2.1,0.8,46.6,44.8,0.221,0.276,373.3,-0.659,-1.646,-1.018,-2.639,-1.917,-2.007,-1.78,-9.228,-7.982,1,1,-1
"Adam Frazier","2B, OF","LAA",598.77,230.9,209.4,47.5,8.6,1,15.3,3,2.8,3.9,1.6,21.9,18.5,0.227,0.272,171.1,-3.307,-2.39,-0.283,-2.952,-2.792,-1.655,-1.984,-10.073,-8.611,1,1,-4.87
"Hunter Feduccia","C","TBR",599.03,256.1,225.4,48.3,9.9,0.9,27,1.2,4.6,1,0.2,25.8,23.7,0.214,0.294,207.9,-2.923,-1.863,-1.055,-2.445,-2.045,-2.393,-0.972,-9.801,-8.657,1,1,-4.87
