"projection_system","projection_type","season","playerid","name","team","ab","pa","h","x2b","x3b","bb","hbp","r","hr","rbi","sb","cs","avg","ab_per_pa","bb_per_pa","x2b_per_pa","x3b_per_pa","hbp_per_pa","cs_per_pa","r_per_pa","hr_per_pa","rbi_per_pa","sb_per_pa","h_per_pa","obp"
"oopsy","oopsy",2026,10155,"Mike Trout","LAA",476,560,116,19,2,73,7,77,28,77,4,1,0.244107,0.85,0.130357142857143,0.0339285714285714,0.00357142857142857,0.0125,0.00178571428571429,0.1375,0.05,0.1375,0.00714285714285714,0.207142857142857,0.3375
"oopsy","oopsy",2026,10200,"Tucker Barnhart",,1,1,0,0,0,0,0,0,0,0,0,0,0.206058,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,10231,"Jose Iglesias",,154,168,37,7,0,9,2,16,2,14,2,1,0.238678,0.916666666666667,0.0535714285714286,0.0416666666666667,0,0.0119047619047619,0.00595238095238095,0.0952380952380952,0.0119047619047619,0.0833333333333333,0.0119047619047619,0.220238095238095,0.273809523809524
"oopsy","oopsy",2026,10243,"Randal Grichuk","NYY",115,126,27,6,0,8,1,14,5,16,0,0,0.236939,0.912698412698413,0.0634920634920635,0.0476190476190476,0,0.00793650793650794,0,0.111111111111111,0.0396825396825397,0.126984126984127,0,0.214285714285714,0.277777777777778
"oopsy","oopsy",2026,10323,"Rafael Ortega",,1,1,0,0,0,0,0,0,0,0,0,0,0.211397,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,10324,"Marcell Ozuna","PIT",459,525,112,21,0,59,3,60,20,65,1,0,0.24379,0.874285714285714,0.112380952380952,0.04,0,0.00571428571428571,0,0.114285714285714,0.0380952380952381,0.123809523809524,0.0019047619047619,0.213333333333333,0.325714285714286
"oopsy","oopsy",2026,10441,"Jon Singleton",,1,1,0,0,0,0,0,0,0,0,0,0,0.209271,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,10472,"Enrique Hernández","LAD",165,182,36,8,0,14,1,18,5,20,1,0,0.220042,0.906593406593407,0.0769230769230769,0.043956043956044,0,0.00549450549450549,0,0.0989010989010989,0.0274725274725275,0.10989010989011,0.00549450549450549,0.197802197802198,0.274725274725275
"oopsy","oopsy",2026,10642,"Carlos Pérez","HOU",1,1,0,0,0,0,0,0,0,0,0,0,0.219146,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,10655,"Rob Brantly",,1,1,0,0,0,0,0,0,0,0,0,0,0.229517,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,10681,"Gio Urshela","MIN",39,42,10,2,0,3,0,4,1,4,0,0,0.251162,0.928571428571429,0.0714285714285714,0.0476190476190476,0,0,0,0.0952380952380952,0.0238095238095238,0.0952380952380952,0,0.238095238095238,0.30952380952381
"oopsy","oopsy",2026,11339,"Jake Marisnick",,1,1,0,0,0,0,0,0,0,0,0,0,0.215465,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,11368,"Yasmani Grandal",,1,1,0,0,0,0,0,0,0,0,0,0,0.225827,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,11379,"Delino DeShields",,1,1,0,0,0,0,0,0,0,0,0,0,0.210275,1,0,0,0,0,0,0,0,0,0,0,0
