"nfbc_rank","nfbc_player_id","player_name","team","positions","adp","adp_min_pick","adp_max_pick","adp_diff","adp_picks","name_key","team_key"
78,11415,"Vinnie Pasquantino","KC","1B",77.88,70,89,,24,"vinniepasquantino","kcr"
81,10671,"Randy Arozarena","SEA","OF",85.08,64,101,,24,"randyarozarena","sea"
82,12203,"Drake Baldwin","ATL","C",85.25,70,114,,24,"drakebaldwin","atl"
84,11985,"Agustin Ramirez","MIA","C",85.96,70,104,,24,"agustinramirez","mia"
85,11071,"Tyler Soderstrom","ATH","OF, 1B",86,69,111,,24,"tylersoderstrom","ath"
88,11305,"Seiya Suzuki","CHC","OF",89.79,77,106,,24,"seiyasuzuki","chc"
92,8134,"Salvador Perez","KC","C, 1B",92.42,69,130,,24,"salvadorperez","kcr"
93,11309,"Jeremy Pena","HOU","SS",92.42,78,110,,24,"jeremypena","hou"
95,9820,"Bo Bichette","NYM","SS",94.33,74,108,,24,"bobichette","nym"
96,8433,"George Springer","TOR","OF",95.33,80,111,,24,"georgespringer","tor"
97,8668,"Corey Seager","TEX","SS",97,77,120,,24,"coreyseager","tex"
98,10363,"Will Smith","LAD","C",97.67,50,119,,24,"willsmith","lad"
99,8805,"Eugenio Suarez","CIN","3B",98.38,40,118,,24,"eugeniosuarez","cin"
101,10305,"Oneil Cruz","PIT","OF",100.42,79,128,,24,"oneilcruz","pit"
102,11065,"Michael Harris II","ATL","OF",101.67,86,118,,24,"michaelharrisii","atl"
103,10302,"Nico Hoerner","CHC","2B",102.04,86,116,,24,"nicohoerner","chc"
106,11048,"Michael Busch","CHC","1B",106.21,85,131,,24,"michaelbusch","chc"
107,9415,"Alex Bregman","CHC","3B",111.13,71,128,,24,"alexbregman","chc"
108,8658,"Trevor Story","BOS","SS",111.17,91,144,,24,"trevorstory","bos"
109,8116,"Jose Altuve","HOU","OF, 2B",111.88,99,127,,24,"josealtuve","hou"
112,9958,"Luis Robert Jr.","NYM","OF",114.04,97,129,,24,"luisrobertjr","nym"
114,11559,"Yainer Diaz","HOU","C",115.58,102,139,,24,"yainerdiaz","hou"
120,8971,"Willy Adames","SF","SS",123,102,147,,24,"willyadames","sfg"
121,11414,"Kyle Stowers","MIA","OF",123.13,99,148,,24,"kylestowers","mia"
123,7903,"Christian Yelich","MLW","UT",124.75,102,159,,24,"christianyelich","mil"
124,10241,"Jo Adell","LAA","OF",125.46,105,164,,24,"joadell","laa"
127,12228,"Luke Keaschall","MIN","2B",129.21,105,155,,24,"lukekeaschall","min"
131,9428,"Teoscar Hernandez","LAD","OF",131.83,111,159,,24,"teoscarhernandez","lad"
133,11682,"Andy Pages","LAD","OF",133.21,110,152,,24,"andypages","lad"
134,11628,"Ceddanne Rafaela","BOS","2B, OF",133.29,80,160,,24,"ceddannerafaela","bos"
136,9639,"Yandy Diaz","TB","1B",135.58,117,166,,24,"yandydiaz","tbr"
139,10419,"Noelvi Marte","CIN","OF, 3B",140.29,112,177,,24,"noelvimarte","cin"
140,8955,"Brandon Nimmo","TEX","OF",141.58,111,168,,24,"brandonnimmo","tex"
142,9432,"Dansby Swanson","CHC","SS",144.38,125,182,,24,"dansbyswanson","chc"
143,11939,"Jakob Marsee","MIA","OF",144.88,110,166,,24,"jakobmarsee","mia"
145,10704,"Adley Rutschman","BAL","C",146.58,119,175,,24,"adleyrutschman","bal"
146,11649,"Lawrence Butler","ATH","OF",148.58,115,179,,24,"lawrencebutler","ath"
150,10076,"Taylor Ward","BAL","OF",151.5,129,177,,24,"taylorward","bal"
151,10220,"Ivan Herrera","STL","UT",151.83,126,191,,24,"ivanherrera","stl"
153,9721,"Ozzie Albies","ATL","2B",154.83,121,178,,24,"ozziealbies","atl"
154,9683,"Matt Chapman","SF","3B",156.04,133,176,,24,"mattchapman","sfg"
155,10851,"Alejandro Kirk","TOR","C",157.88,122,197,,24,"alejandrokirk","tor"
158,11653,"Brenton Doyle","COL","OF",161.17,132,191,,24,"brentondoyle","col"
159,11315,"Steven Kwan","CLE","OF",162.54,141,207,,24,"stevenkwan","cle"
162,10068,"Brandon Lowe","PIT","2B",168.54,139,205,,24,"brandonlowe","pit"
163,10365,"Xavier Edwards","MIA","2B, SS",168.88,118,210,,24,"xavieredwards","mia"
165,12212,"Chandler Simpson","TB","OF",169.79,139,240,,24,"chandlersimpson","tbr"
167,12039,"Samuel Basallo","BAL","C",170.96,98,199,,24,"samuelbasallo","bal"
168,9263,"Willson Contreras","BOS","1B",171,134,197,,24,"willsoncontreras","bos"
169,11922,"Dylan Crews","WAS","OF",174.08,152,227,,24,"dylancrews","wsn"
170,11118,"Francisco Alvarez","NYM","C",174.13,157,207,,24,"franciscoalvarez","nym"
172,11421,"Alec Burleson","STL","1B, OF",176.08,157,199,,24,"alecburleson","stl"
173,11117,"Gabriel Moreno","ARZ","C",176.13,155,197,,24,"gabrielmoreno","arz"
175,11751,"Jackson Holliday","BAL","2B",176.42,123,235,,24,"jacksonholliday","bal"
177,10831,"Spencer Torkelson","DET","1B",179.04,129,203,,24,"spencertorkelson","det"
178,7689,"Mike Trout","LAA","OF",180.08,144,210,,24,"miketrout","laa"
179,12127,"Jacob Wilson","ATH","SS",180.63,147,228,,24,"jacobwilson","ath"
180,9655,"Ian Happ","CHC","OF",181.46,157,206,,24,"ianhapp","chc"
181,11086,"Bryson Stott","PHI","2B",182.17,148,231,,24,"brysonstott","phi"
183,10319,"Royce Lewis","MIN","3B",184.08,159,253,,24,"roycelewis","min"
185,11901,"Kyle Teel","CWS","C",184.92,161,209,,24,"kyleteel","chw"
186,12469,"Konnor Griffin","PIT","SS",185.08,145,214,,24,"konnorgriffin","pit"
189,12453,"Sal Stewart","CIN","1B",189.79,161,214,,24,"salstewart","cin"
190,11394,"Jonathan Aranda","TB","1B",190.21,140,212,,24,"jonathanaranda","tbr"
191,11610,"Jordan Westburg","BAL","3B",190.21,123,383,,24,"jordanwestburg","bal"
192,12456,"Carter Jensen","KC","C",191.88,104,239,,24,"carterjensen","kcr"
193,11596,"Addison Barger","TOR","3B, OF",191.96,155,218,,24,"addisonbarger","tor"
195,8800,"J.T. Realmuto","PHI","C",195.08,153,240,,24,"jtrealmuto","phi"
197,8228,"Jurickson Profar","ATL","OF",199.54,173,226,,24,"juricksonprofar","atl"
198,12351,"Munetaka Murakami","CWS","3B",201,167,237,,24,"munetakamurakami","chw"
200,11613,"Matt McLain","CIN","2B",201.04,137,258,,24,"mattmclain","cin"
201,11786,"Jose Caballero","NYY","OF, 2B, 3B, SS",204.13,134,249,,24,"josecaballero","nyy"
203,10153,"Bryan Reynolds","PIT","OF",204.71,171,227,,24,"bryanreynolds","pit"
204,8924,"Christian Walker","HOU","1B",206.13,163,242,,24,"christianwalker","hou"
205,10180,"Daulton Varsho","TOR","OF",206.25,187,229,,24,"daultonvarsho","tor"
206,10218,"Isaac Paredes","HOU","3B",207.42,161,242,,24,"isaacparedes","hou"
208,8832,"Jorge Polanco","NYM","2B",208.08,155,233,,24,"jorgepolanco","nym"
209,12364,"Daylen Lile","WAS","OF",208.13,160,243,,24,"daylenlile","wsn"
210,11581,"Sal Frelick","MLW","OF",208.38,176,250,,24,"salfrelick","mil"
211,12490,"Kazuma Okamoto","TOR","3B",210.96,167,243,,24,"kazumaokamoto","tor"
213,12211,"Jac Caglianone","KC","OF",213.79,142,250,,24,"jaccaglianone","kcr"
214,10213,"Heliot Ramos","SF","OF",215.25,198,234,,24,"heliotramos","sfg"
215,11346,"Ezequiel Tovar","COL","SS",216.21,177,256,,24,"ezequieltovar","col"
216,10422,"Otto Lopez","MIA","SS, 2B",217.83,185,260,,24,"ottolopez","mia"
217,9919,"Ramon Laureano","SD","OF",218.88,196,256,,24,"ramonlaureano","sdp"
221,11892,"Colson Montgomery","CWS","SS",222.25,177,263,,24,"colsonmontgomery","chw"
223,11709,"Wilyer Abreu","BOS","OF",222.71,184,250,,24,"wilyerabreu","bos"
226,9964,"Adolis Garcia","PHI","OF",229.88,176,264,,24,"adolisgarcia","phi"
227,11530,"Kerry Carpenter","DET","OF",231.83,212,259,,24,"kerrycarpenter","det"
228,11599,"Austin Wells","NYY","C",232.29,195,282,,24,"austinwells","nyy"
229,12084,"Jordan Beck","COL","OF",233.38,174,264,,24,"jordanbeck","col"
230,11600,"Kyle Manzardo","CLE","1B",233.42,188,266,,24,"kylemanzardo","cle"
232,12204,"Caleb Durbin","BOS","3B",234.04,160,271,,24,"calebdurbin","bos"
234,8691,"Max Muncy","LAD","3B",235.08,202,269,,24,"maxmuncy","lad"
235,12302,"JJ Wetherholt","STL","SS",235.42,208,269,,24,"jjwetherholt","stl"
237,10920,"Dillon Dingler","DET","C",236.67,198,284,,24,"dillondingler","det"
238,8417,"Xander Bogaerts","SD","SS",238.38,216,281,,24,"xanderbogaerts","sdp"
239,9778,"Gleyber Torres","DET","2B",238.58,129,281,,24,"gleybertorres","det"
241,10125,"Alec Bohm","PHI","3B",239.79,182,305,,24,"alecbohm","phi"
245,10279,"Luis Garcia Jr.","WAS","2B",246,217,291,,24,"luisgarciajr","wsn"
246,7789,"Giancarlo Stanton","NYY","OF",246.5,209,290,,24,"giancarlostanton","nyy"
247,8602,"Marcus Semien","NYM","2B",247.42,192,285,,24,"marcussemien","nym"
248,10358,"Tyler Stephenson","CIN","C",248.38,191,285,,24,"tylerstephenson","cin"
249,11075,"Logan O'Hoppe","LAA","C",248.58,203,288,,24,"loganohoppe","laa"
250,10658,"Trent Grisham","NYY","OF",251.46,194,273,,24,"trentgrisham","nyy"
252,9784,"Mickey Moniak","COL","OF",252.75,234,294,,24,"mickeymoniak","col"
254,10481,"Luis Arraez","SF","1B",254.83,155,317,,24,"luisarraez","sfg"
255,10344,"TJ Friedl","CIN","OF",256.71,219,283,,24,"tjfriedl","cin"
256,11609,"Colton Cowser","BAL","OF",257.67,215,299,,24,"coltoncowser","bal"
257,8656,"Carlos Correa","HOU","3B, SS",257.83,208,286,,24,"carloscorrea","hou"
259,10224,"Jake Burger","TEX","1B",258.88,213,296,,24,"jakeburger","tex"
260,10946,"Ryan Jeffers","MIN","C",262.71,211,305,,24,"ryanjeffers","min"
261,12303,"Justin Crawford","PHI","OF",262.92,215,317,,24,"justincrawford","phi"
265,11357,"Brendan Donovan","SEA","2B",267.46,200,315,,24,"brendandonovan","sea"
269,9824,"Ryan O'Hearn","PIT","1B, OF",272.54,233,298,,24,"ryanohearn","pit"
271,10254,"Josh Lowe","LAA","OF",272.75,239,313,,24,"joshlowe","laa"
272,9856,"Willi Castro","COL","2B, 3B, OF",273.21,220,315,,24,"willicastro","col"
273,11753,"Evan Carter","TEX","OF",274.5,211,304,,24,"evancarter","tex"
274,12470,"Kevin McGonigle","DET","SS",277.25,224,309,,24,"kevinmcgonigle","det"
275,10899,"Masyn Winn","STL","SS",277.63,245,320,,24,"masynwinn","stl"
276,11123,"Brett Baty","NYM","2B, 3B",277.67,238,382,,24,"brettbaty","nym"
277,11556,"Spencer Steer","CIN","1B",278.71,237,321,,24,"spencersteer","cin"
279,11749,"Jasson Dominguez","NYY","OF",279.75,229,436,,24,"jassondominguez","nyy"
281,11921,"Matt Shaw","CHC","3B",281.88,216,369,,24,"mattshaw","chc"
285,10788,"Andrew Vaughn","MLW","1B",287.21,236,323,,24,"andrewvaughn","mil"
286,10925,"Ernie Clement","TOR","2B, 3B, SS",287.5,235,316,,24,"ernieclement","tor"
287,10417,"Miguel Vargas","CWS","1B, 3B",288.21,240,318,,24,"miguelvargas","chw"
288,12012,"Carlos Narvaez","BOS","C",290.46,241,345,,24,"carlosnarvaez","bos"
290,11903,"Jung Hoo Lee","SF","OF",295.08,243,367,,24,"junghoolee","sfg"
291,11919,"Chase DeLauter","CLE","OF",296.04,252,349,,24,"chasedelauter","cle"
293,11501,"Lenyn Sosa","CWS","1B, 2B",298.08,243,386,,24,"lenynsosa","chw"
296,11825,"Colt Keith","DET","2B, 3B",303.46,269,370,,24,"coltkeith","det"
298,10072,"Cedric Mullins","TB","OF",308.79,280,354,,24,"cedricmullins","tbr"
301,12226,"Dylan Beavers","BAL","OF",312,272,413,,24,"dylanbeavers","bal"
303,11740,"Brooks Lee","MIN","2B, 3B, SS",315.75,282,347,,24,"brookslee","min"
305,10282,"Mark Vientos","NYM","3B",317.21,265,386,,24,"markvientos","nym"
306,9452,"Carson Kelly","CHC","C",318.13,257,376,,24,"carsonkelly","chc"
307,11947,"Victor Scott II","STL","OF",318.38,281,352,,24,"victorscottii","stl"
311,9993,"Zach McKinstry","DET","3B, SS, OF",320.29,277,359,,24,"zachmckinstry","det"
314,11576,"Matt Wallner","MIN","OF",323.08,283,365,,24,"mattwallner","min"
315,9710,"Harrison Bader","SF","OF",324.33,286,377,,24,"harrisonbader","sfg"
318,10133,"Andres Gimenez","TOR","2B",328.71,227,428,,24,"andresgimenez","tor"
320,11441,"Josh Smith","TEX","1B, 3B, SS",329.25,289,358,,24,"joshsmith","tex"
321,12191,"Edgar Quero","CWS","C",329.38,286,362,,24,"edgarquero","chw"
