"nfbc_rank","nfbc_player_id","player_name","team","positions","adp","adp_min_pick","adp_max_pick","adp_diff","adp_picks","name_key","team_key"
451,8126,"Paul Goldschmidt","NYY","1B",449.75,360,523,,24,"paulgoldschmidt","nyy"
452,10226,"Jake McCarthy","COL","OF",451.08,350,535,,24,"jakemccarthy","col"
454,12216,"Travis Bazzana","CLE","2B",452.29,375,542,,24,"travisbazzana","cle"
455,12502,"Joshua Baez","STL","OF",452.63,407,509,,24,"joshuabaez","stl"
456,10999,"Jake Meyers","HOU","OF",453.17,366,528,,24,"jakemeyers","hou"
459,12241,"Denzel Clarke","ATH","OF",454.63,386,531,,24,"denzelclarke","ath"
461,12194,"Christian Moore","LAA","2B",455.63,349,543,,24,"christianmoore","laa"
462,10446,"Lane Thomas","KC","OF",455.67,392,512,,24,"lanethomas","kcr"
469,10434,"Wenceel Perez","DET","OF",466.63,412,522,,24,"wenceelperez","det"
470,12482,"Joe Mack","MIA","C",466.79,402,526,,24,"joemack","mia"
471,11923,"Jett Williams","MLW","SS",469.83,354,579,,24,"jettwilliams","mil"
473,12214,"Hyeseong Kim","LAD","2B",470.71,404,542,,24,"hyeseongkim","lad"
477,10379,"Brayan Rocchio","CLE","2B, SS",475.79,380,586,,24,"brayanrocchio","cle"
479,9470,"Kyle Higashioka","TEX","C",478.92,349,587,,24,"kylehigashioka","tex"
480,10245,"Joey Bart","PIT","C",479.58,388,564,,24,"joeybart","pit"
481,11276,"Romy Gonzalez","BOS","1B, 2B",480.67,405,589,,24,"romygonzalez","bos"
485,10203,"Gavin Lux","TB","OF",483.88,336,591,,24,"gavinlux","tbr"
486,12024,"Carson Williams","TB","SS",486.33,396,588,,24,"carsonwilliams","tbr"
488,12046,"Jacob Melton","TB","OF",487.79,388,598,,24,"jacobmelton","tbr"
491,10200,"Gabriel Arias","CLE","2B, SS",489.88,389,553,,24,"gabrielarias","cle"
492,12040,"Walker Jenkins","MIN","OF",490.38,399,558,,24,"walkerjenkins","min"
493,10262,"Ke'Bryan Hayes","CIN","3B",490.83,424,561,,24,"kebryanhayes","cin"
495,9725,"Rhys Hoskins","MLW","1B",494.42,375,575,,23,"rhyshoskins","mil"
496,11926,"Brady House","WAS","3B",495.13,406,546,,24,"bradyhouse","wsn"
498,11943,"Liam Hicks","MIA","1B, C",497.08,326,560,,24,"liamhicks","mia"
499,12301,"Max Muncy","ATH","2B, 3B",498.67,344,591,,24,"maxmuncy","ath"
501,12189,"Charlie Condon","COL","1B",502.08,359,562,,24,"charliecondon","col"
502,12128,"Brooks Baldwin","CWS","OF",505.25,418,590,,24,"brooksbaldwin","chw"
503,9977,"Ryan Mountcastle","BAL","1B",505.29,326,586,,22,"ryanmountcastle","bal"
505,10142,"Blaze Alexander","BAL","3B",507.25,429,575,,24,"blazealexander","bal"
506,11592,"Edouard Julien","COL","1B, 2B",509,422,577,,23,"edouardjulien","col"
