"player_id","player_name","team","tbf","ip","gs","siera","xfip","k_minus_bb_pct","contact_pct","csw_pct","balls","pitches","ball_pct_raw","stuff_plus","pitching_plus","start_ip","relief_ip","start_ip_relief_ip_raw","ip_per_gs","ball_pct","start_share","start_ip_filled","relief_ip_filled","lookback_season"
669373,"Tarik Skubal","DET",748,195.333333333333,31,2.71344699538584,2.66399980772163,7.3030303,0.69587629,0.32081432,846,2849,,116.021885104919,119.267320261438,195.333333333333,,,6.3010752688172,29.6946296946297,1,195.333333333333,0,2025
694973,"Paul Skenes","PIT",733,187.666666666667,32,3.09664733385941,3.02996388323901,5.14285714,0.72151045,0.29295963,1045,2997,,106.850750250083,115.719659886629,187.666666666667,,,5.86458333333333,34.8682015348682,1,187.666666666667,0,2025
650911,"Cristopher Sanchez","PHI",807,202,32,3.02081921202277,2.77090914455971,4.81818182,0.71719298,0.31377287,956,2897,,114.269112959113,116.986437976438,202,,,6.3125,32.9996548153262,1,202,0,2025
676979,"Garrett Crochet","BOS",814,205.333333333333,32,2.85518506041598,2.64371918029572,5.54347826,0.73444239,0.29038401,1037,3151,,116.057816677276,112.139955442393,205.333333333333,,,6.41666666666667,32.9101872421453,1,205.333333333333,0,2025
657277,"Logan Webb","SFG",856,207,34,3.13603703524115,2.78212657280014,4.86956522,0.76805832,0.30408288,1117,3282,,104.654862385321,110.795896024465,207,,,6.08823529411765,34.0341255332115,1,207,0,2025
666200,"Jesus Luzardo","PHI",758,183.666666666667,32,3.40202728525284,3.24886332297371,3.78947368,0.71677105,0.30580431,1060,3015,,101.601362126246,112.911707641196,183.666666666667,,,5.73958333333333,35.1575456053068,1,183.666666666667,0,2025
808967,"Yoshinobu Yamamoto","LAD",684,173.666666666667,30,3.32290161567902,3.04545940848154,3.40677966,0.72867025,0.2997851,1004,2792,,97.8912890484739,110.35387432675,173.666666666667,,,5.78888888888889,35.9598853868195,1,173.666666666667,0,2025
608331,"Max Fried","NYY",801,195.333333333333,32,3.59536718720183,3.40759381514046,3.70588235,0.7580756,0.27909968,1136,3110,,111.277739858339,113.102234385061,195.333333333333,,,6.10416666666667,36.5273311897106,1,195.333333333333,0,2025
686613,"Hunter Brown","HOU",729,185.333333333333,31,3.39147694744567,3.18757781913008,3.61403509,0.74563402,0.28306343,1132,2964,,107.189844173442,103.31539295393,185.333333333333,,,5.97849462365591,38.191632928475,1,185.333333333333,0,2025
592332,"Kevin Gausman","TOR",775,193,32,3.7917679011367,3.76583263203888,3.78,0.75512821,0.28382838,988,3030,,99.7840727272727,102.178862809917,193,,,6.03125,32.6072607260726,1,193,0,2025
554430,"Zack Wheeler","PHI",585,149.666666666667,24,2.73081445209842,2.73152650134757,5.90909091,0.71083333,0.28863826,845,2394,,111.645039765592,119.706923398912,149.666666666667,,,6.23611111111111,35.296574770259,1,149.666666666667,0,2025
624133,"Ranger Suarez","PHI",651,157.333333333333,26,3.7317698888786,3.61269915813057,3.97368421,0.8,0.27179276,836,2432,,95.9450676506765,106.948306683067,157.333333333333,,,6.05128205128205,34.375,1,157.333333333333,0,2025
664285,"Framber Valdez","HOU",802,192,31,3.66497300232288,3.33874150781582,2.75,0.75534267,0.28502415,1035,2898,,108.151521890202,109.188575399583,192,,,6.19354838709677,35.7142857142857,1,192,0,2025
671096,"Andrew Abbott","CIN",684,166.333333333333,29,4.20298973566433,4.30507648866792,3.46511628,0.77986476,0.27157266,904,2677,,96.9182602174728,98.970146231721,166.333333333333,,,5.73563218390805,33.7691445648114,1,166.333333333333,0,2025
543135,"Nathan Eovaldi","TEX",496,130,22,3.17236941768304,3.03006623158088,6.14285714,0.74665294,0.290625,634,1920,,97.2603133159269,104.403279373368,130,,,5.90909090909091,33.0208333333333,1,130,0,2025
601713,"Nick Pivetta","SDP",721,181.666666666667,31,3.69415268657417,3.84508952011713,3.8,0.77933579,0.28576438,976,2852,,97.9044099913867,103.719391329314,181.666666666667,,,5.86021505376344,34.2215988779804,1,181.666666666667,0,2025
608379,"Michael Wacha","KCR",716,172.666666666667,31,4.60635925090879,4.56283850911312,2.8,0.80509745,0.24906227,920,2666,,97.6325819826611,99.2525669053902,172.666666666667,,,5.56989247311828,34.5086271567892,1,172.666666666667,0,2025
642547,"Freddy Peralta","MIL",723,176.666666666667,33,3.67870730822308,3.85337932926639,3.09090909,0.72341904,0.27646488,1187,3089,,102.254980595084,106.821675291074,176.666666666667,,,5.35353535353535,38.4266752994497,1,176.666666666667,0,2025
693433,"Bryan Woo","SEA",731,186.666666666667,30,3.30322181299748,3.33320640526838,5.5,0.76699029,0.26823876,877,2714,,104.768426883309,110.975214180207,186.666666666667,,,6.22222222222222,32.3139277818718,1,186.666666666667,0,2025
519242,"Chris Sale","ATL",510,125.666666666667,20,2.88028564700671,2.98334776952709,5.15625,0.72745694,0.31166913,674,2031,,106.745925002114,105.520455927417,120,5.66666666666667,,6.28333333333333,33.1856228458887,0.954907161803713,120,5.66666666666667,2025
543243,"Sonny Gray","STL",753,180.666666666667,32,3.28814892082847,3.06717082430314,5.28947368,0.74336973,0.30837004,923,2724,,95.8339948358539,101.246344522317,180.666666666667,,,5.64583333333333,33.8839941262849,1,180.666666666667,0,2025
571510,"Matthew Boyd","CHC",718,179.666666666667,31,4.08914394487812,4.22033939207728,3.66666667,0.79086367,0.26319621,903,2747,,94.1029094906559,96.9224038109198,179.666666666667,,,5.79569892473118,32.8722242446305,1,179.666666666667,0,2025
