"player_id","player_name","team","tbf","ip","gs","siera","xfip","k_minus_bb_pct","contact_pct","csw_pct","balls","pitches","ball_pct_raw","stuff_plus","pitching_plus","start_ip","relief_ip","start_ip_relief_ip_raw","ip_per_gs","ball_pct","start_share","start_ip_filled","relief_ip_filled","lookback_season","sp_skillz_weight_profile","sp_skillz_score_initial","sp_skillz_score_initial_stabilized","sp_skillz_reliability_initial","sp_skillz_rank_initial","sp_skillz_rank_initial_stabilized","sp_skillz_score","sp_skillz_score_stabilized","sp_skillz_reliability","sp_skillz_rank","sp_skillz_rank_stabilized","sp_skillz_starter_pool_flag","tbf_z","tbf_sample","tbf_rel","w_tbf","w_eff_tbf","ip_per_gs_z","ip_per_gs_sample","ip_per_gs_rel","w_ip_per_gs","w_eff_ip_per_gs","siera_z","siera_sample","siera_rel","w_siera","w_eff_siera","xfip_z","xfip_sample","xfip_rel","w_xfip","w_eff_xfip","k_minus_bb_pct_z","k_minus_bb_pct_sample","k_minus_bb_pct_rel","w_k_minus_bb_pct","w_eff_k_minus_bb_pct","contact_pct_z","contact_pct_sample","contact_pct_rel","w_contact_pct","w_eff_contact_pct","csw_pct_z","csw_pct_sample","csw_pct_rel","w_csw_pct","w_eff_csw_pct","ball_pct_z","ball_pct_sample","ball_pct_rel","w_ball_pct","w_eff_ball_pct","stuff_plus_z","stuff_plus_sample","stuff_plus_rel","w_stuff_plus","w_eff_stuff_plus","pitching_plus_z","pitching_plus_sample","pitching_plus_rel","w_pitching_plus","w_eff_pitching_plus"
669373,"Tarik Skubal","DET",748,195.333333333333,31,2.71344699538584,2.66399980772163,7.3030303,0.69587629,0.32081432,846,2849,,123,123,195.333333333333,,,6.3010752688172,29.6946296946297,1,195.333333333333,0,2025,"high_ip",26.3680901979473,23.5138201525367,0.890606687549223,1,1,25.266146646855,22.5613065907639,0.890606687549223,1,1,TRUE,1.21575718052988,748,0.998664886515354,0,0,1.18474957520207,31,0.96875,0,0,-2.14806671921061,195.333333333333,0.866863905325444,-1.61,-1.39565088757396,-1.981590699267,195.333333333333,0.866863905325444,-1.34,-1.16159763313609,2.39719714270097,748,0.861751152073733,2,1.72350230414747,-1.76965896815537,748,0.832962138084632,-1.73,-1.44102449888641,2.09096722778616,2849,0.934404722859954,1.19,1.11194162020335,-2.49702136298601,2849,0.949983327775925,-0.58,-0.550990330110037,2.3,2849,0.96609020006782,1.56,1.5071007121058,2.3,2849,0.904731660844713,1.64,1.48375992378533
666142,"Cole Ragans","KCR",257,61.6666666666667,13,2.51825140139923,2.4520953323618,4.9,0.67984934,0.31510658,374,1079,,112,111,61.6666666666667,,,4.74358974358974,34.6617238183503,1,61.6666666666667,0,2025,"low_ip",19.7647454661172,14.5119163842545,0.753886236671321,2,7,19.0849971379385,14.0032408858532,0.753886236671321,2,5,TRUE,-0.884210369038016,257,0.996124031007752,0,0,-1.15015909650038,13,0.928571428571429,0,0,-2.50752110703843,61.6666666666667,0.672727272727273,-0.76,-0.511272727272727,-2.33528169475717,61.6666666666667,0.672727272727273,-0.42,-0.282545454545455,0.866113624310375,257,0.681697612732096,1.23,0.838488063660477,-2.24309140335642,257,0.631449631449631,-2,-1.26289926289926,1.78503126735855,1079,0.843627834245504,1.26,1.06297107114934,-0.355548309276886,1079,0.877949552481692,-0.01,-0.00877949552481692,1.2,1079,0.91518235793045,1.75,1.60156912637829,1.1,1079,0.782451051486584,1.15,0.899818709209572
660271,"Shohei Ohtani","LAD",188,47,14,2.66728776305178,2.44903102504446,6.88888889,0.71542553,0.3001328,258,753,,114,116,47,,,3.35714285714286,34.2629482071713,1,47,0,2025,"low_ip",19.7571949648162,13.4222654279963,0.694007243900974,3,10,17.9523946350475,12.253977666223,0.694007243900974,3,9,TRUE,-1.17931782508727,188,0.994708994708995,0,0,-3.22865472653001,14,0.933333333333333,0,0,-2.23306934791944,47,0.61038961038961,-0.76,-0.463896103896104,-2.34039634796927,47,0.61038961038961,-0.42,-0.256363636363636,2.13332819059743,188,0.61038961038961,1.23,0.750779220779221,-1.19217889243729,188,0.556213017751479,-2,-1.11242603550296,0.982433782972145,753,0.790136411332634,1.26,0.995571878279119,-0.52747322242441,753,0.833887043189369,-0.01,-0.00833887043189369,1.4,753,0.882766705744431,1.75,1.54484173505276,1.6,753,0.715099715099715,1.15,0.822364672364672
686790,"Trevor McDonald","SFG",60,15,2,3.07684535583271,2.69629586140315,7,0.70754717,0.35680751,60,213,,98,108,13,2,,7.5,28.169014084507,0.866666666666667,13,2,2025,"low_ip",18.698689884731,7.03834960489783,0.426835778945426,5,34,17.8707398729536,6.89395210924516,0.426835778945426,4,25,TRUE,-1.7267635406569,60,0.983606557377049,0,0,2.98212085487954,2,0.666666666666667,0,0,-1.47886547073867,13,0.302325581395349,-0.76,-0.229767441860465,-1.92768516774094,13,0.302325581395349,-0.42,-0.126976744186046,2.20412229969838,60,0.333333333333333,1.23,0.41,-1.42490384385915,60,0.285714285714286,-2,-0.571428571428571,4.02020912589351,213,0.515738498789346,1.26,0.649830508474576,-3.15476301998293,213,0.586776859504132,-0.01,-0.00586776859504132,-0.2,213,0.680511182108626,1.75,1.1908945686901,0.8,213,0.415204678362573,1.15,0.477485380116959
813349,"Connelly Early","BOS",79,19.3333333333333,4,2.34459967651429,2.34641080079569,7.25,0.68292683,0.29411765,115,323,,101,111,19.3333333333333,,,4.83333333333333,35.6037151702786,1,19.3333333333333,0,2025,"low_ip",18.3810863251582,7.6654965903311,0.507947523966831,7,31,17.2253463524939,7.05676364076499,0.507947523966831,5,24,TRUE,-1.64550206725204,79,0.9875,0,0,-1.01561974924615,4,0.8,0,0,-2.82730227211966,19.3333333333333,0.391891891891892,-0.76,-0.297837837837838,-2.51168036266664,19.3333333333333,0.391891891891892,-0.42,-0.164594594594595,2.36340904676838,79,0.396984924623116,1.23,0.488291457286432,-2.15218305304604,79,0.344978165938865,-2,-0.689956331877729,0.660020587492655,323,0.617590822179732,1.26,0.778164435946463,0.0505742740154325,323,0.682875264270613,-0.01,-0.00682875264270613,0.1,323,0.763593380614657,1.75,1.33628841607565,1.1,323,0.518459069020867,1.15,0.596227929373997
680694,"Kyle Bradish","BAL",126,32,6,2.63007491506731,2.67426692582667,4.7,0.67567568,0.33198381,178,494,,102,106,32,,,5.33333333333333,36.0323886639676,1,32,0,2025,"low_ip",17.5477114607199,9.80530563208608,0.609267195934064,10,19,17.1657412955778,9.62079002964383,0.609267195934064,6,14,TRUE,-1.44448684356631,126,0.992125984251969,0,0,-0.266043385972579,6,0.857142857142857,0,0,-2.3015971318637,32,0.516129032258065,-0.76,-0.392258064516129,-1.96445379256778,32,0.516129032258065,-0.42,-0.216774193548387,0.738684226654374,126,0.51219512195122,1.23,0.63,-2.36638036460614,126,0.456521739130435,-2,-0.91304347826087,2.68965403738795,494,0.711815561959654,1.26,0.896887608069164,0.235389120021746,494,0.767080745341615,-0.01,-0.00767080745341615,0.2,494,0.831649831649832,1.75,1.45538720538721,0.6,494,0.622166246851385,1.15,0.715491183879093
668881,"Hunter Greene","CIN",420,107.666666666667,19,3.06314697997177,3.26757428106362,5.07692308,0.71075269,0.30549199,549,1748,,120,120,107.666666666667,,,5.66666666666667,31.4073226544622,1,107.666666666667,0,2025,"high_ip",19.0049920934962,15.8375910355631,0.82530223005085,4,3,16.9168414895161,14.1789960868344,0.82530223005085,7,3,TRUE,-0.187072465617311,420,0.997624703087886,0,0,0.233674189543133,19,0.95,0,0,-1.50409114929403,107.666666666667,0.782082324455206,-1.61,-1.25915254237288,-0.974161026220775,107.666666666667,0.782082324455206,-1.34,-1.04799031476998,0.978839631889597,420,0.777777777777778,2,1.55555555555556,-1.33021351664869,420,0.736842105263158,-1.73,-1.27473684210526,1.26968739644508,1748,0.897330595482546,1.19,1.06782340862423,-1.7586246804582,1748,0.920969441517387,-0.58,-0.534162276080084,2,1748,0.945887445887446,1.56,1.47558441558442,2,1748,0.853515625,1.64,1.399765625
554430,"Zack Wheeler","PHI",585,149.666666666667,24,2.73081445209842,2.73152650134757,5.90909091,0.71083333,0.28863826,845,2394,,110,120,149.666666666667,,,6.23611111111111,35.296574770259,1,149.666666666667,0,2025,"high_ip",18.3819865686642,15.6931075668986,0.866335442511936,6,5,16.5498464013077,14.1160776791641,0.866335442511936,8,4,TRUE,0.51861927710917,585,0.998293515358362,0,0,1.08735838104914,24,0.96,0,0,-2.11608439628393,149.666666666667,0.833024118738404,-1.61,-1.34116883116883,-1.86888150117119,149.666666666667,0.833024118738404,-1.34,-1.11625231910946,1.5090528585176,585,0.829787234042553,2,1.65957446808511,-1.32783142950331,585,0.795918367346939,-1.73,-1.3769387755102,0.366324230929913,2394,0.92289899768697,1.19,1.09824980724749,-0.081843770411488,2394,0.941037735849057,-0.58,-0.545801886792453,1,2394,0.95990376904571,1.56,1.49744987971131,2,2394,0.888641425389755,1.64,1.4573719376392
650911,"Cristopher Sanchez","PHI",807,202,32,3.02081921202277,2.77090914455971,4.81818182,0.71719298,0.31377287,956,2897,,117,116,202,,,6.3125,32.9996548153262,1,202,0,2025,"high_ip",18.203173755544,16.3338440952535,0.895032391927185,8,2,16.5003589545153,14.8416845560564,0.895032391927185,9,2,TRUE,1.46809544005025,807,0.998762376237624,0,0,1.20187699210482,32,0.96969696969697,0,0,-1.58203810293926,202,0.870689655172414,-1.61,-1.40181034482759,-1.80314770173594,202,0.870689655172414,-1.34,-1.16672413793103,0.813983417336824,807,0.870550161812298,2,1.7411003236246,-1.13996882392169,807,0.843260188087774,-1.73,-1.45884012539185,1.71354415515969,2897,0.935421375524701,1.19,1.11315143687439,-1.07211938579099,2897,0.95077125041024,-0.58,-0.551447325237939,1.7,2897,0.966633299966633,1.56,1.50794794794795,1.6,2897,0.906162026900219,1.64,1.48610572411636
695505,"Chase Burns","CIN",188,43.3333333333333,8,2.75623916684627,2.68040069184377,4.1875,0.69825436,0.28627451,266,765,,116,119,34.3333333333333,9,,5.41666666666667,34.7712418300654,0.792307692307692,34.3333333333333,9,2025,"low_ip",17.4802925255403,11.7505045054273,0.684605028856545,11,13,15.7359014564225,10.5433212238883,0.684605028856545,10,12,TRUE,-1.17931782508727,188,0.994708994708995,0,0,-0.14111399209365,8,0.888888888888889,0,0,-2.06926456245093,34.3333333333333,0.533678756476684,-0.76,-0.40559585492228,-1.95421588794115,34.3333333333333,0.533678756476684,-0.42,-0.224145077720207,0.412146395160873,188,0.61038961038961,1.23,0.750779220779221,-1.69941132458135,188,0.556213017751479,-2,-1.11242603550296,0.239626776865651,765,0.792746113989637,1.26,0.998860103626943,-0.308331593599297,765,0.836065573770492,-0.01,-0.00836065573770492,1.6,765,0.884393063583815,1.75,1.54768786127168,1.9,765,0.71830985915493,1.15,0.826056338028169
