"player_id","player_name","eno_rank","eno_2026_stuff_plus","eno_2026_pitching_plus","eno_2026_location_plus","name_key"
682995,"Hunter Barco",109,102,107,107,"hunterbarco"
666129,"Braxton Garrett",110,,,,"braxtongarrett"
625643,"Reynaldo López",111,97,91,95,"reynaldolpez"
694738,"Landen Roupp",112,97,102,105,"landenroupp"
656605,"Mitch Keller",113,94,93,100,"mitchkeller"
670912,"Johan Oviedo",114,107,96,86,"johanoviedo"
676974,"Max Meyer",115,97,106,106,"maxmeyer"
656550,"Grant Holmes",116,92,93,100,"grantholmes"
677944,"Slade Cecconi",117,93,95,104,"sladececconi"
694462,"Hurston Waldrep",118,99,103,99,"hurstonwaldrep"
676917,"Cade Cavalli",119,103,103,98,"cadecavalli"
681293,"Spencer Arrighetti",120,102,96,93,"spencerarrighetti"
641816,"Tyler Mahle",121,92,102,111,"tylermahle"
663903,"Brady Singer",122,95,95,100,"bradysinger"
607625,"Seth Lugo",123,93,90,96,"sethlugo"
664299,"Cristian Javier",124,95,92,96,"cristianjavier"
671737,"Taj Bradley",125,101,94,92,"tajbradley"
804636,"Jonah Tong",126,99,97,96,"jonahtong"
657006,"Justin Steele",127,103,98,100,"justinsteele"
813349,"Connelly Early",128,101,111,109,"connellyearly"
688107,"Robert Gasser",129,104,74,69,"robertgasser"
687075,"Brandon Sproat",130,106,90,86,"brandonsproat"
690953,"Mick Abel",131,109,103,97,"mickabel"
677958,"Kumar Rocker",132,94,92,98,"kumarrocker"
680802,"Ryan Weiss",133,,,,"ryanweiss"
682052,"Jacob Lopez",134,98,99,101,"jacoblopez"
592791,"Jameson Taillon",135,96,100,107,"jamesontaillon"
647336,"Michael Soroka",136,95,89,96,"michaelsoroka"
641927,"Bailey Ober",137,96,98,100,"baileyober"
434378,"Justin Verlander",138,103,100,99,"justinverlander"
605135,"Chris Bassitt",139,99,97,100,"chrisbassitt"
453286,"Max Scherzer",140,92,103,110,"maxscherzer"
700241,"Michael McGreevy",141,88,101,111,"michaelmcgreevy"
669461,"Matthew Liberatore",142,95,96,101,"matthewliberatore"
694297,"Brandon Pfaadt",143,96,101,104,"brandonpfaadt"
669372,"J.T. Ginn",144,97,108,105,"jtginn"
663776,"Patrick Sandoval",145,,,,"patricksandoval"
608379,"Michael Wacha",146,96,98,102,"michaelwacha"
669467,"Andre Pallante",147,95,98,101,"andrepallante"
622663,"Luis Severino",148,104,103,100,"luisseverino"
690916,"Richard Fitts",149,102,105,104,"richardfitts"
605488,"Jeffrey Springs",150,94,94,100,"jeffreysprings"
