"player_name","team","adp","adp_rank","proj_ip","proj_w","proj_sv","proj_hld","proj_k","proj_h","proj_bb","proj_hbp","proj_hr","proj_era","proj_whip","sp_skillz_2025_score_stabilized","sp_skillz_2025_rank_stabilized","sp_skillz_2026_score_stabilized","sp_skillz_2026_rank_stabilized","eno_rank","ck_rank","ds_rank","ottoneu_fg_pts"
"Brandon Woodruff","MIL",147.67,39,147,9,0,0,146,127,44,6,22,3.92,1.17,4.701,34,4.839,35,49,,,629
"Gavin Williams","CLE",152.39,40,167,9,0,0,172,146,72,8,19,3.86,1.31,-3.364,101,-3.723,112,46,,,726.5
"Sandy Alcantara","MIA",153.39,41,187,11,0,0,161,180,60,8,21,4.05,1.28,-4.288,123,-5.193,135,54,,,775.5
"Trevor Rogers","BAL",154.52,42,142,9,0,0,122,138,47,7,19,4.3,1.31,-0.339,66,0.677,60,65,,,540.3
"Bubba Chandler","PIT",156.27,43,149,9,0,1,147,135,61,7,17,3.92,1.32,,,,,50,,,636.5
"Blake Snell","LAD",161.06,44,134,11,0,0,166,103,60,7,15,3.33,1.22,6.879,22,8.351,17,23,20,20,670.3
"Tatsuya Imai","HOU",167.85,45,153,9,0,0,160,133,79,8,19,4.23,1.39,,,,,41,,,611.7
"Shota Imanaga","CHC",169.24,46,147,9,0,0,130,138,34,6,25,4.34,1.17,-3.672,109,-2.535,95,69,,,561.5
"MacKenzie Gore","TEX",172.39,47,161,10,0,0,180,138,62,8,21,3.78,1.24,-1.188,73,-0.678,73,76,,,724.3
"Trey Yesavage","TOR",174.48,48,116,8,0,1,142,91,51,6,14,3.39,1.22,4.982,30,5.158,31,31,29,28,566.6
"Luis Castillo","SEA",177.24,49,178,12,0,0,167,159,52,8,24,3.79,1.19,-4.078,116,-3.545,108,47,,,762.6
"Robbie Ray","SFG",177.85,50,173,10,0,0,177,154,70,8,24,4.12,1.3,-4.547,127,-3.714,111,55,,,704.6
"Edward Cabrera","CHC",182.33,51,137,9,0,0,150,114,57,7,15,3.61,1.26,4.76,33,4.3,38,40,,,640.9
"Ranger Suarez","BOS",189.06,52,170,11,0,0,154,169,50,8,19,4.06,1.29,-0.494,67,-0.455,68,57,,,718.9
"Cade Horton","CHC",191.91,53,129,8,0,0,121,116,45,6,17,3.96,1.25,-3.53,104,-3.162,104,51,,,532.9
"Kris Bubic","KCR",197.55,54,147,9,0,1,136,144,48,7,16,4.08,1.31,1.48,52,1.918,50,64,,,627.6
"Shane Baz","BAL",197.64,55,150,10,0,0,151,135,57,7,20,4.02,1.28,0.511,62,-0.112,63,68,,,623
"Tanner Bibee","CLE",198.48,56,181,10,0,0,170,166,54,8,23,3.86,1.22,-3.082,98,-2.861,98,48,,,778.9
"Carlos Rodón","NYY",203.03,57,152,11,0,0,159,130,58,7,22,3.9,1.23,1.291,55,2.066,48,53,,,639.2
"Shane McClanahan","TBR",204.15,58,141,8,0,0,133,122,48,6,18,3.92,1.21,,,,,82,,,608.8
"Aaron Nola","PHI",219.15,59,179,12,0,0,173,167,51,8,26,4.06,1.22,2.985,43,2.281,46,56,,,739.6
"Matthew Boyd","CHC",222.21,60,168,10,0,0,152,155,50,7,24,4.1,1.22,-4.444,124,-3.073,102,66,,,678
"Zac Gallen","ARI",222.42,61,181,10,0,0,166,175,60,8,23,4.21,1.3,-5.546,142,-5.873,146,92,,,729.5
"Jack Flaherty","DET",222.67,62,161,11,0,0,175,145,56,8,21,3.79,1.25,0.903,58,1.861,51,58,,,714.1
"Andrew Abbott","CIN",224.88,63,165,10,0,0,152,155,53,8,28,4.53,1.27,-3.611,108,-2.966,101,103,,,594.6
"Gerrit Cole","NYY",235.85,64,134,10,0,0,143,114,41,6,18,3.59,1.15,,,,,59,,,618.8
"Jack Leiter","TEX",243.52,65,146,9,0,0,147,127,62,7,20,4.08,1.3,-6.016,148,-6.812,160,85,,,591.2
"Ryan Weathers","NYY",244.06,66,120,8,0,1,120,106,45,6,16,3.89,1.25,2.238,48,2.631,45,84,,,506.6
"Mike Burrows","HOU",252.03,67,139,8,0,1,139,125,51,7,19,4.05,1.27,-0.794,69,-1.253,81,88,,,577.9
"Braxton Ashcraft","PIT",253.73,68,147,9,0,1,139,139,49,7,15,3.73,1.28,,,,,60,,,655.9
"Kodai Senga","NYM",254.3,69,128,8,0,1,126,113,57,6,15,4.05,1.33,-7.335,167,-7.683,175,83,,,535.9
"Shane Smith","CHW",258.82,70,161,8,0,0,154,146,63,8,19,4.09,1.3,-4.968,133,-5.259,137,177,,,673.1
"Ryne Nelson","ARI",263.45,71,164,9,0,1,143,159,48,7,21,4.12,1.25,-3.403,103,-3.812,114,90,,,666.9
"Joe Musgrove","SDP",265.03,72,155,10,0,0,148,143,42,7,21,3.77,1.19,,,,,81,,,665.9
"Connelly Early","BOS",270.52,73,33,2,0,1,34,31,13,2,3,3.92,1.33,6.18,26,7.057,24,128,,,153.7
"Merrill Kelly","ARI",274.39,74,170,9,0,0,149,167,55,8,22,4.35,1.31,-3.698,110,-3.343,105,93,,,662.2
"Andrew Painter","PHI",277.03,75,111,7,0,1,97,110,41,5,16,4.5,1.35,,,,,100,,,398.6
"Joey Cantillo","CLE",277.45,76,144,8,0,1,149,127,61,7,17,3.88,1.31,0.786,59,4.217,39,63,,,624.3
"Noah Cameron","KCR",277.45,76,142,8,0,0,116,146,46,7,19,4.66,1.36,-4.74,131,-4.221,119,104,,,510.5
"Casey Mize","DET",280.58,78,143,9,0,0,125,140,41,6,19,4.13,1.27,-1.575,82,-2.011,88,91,,,569.5
"Cody Ponce","TOR",280.82,79,164,9,0,1,161,155,49,6,22,4.03,1.24,,,,,89,,,701
"Grayson Rodriguez","LAA",285.27,80,112,7,0,0,127,95,37,5,14,3.41,1.19,,,,,62,,,537.6
"Roki Sasaki","LAD",285.67,81,118,7,0,1,111,107,49,6,16,4.19,1.32,-11.278,216,-11.518,217,107,,,459.2
"Shane Bieber","TOR",287.27,82,119,8,0,1,108,114,32,5,14,3.95,1.23,2.288,47,1.952,49,52,,,521
"Chad Patrick","MIL",296.76,83,140,9,0,0,136,124,47,6,21,4,1.23,-3.093,99,-2.933,100,99,,,568.3
"Logan Henderson","MIL",297.21,84,92,5,0,1,95,80,30,4,14,3.89,1.2,-2.991,97,-0.701,75,79,,,392.6
"Bryce Miller","SEA",298.52,85,141,10,0,0,129,126,41,6,19,3.82,1.19,-7.907,177,-7.797,178,61,,,599.1
"Parker Messick","CLE",299.24,86,119,6,0,0,109,113,43,6,15,4.1,1.31,4.929,31,5.725,30,87,,,473.3
"Will Warren","NYY",300.85,87,132,9,0,1,131,119,49,6,17,3.88,1.27,-2.485,94,-2.151,91,78,,,559.3
"Sean Manaea","NYM",301.97,88,130,8,0,1,132,113,44,6,18,3.82,1.21,3.927,39,6.326,28,70,,,564.8
"Hunter Greene","CIN",302.97,89,85,6,0,0,106,64,29,4,11,3.24,1.1,15.201,2,14.179,3,11,9,8,440.3
"Brayan Bello","BOS",314.24,90,150,9,0,0,125,157,52,7,17,4.42,1.39,-10.026,205,-10.638,211,101,,,565.7
"Reynaldo López","ATL",317.15,91,148,10,0,1,150,131,55,7,19,3.96,1.26,-6.446,156,-6.742,158,111,,,638.9
"Zebby Matthews","MIN",322.42,92,101,6,0,1,101,95,26,4,14,3.84,1.2,2.745,45,1.35,54,72,,,444.2
"José Soriano","LAA",324.67,93,175,11,0,0,162,162,77,9,13,3.73,1.37,-1.432,79,-0.463,69,77,,,779.9
