"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Plesac, Zach","668676","42.3","","","23.4","23.7","10.6","","","",""
"Bubic, Kris","663460","52.0","","","","30.8","17.2","","","",""
"Wood, Alex","622072","","46.4","","31.6","22.0","","","","",""
"Anderson, Ian","666120","47.2","0.2","","","31.4","19.6","","","1.5",""
"Crowe, Wil","640444","34.8","11.9","","24.6","18.2","10.5","","","0.1",""
"Rogers, Trevor","669432","57.7","","14.6","","27.4","","","","0.2",""
"López, Jorge","605347","21.1","35.9","","5.6","13.8","23.7","","","",""
"Smyly, Drew","592767","","46.5","11.5","","","42.0","","","",""
"Gilbert, Logan","669302","60.8","0.7","0.6","22.1","6.4","7.3","2.1","","",""
"Gallen, Zac","668678","53.8","0.4","8.4","8.3","16.7","12.5","","","",""
"Valdez, Framber","664285","5.0","52.1","","","12.1","30.8","","","",""
"Smith, Caleb","592761","48.1","","","29.6","14.7","7.5","","","",""
"Allard, Kolby","663465","48.0","0.3","23.8","","16.8","11.1","","","",""
"Ohtani, Shohei","660271","43.9","","12.3","0.3","","3.4","18.0","","22.1",""
"Kaprielian, James","621076","52.9","6.0","","17.4","15.8","7.9","","","",""
"Gant, John","607231","13.3","35.9","19.7","3.0","22.5","5.6","","","",""
"McKenzie, Triston","663474","61.7","","","19.1","1.1","18.0","","","",""
"Wacha, Michael","608379","35.8","4.0","24.9","","29.1","6.3","","","",""
"Lauer, Eric","641778","43.9","","18.3","12.1","11.3","14.5","","","",""
"Alzolay, Adbert","640470","18.5","27.0","6.5","39.6","7.0","1.1","","","0.3",""
"McClanahan, Shane","663556","40.9","","","33.8","8.0","17.3","","","",""
"Brubaker, JT","664141","24.4","24.7","","34.2","6.3","10.4","","","",""
"Mills, Alec","621219","17.3","42.9","","12.6","16.8","10.4","","","",""
"Civale, Aaron","650644","22.4","10.5","25.9","9.4","","16.2","13.5","","2.0",""
"Dunning, Dane","641540","0.6","52.1","7.5","22.2","13.0","4.6","","","",""
"Freeland, Kyle","607536","25.5","15.1","22.8","","16.8","19.9","","","",""
"Cueto, Johnny","456501","36.0","15.4","1.5","21.7","23.6","1.7","","","",""
"Paddack, Chris","663978","61.5","","","","26.2","12.3","","","",""
"Pérez, Martín","527048","13.1","25.3","29.0","","24.2","8.4","","","",""
"Keller, Mitch","656605","56.6","","24.2","","4.7","14.5","","","",""
"Gomber, Austin","596295","40.7","","","24.3","19.4","15.6","","","",""
"Odorizzi, Jake","543606","55.1","0.2","11.0","6.6","","5.2","22.0","","",""
"Manoah, Alek","666201","36.2","26.9","","27.8","9.2","","","","",""
"Gutierrez, Vladimir","661269","47.2","0.2","","22.8","12.2","17.6","","","",""
"Kershaw, Clayton","477132","36.8","","","47.5","0.6","15.1","","","",""
"Javier, Cristian","664299","59.4","","","0.9","5.9","7.9","","","25.9",""
"Bauer, Trevor","545333","40.1","5.9","21.6","","2.6","11.2","","","18.6",""
"Kim, Kwang Hyun","547942","41.0","0.8","","37.6","11.8","8.9","","","",""
"Maeda, Kenta","628317","25.9","5.3","","36.1","","3.6","28.5","","0.6",""
"Akin, Keegan","669211","57.2","","","20.0","19.5","3.3","","","",""
"Velasquez, Vince","592826","49.9","4.5","","13.8","15.3","16.6","","","",""
"Arrieta, Jake","453562","","52.7","","23.8","8.1","15.4","","","",""
"Espino, Paolo","502179","55.2","0.1","","0.3","4.0","24.2","","","16.1",""
"Luzardo, Jesús","666200","33.4","17.8","","28.8","20.0","","","","",""
"Hearn, Taylor","621368","46.3","21.0","0.2","19.9","12.6","","","","",""
"Pineda, Michael","501381","54.2","","","28.9","16.9","","","","",""
"Ross, Joe","605452","16.0","46.6","","31.3","6.1","","","","",""
"Ureña, José","570632","16.2","47.2","","23.0","13.6","","","","",""
"Stripling, Ross","548389","51.0","","","18.4","15.2","15.4","","","",""
"López, Pablo","641154","33.8","12.6","11.4","","32.5","9.4","","","0.2",""
"Alexander, Tyler","641302","15.2","20.6","36.5","9.3","18.4","0.1","","","",""
"González, Chi Chi","592346","46.6","5.6","8.9","24.2","9.7","5.0","","","",""
"Urquidy, José","664353","54.9","","","","18.2","7.4","","","19.5",""
"Fleming, Josh","676596","0.5","45.7","27.0","","22.0","4.7","","","",""
"Weathers, Ryan","677960","57.8","4.1","","28.6","8.3","","","","1.2",""
"Eflin, Zach","621107","12.4","41.6","0.4","24.1","10.7","10.8","","","",""
"Suarez, Ranger","624133","22.6","46.1","0.9","6.9","23.5","","","","",""
"Cobb, Alex","502171","4.3","42.3","","0.4","","15.9","37.1","","",""
"Germán, Domingo","593334","28.7","15.0","","","22.2","34.0","","","",""
"Suarez, José","660761","40.7","7.0","","","28.6","22.3","","","1.4",""
"Bieber, Shane","669456","35.5","","3.5","25.5","4.4","31.1","","","",""
"Peralta, Wily","503449","26.1","29.1","","22.3","","","22.5","","",""
"Megill, Tylor","656731","57.6","","","18.7","20.9","2.8","","","",""
"Williams, Trevor","592866","48.4","12.0","","20.6","10.0","9.0","","","",""
"Cortes, Nestor","641482","42.8","4.0","23.5","0.3","9.6","","","","19.8",""
"Bundy, Dylan","605164","34.2","17.3","","21.2","13.7","13.7","","","",""
"Anderson, Brett","474463","0.7","45.0","8.2","7.6","25.7","12.9","","","",""
"Ynoa, Huascar","660623","44.7","0.5","","48.2","6.6","","","","",""
"Ober, Bailey","641927","58.0","","","9.2","13.0","10.6","","","9.1",""
"Sheffield, Justus","656954","0.7","46.3","","32.1","20.8","","","","",""
"Sandoval, Patrick","663776","24.5","18.5","","17.0","29.6","10.1","","","0.3",""
"Kuhl, Chad","641771","25.4","13.0","0.4","45.7","4.3","11.1","","","0.1",""
"Hernández, Carlos","672578","55.8","","","16.2","","18.5","9.4","","",""
"Manning, Matt","666159","41.7","19.1","","15.1","12.5","11.3","0.3","","",""
"Morgan, Eli","669212","48.7","","0.9","23.5","23.2","3.7","","","",""
"Jax, Griffin","643377","42.0","0.2","0.4","","14.2","12.0","","","31.1",""
"Stratton, Chris","608717","48.1","1.0","","13.7","11.9","25.3","","","0.1",""
"Shaw, Bryan","543766","0.3","1.5","77.5","","4.2","5.8","","","10.7",""
"Patiño, Luis","672715","60.6","3.2","","26.5","5.0","4.8","","","",""
"Hoffman, Jeff","656546","55.7","","","21.3","","10.5","12.4","","",""
"Flaherty, Jack","656427","50.6","6.2","","28.3","1.8","13.1","","","",""
"Glasnow, Tyler","607192","51.6","","","32.3","2.5","13.5","","","",""
"Kluber, Corey","446372","4.6","25.1","27.2","","13.8","29.4","","","",""
"Crismatt, Nabil","622503","13.4","11.7","","0.1","51.2","23.6","","","",""
"Peacock, Matt","676840","0.2","68.2","","24.5","7.2","","","","",""
"Green, Chad","643338","65.0","0.5","","0.5","","16.3","","","17.6",""
"Stammen, Craig","489334","0.7","47.6","21.7","0.2","0.5","29.4","","","",""
"Martinez, Carlos","593372","27.5","13.8","21.3","22.8","13.5","1.1","","","",""
"Boyd, Matthew","571510","42.0","5.5","","22.4","22.5","7.6","","","",""
"Hentges, Sam","656529","41.3","9.3","","24.0","0.5","24.9","","","",""
"Lynch IV, Daniel","663738","40.5","11.9","","28.6","16.3","2.7","","","",""
"Moore, Matt","519043","56.4","","8.9","","19.4","15.3","","","",""
"Reyes, Alex","621052","30.7","23.9","","28.0","9.0","8.4","","","",""
"Neris, Héctor","593576","35.9","20.0","","3.5","","","40.6","","",""
"Luetge, Lucas","476595","0.1","","63.1","20.6","","15.2","","","1.0",""
"Quintana, Jose","500779","40.8","17.8","","","14.6","14.4","","","","12.4"
"Mayers, Mike","594577","38.3","0.1","29.9","31.4","0.2","0.1","","","",""
"Gallegos, Giovanny","606149","52.8","","","42.6","4.6","","","","",""
"Cishek, Steve","518553","19.4","41.3","","39.0","0.2","","","","",""
"Castro, Miguel","612434","","43.2","","35.2","21.7","","","","",""
"deGrom, Jacob","594798","57.4","","","33.4","8.9","0.3","","","",""
"Guerra, Junior","448855","17.6","38.4","","12.3","","15.8","15.8","","",""
"Barlow, Scott","605130","33.1","0.2","","46.4","","20.3","","","",""
"Suter, Brent","608718","72.3","4.3","","9.7","9.5","4.1","","","",""
"Widener, Taylor","642203","66.5","","0.1","17.3","16.0","0.1","","","",""
"Bard, Daniel","453268","33.2","15.5","","46.1","5.2","","","","",""
"Gray, Josiah","680686","51.6","","","20.0","3.3","25.1","","","",""
"Stephan, Trevor","663986","59.8","","","32.1","","","8.1","","",""
"Finnegan, Kyle","640448","68.4","","","18.9","","","12.2","","0.6",""
"Rasmussen, Drew","656876","63.8","1.3","4.7","22.6","2.2","2.7","","","2.6",""
"Cabrera, Génesis","650893","45.1","19.1","","","16.9","18.9","","","",""
"Thompson, Zach","605507","27.1","8.2","35.1","","12.7","16.9","","","",""
"Funkhouser, Kyle","608335","21.8","40.3","","30.2","7.7","","","","",""
"Robles, Hansel","570663","54.4","1.4","","14.4","29.7","0.1","","","",""
"Fulmer, Michael","605242","17.7","28.1","39.8","","11.2","3.0","","","0.2",""
"Price, David","456034","18.4","34.6","20.2","","24.9","2.0","","","",""
"Trivino III, Lou","642152","26.4","32.7","17.0","","12.4","11.5","","","",""
"Underwood Jr., Duane","621249","36.0","10.2","0.8","0.8","27.3","24.9","","","",""
"Maton, Phil","664208","47.8","","8.5","14.3","","24.2","","","5.2",""
"Stanek, Ryne","592773","59.6","0.1","","18.5","","","21.8","","",""
"Woodford, Jake","663765","21.5","37.0","0.5","3.9","6.0","12.5","","","18.6",""
"Whitlock, Garrett","676477","8.3","54.5","1.4","14.1","20.6","","","","1.0",""
"Houck, Tanner","656557","38.6","17.0","","37.1","","","7.4","","",""
"Ottavino, Adam","493603","20.7","27.5","1.7","","1.7","0.7","","","47.8",""
"Kinley, Tyler","641755","43.1","0.3","","52.2","4.0","0.4","","","",""
"Wilson, Bryse","669060","44.4","19.3","0.1","4.9","19.8","11.5","","","",""
"Soto, Gregory","642397","7.8","54.6","","37.6","","","","","",""
"Rogers, Tyler","643511","3.7","53.5","","42.8","","","","","",""
"Kopech, Michael","656629","64.4","","","29.6","2.6","3.5","","","",""
"Holmes, Clay","605280","0.1","58.9","","27.8","","12.1","","","1.1",""
"Peterson, David","656849","29.4","29.2","","23.1","16.3","2.0","","","",""
"Diekman, Jake","518617","58.8","8.1","","","0.7","","","","32.4",""
"May, Trevor","543507","60.3","","","24.5","15.2","","","","",""
"Weaver, Luke","596133","61.2","0.2","0.6","6.0","30.0","1.9","","","",""
"Thielbar, Caleb","573204","49.0","","","","0.3","16.4","","","34.4",""
"Zimmermann, Bruce","669145","41.2","1.1","","19.5","25.8","12.4","","","",""
"Brentz, Jake","641394","58.6","0.9","","27.9","12.7","","","","",""
"Hendriks, Liam","521230","68.9","","","21.3","0.1","9.7","","","",""
"Sewald, Paul","623149","58.3","","","","0.1","","","","41.6",""
"Colomé, Alex","517008","29.5","","70.0","","0.5","","","","",""
"Pagán, Emilio","641941","61.2","","37.7","","0.7","","0.4","","",""
"Staumont, Josh","622251","44.0","21.4","","","","34.7","","","",""
"Treinen, Blake","595014","7.6","27.3","30.0","0.4","0.1","","","","34.7",""
"Hembree, Heath","592390","52.3","","","47.2","","0.5","","","",""
"Guerra, Deolis","500610","37.7","7.8","","14.2","30.9","9.4","","","",""
"Oviedo, Johan","670912","51.3","","","24.8","10.8","13.2","","","",""
"Loáisiga, Jonathan","642528","3.9","54.9","","2.4","18.4","20.4","","","",""
"Petit, Yusmeiro","433589","45.9","","22.8","","17.7","13.6","","","",""
"Smith, Will","519293","47.3","","","41.7","","11.0","","","",""
"Sborz, Josh","622250","54.5","","","29.4","","16.1","","","",""
"Hand, Brad","543272","41.3","16.2","","","","","","","42.6",""
"Floro, Dylan","571670","30.8","33.9","","13.1","22.2","","","","",""
"Canning, Griffin","656288","40.4","","0.1","27.0","21.4","11.1","","","",""
